target "start time (UTC)" "end time (UTC)"
STUDIES-1_offset_N2 "2019-05-09 03:30:00.000" "2019-05-09 04:01:00.000"
TransitionBlock "2019-05-09 04:01:00.000" "2019-05-09 04:01:20.000"
"Unused Time" "2019-05-09 04:01:20.000" "2019-05-09 04:18:20.002"
CAL_1055+018 "2019-05-09 04:18:20.002" "2019-05-09 04:21:20.002"
TransitionBlock "2019-05-09 04:21:20.002" "2019-05-09 04:21:40.002"
"Unused Time" "2019-05-09 04:21:40.002" "2019-05-09 04:25:40.002"
CAL_IRC+10216 "2019-05-09 04:25:40.002" "2019-05-09 04:28:40.002"
TransitionBlock "2019-05-09 04:28:40.002" "2019-05-09 04:29:00.002"
"Unused Time" "2019-05-09 04:29:00.002" "2019-05-09 04:43:00.003"
STUDIES-1_offset_N2 "2019-05-09 04:43:00.003" "2019-05-09 05:14:00.003"
TransitionBlock "2019-05-09 05:14:00.003" "2019-05-09 05:14:20.003"
"Unused Time" "2019-05-09 05:14:20.003" "2019-05-09 05:26:00.004"
CAL_1055+018 "2019-05-09 05:26:00.004" "2019-05-09 05:29:00.004"
TransitionBlock "2019-05-09 05:29:00.004" "2019-05-09 05:29:20.004"
"Unused Time" "2019-05-09 05:29:20.004" "2019-05-09 05:48:40.005"
STUDIES-1_offset_N2 "2019-05-09 05:48:40.005" "2019-05-09 06:19:40.005"
TransitionBlock "2019-05-09 06:19:40.005" "2019-05-09 06:20:00.005"
"Unused Time" "2019-05-09 06:20:00.005" "2019-05-09 06:20:40.006"
CAL_IRC+10216 "2019-05-09 06:20:40.006" "2019-05-09 06:23:40.006"
TransitionBlock "2019-05-09 06:23:40.006" "2019-05-09 06:24:00.006"
"Unused Time" "2019-05-09 06:24:00.006" "2019-05-09 06:27:00.007"
CAL_1055+018 "2019-05-09 06:27:00.007" "2019-05-09 06:30:00.007"
TransitionBlock "2019-05-09 06:30:00.007" "2019-05-09 06:30:20.007"
"Unused Time" "2019-05-09 06:30:20.007" "2019-05-09 06:40:40.007"
STUDIES-1_offset_N2 "2019-05-09 06:40:40.007" "2019-05-09 07:11:40.007"
TransitionBlock "2019-05-09 07:11:40.007" "2019-05-09 07:12:00.007"
"Unused Time" "2019-05-09 07:12:00.007" "2019-05-09 07:15:00.008"
CAL_1055+018 "2019-05-09 07:15:00.008" "2019-05-09 07:18:00.008"
TransitionBlock "2019-05-09 07:18:00.008" "2019-05-09 07:18:20.008"
"Unused Time" "2019-05-09 07:18:20.008" "2019-05-09 07:18:40.008"
CAL_IRC+10216 "2019-05-09 07:18:40.008" "2019-05-09 07:21:40.008"
TransitionBlock "2019-05-09 07:21:40.008" "2019-05-09 07:23:00.008"
