target "start time (UTC)" "end time (UTC)"
"NGC 1333" "2019-02-05 03:30:00.000" "2019-02-05 04:12:00.000"
TransitionBlock "2019-02-05 04:12:00.000" "2019-02-05 04:12:20.000"
"Unused Time" "2019-02-05 04:12:20.000" "2019-02-05 04:18:20.002"
CAL_CRL618 "2019-02-05 04:18:20.002" "2019-02-05 04:21:20.002"
"Unused Time" "2019-02-05 04:21:20.002" "2019-02-05 04:22:00.002"
CAL_CRL618 "2019-02-05 04:22:00.002" "2019-02-05 04:25:00.002"
TransitionBlock "2019-02-05 04:25:00.002" "2019-02-05 04:25:20.002"
"Unused Time" "2019-02-05 04:25:20.002" "2019-02-05 04:25:40.002"
CAL_3C111 "2019-02-05 04:25:40.002" "2019-02-05 04:28:40.002"
TransitionBlock "2019-02-05 04:28:40.002" "2019-02-05 04:29:40.002"
"Unused Time" "2019-02-05 04:29:40.002" "2019-02-05 04:31:40.002"
XMM-LSS-020 "2019-02-05 04:31:40.002" "2019-02-05 05:13:20.002"
TransitionBlock "2019-02-05 05:13:20.002" "2019-02-05 05:14:20.002"
"Unused Time" "2019-02-05 05:14:20.002" "2019-02-05 05:15:00.004"
CAL_CRL618 "2019-02-05 05:15:00.004" "2019-02-05 05:18:00.004"
CAL_CRL618 "2019-02-05 05:18:00.004" "2019-02-05 05:21:00.004"
TransitionBlock "2019-02-05 05:21:00.004" "2019-02-05 05:21:20.004"
"Unused Time" "2019-02-05 05:21:20.004" "2019-02-05 05:26:00.004"
CAL_3C111 "2019-02-05 05:26:00.004" "2019-02-05 05:29:00.004"
TransitionBlock "2019-02-05 05:29:00.004" "2019-02-05 05:29:20.004"
"Unused Time" "2019-02-05 05:29:20.004" "2019-02-05 05:36:20.005"
IC348 "2019-02-05 05:36:20.005" "2019-02-05 06:18:20.005"
TransitionBlock "2019-02-05 06:18:20.005" "2019-02-05 06:18:40.005"
"Unused Time" "2019-02-05 06:18:40.005" "2019-02-05 06:20:40.006"
CAL_3C111 "2019-02-05 06:20:40.006" "2019-02-05 06:23:40.006"
TransitionBlock "2019-02-05 06:23:40.006" "2019-02-05 06:24:00.006"
CAL_CRL618 "2019-02-05 06:24:00.006" "2019-02-05 06:27:00.007"
CAL_CRL618 "2019-02-05 06:27:00.007" "2019-02-05 06:30:00.007"
TransitionBlock "2019-02-05 06:30:00.007" "2019-02-05 06:30:40.007"
"Unused Time" "2019-02-05 06:30:40.007" "2019-02-05 06:31:00.007"
"NGC 2071" "2019-02-05 06:31:00.007" "2019-02-05 07:13:00.007"
TransitionBlock "2019-02-05 07:13:00.007" "2019-02-05 07:13:40.007"
"Unused Time" "2019-02-05 07:13:40.007" "2019-02-05 07:15:00.008"
CAL_CRL618 "2019-02-05 07:15:00.008" "2019-02-05 07:18:00.008"
TransitionBlock "2019-02-05 07:18:00.008" "2019-02-05 07:18:20.008"
"Unused Time" "2019-02-05 07:18:20.008" "2019-02-05 07:18:40.008"
CAL_3C111 "2019-02-05 07:18:40.008" "2019-02-05 07:21:40.008"
TransitionBlock "2019-02-05 07:21:40.008" "2019-02-05 07:22:00.008"
"Unused Time" "2019-02-05 07:22:00.008" "2019-02-05 07:24:00.009"
CAL_CRL618 "2019-02-05 07:24:00.009" "2019-02-05 07:27:00.009"
TransitionBlock "2019-02-05 07:27:00.009" "2019-02-05 07:27:40.009"
"Unused Time" "2019-02-05 07:27:40.009" "2019-02-05 07:30:20.009"
NGC2024 "2019-02-05 07:30:20.009" "2019-02-05 08:12:20.009"
TransitionBlock "2019-02-05 08:12:20.009" "2019-02-05 08:13:00.009"
"Unused Time" "2019-02-05 08:13:00.009" "2019-02-05 08:15:00.010"
CAL_CRL618 "2019-02-05 08:15:00.010" "2019-02-05 08:18:00.010"
TransitionBlock "2019-02-05 08:18:00.010" "2019-02-05 08:18:20.010"
"Unused Time" "2019-02-05 08:18:20.010" "2019-02-05 08:18:40.011"
CAL_3C111 "2019-02-05 08:18:40.011" "2019-02-05 08:21:40.011"
TransitionBlock "2019-02-05 08:21:40.011" "2019-02-05 08:22:00.011"
"Unused Time" "2019-02-05 08:22:00.011" "2019-02-05 08:25:20.011"
CAL_CRL618 "2019-02-05 08:25:20.011" "2019-02-05 08:28:20.011"
TransitionBlock "2019-02-05 08:28:20.011" "2019-02-05 08:29:00.011"
"Unused Time" "2019-02-05 08:29:00.011" "2019-02-05 08:30:00.011"
OMC2-3 "2019-02-05 08:30:00.011" "2019-02-05 09:12:00.011"
TransitionBlock "2019-02-05 09:12:00.011" "2019-02-05 09:12:40.011"
"Unused Time" "2019-02-05 09:12:40.011" "2019-02-05 09:19:20.013"
CAL_3C111 "2019-02-05 09:19:20.013" "2019-02-05 09:22:20.013"
TransitionBlock "2019-02-05 09:22:20.013" "2019-02-05 09:22:40.013"
"Unused Time" "2019-02-05 09:22:40.013" "2019-02-05 09:23:20.013"
CAL_CRL618 "2019-02-05 09:23:20.013" "2019-02-05 09:26:20.013"
"Unused Time" "2019-02-05 09:26:20.013" "2019-02-05 09:27:00.013"
CAL_CRL618 "2019-02-05 09:27:00.013" "2019-02-05 09:30:00.013"
"Unused Time" "2019-02-05 09:30:00.013" "2019-02-05 10:18:20.015"
CAL_CRL618 "2019-02-05 10:18:20.015" "2019-02-05 10:21:20.015"
CAL_CRL618 "2019-02-05 10:21:20.015" "2019-02-05 10:24:20.015"
TransitionBlock "2019-02-05 10:24:20.015" "2019-02-05 10:25:40.015"
"Unused Time" "2019-02-05 10:25:40.015" "2019-02-05 11:23:00.017"
CAL_1418+546 "2019-02-05 11:23:00.017" "2019-02-05 11:26:00.017"
"Unused Time" "2019-02-05 11:26:00.017" "2019-02-05 12:24:20.020"
CAL_1418+546 "2019-02-05 12:24:20.020" "2019-02-05 12:27:20.020"
"Unused Time" "2019-02-05 12:27:20.020" "2019-02-05 13:16:20.022"
CAL_1418+546 "2019-02-05 13:16:20.022" "2019-02-05 13:19:20.022"
TransitionBlock "2019-02-05 13:19:20.022" "2019-02-05 13:20:00.022"
"Unused Time" "2019-02-05 13:20:00.022" "2019-02-05 13:25:20.022"
CAL_Arp220 "2019-02-05 13:25:20.022" "2019-02-05 13:28:20.022"
TransitionBlock "2019-02-05 13:28:20.022" "2019-02-05 13:29:00.022"
"Unused Time" "2019-02-05 13:29:00.022" "2019-02-05 14:20:00.024"
CAL_1418+546 "2019-02-05 14:20:00.024" "2019-02-05 14:23:00.024"
TransitionBlock "2019-02-05 14:23:00.024" "2019-02-05 14:23:40.024"
"Unused Time" "2019-02-05 14:23:40.024" "2019-02-05 14:26:00.024"
CAL_Arp220 "2019-02-05 14:26:00.024" "2019-02-05 14:29:00.024"
TransitionBlock "2019-02-05 14:29:00.024" "2019-02-05 14:29:40.024"
"Unused Time" "2019-02-05 14:29:40.024" "2019-02-05 15:16:40.026"
CAL_1418+546 "2019-02-05 15:16:40.026" "2019-02-05 15:19:40.026"
TransitionBlock "2019-02-05 15:19:40.026" "2019-02-05 15:20:20.026"
"Unused Time" "2019-02-05 15:20:20.026" "2019-02-05 15:22:00.026"
CAL_Arp220 "2019-02-05 15:22:00.026" "2019-02-05 15:25:00.026"
TransitionBlock "2019-02-05 15:25:00.026" "2019-02-05 15:26:00.026"
"Unused Time" "2019-02-05 15:26:00.026" "2019-02-05 15:26:40.026"
CAL_16293-2422 "2019-02-05 15:26:40.026" "2019-02-05 15:29:40.026"
TransitionBlock "2019-02-05 15:29:40.026" "2019-02-05 15:30:00.026"
"Unused Time" "2019-02-05 15:30:00.026" "2019-02-05 15:36:40.027"
"IRAS 17265-0725" "2019-02-05 15:36:40.027" "2019-02-05 16:04:40.027"
TransitionBlock "2019-02-05 16:04:40.027" "2019-02-05 16:06:00.027"
"Unused Time" "2019-02-05 16:06:00.027" "2019-02-05 16:18:40.028"
CAL_1418+546 "2019-02-05 16:18:40.028" "2019-02-05 16:21:40.028"
TransitionBlock "2019-02-05 16:21:40.028" "2019-02-05 16:23:00.028"
"Unused Time" "2019-02-05 16:23:00.028" "2019-02-05 16:24:40.028"
CAL_16293-2422 "2019-02-05 16:24:40.028" "2019-02-05 16:27:40.028"
TransitionBlock "2019-02-05 16:27:40.028" "2019-02-05 16:28:00.028"
"Unused Time" "2019-02-05 16:28:00.028" "2019-02-05 16:42:00.029"
"IRAS 17265-0725" "2019-02-05 16:42:00.029" "2019-02-05 17:10:00.029"
TransitionBlock "2019-02-05 17:10:00.029" "2019-02-05 17:10:20.029"
"Unused Time" "2019-02-05 17:10:20.029" "2019-02-05 17:20:20.030"
CAL_16293-2422 "2019-02-05 17:20:20.030" "2019-02-05 17:23:20.030"
TransitionBlock "2019-02-05 17:23:20.030" "2019-02-05 17:24:40.030"
"Unused Time" "2019-02-05 17:24:40.030" "2019-02-05 17:26:00.031"
CAL_1418+546 "2019-02-05 17:26:00.031" "2019-02-05 17:29:00.031"
TransitionBlock "2019-02-05 17:29:00.031" "2019-02-05 17:30:20.031"
"Unused Time" "2019-02-05 17:30:20.031" "2019-02-05 17:33:00.031"
