target "start time (UTC)" "end time (UTC)"
STUDIES-1_offset_N2 "2019-05-01 03:30:00.000" "2019-05-01 04:01:00.000"
TransitionBlock "2019-05-01 04:01:00.000" "2019-05-01 04:01:20.000"
"Unused Time" "2019-05-01 04:01:20.000" "2019-05-01 04:18:20.002"
CAL_IRC+10216 "2019-05-01 04:18:20.002" "2019-05-01 04:21:20.002"
TransitionBlock "2019-05-01 04:21:20.002" "2019-05-01 04:22:20.002"
"Unused Time" "2019-05-01 04:22:20.002" "2019-05-01 04:25:40.002"
CAL_1044+719 "2019-05-01 04:25:40.002" "2019-05-01 04:28:40.002"
TransitionBlock "2019-05-01 04:28:40.002" "2019-05-01 04:29:40.002"
"Unused Time" "2019-05-01 04:29:40.002" "2019-05-01 04:52:00.003"
STUDIES-1_offset_N2 "2019-05-01 04:52:00.003" "2019-05-01 05:23:00.003"
TransitionBlock "2019-05-01 05:23:00.003" "2019-05-01 05:24:00.003"
"Unused Time" "2019-05-01 05:24:00.003" "2019-05-01 05:26:00.004"
CAL_1044+719 "2019-05-01 05:26:00.004" "2019-05-01 05:29:00.004"
TransitionBlock "2019-05-01 05:29:00.004" "2019-05-01 05:30:00.004"
"Unused Time" "2019-05-01 05:30:00.004" "2019-05-01 05:43:00.005"
STUDIES-1_offset_N2 "2019-05-01 05:43:00.005" "2019-05-01 06:14:00.005"
TransitionBlock "2019-05-01 06:14:00.005" "2019-05-01 06:15:00.005"
"Unused Time" "2019-05-01 06:15:00.005" "2019-05-01 06:20:40.006"
CAL_1044+719 "2019-05-01 06:20:40.006" "2019-05-01 06:23:40.006"
TransitionBlock "2019-05-01 06:23:40.006" "2019-05-01 06:24:40.006"
"Unused Time" "2019-05-01 06:24:40.006" "2019-05-01 06:27:00.007"
CAL_IRC+10216 "2019-05-01 06:27:00.007" "2019-05-01 06:30:00.007"
TransitionBlock "2019-05-01 06:30:00.007" "2019-05-01 06:30:20.007"
"Unused Time" "2019-05-01 06:30:20.007" "2019-05-01 06:42:00.007"
STUDIES-1_offset_N2 "2019-05-01 06:42:00.007" "2019-05-01 07:13:00.007"
TransitionBlock "2019-05-01 07:13:00.007" "2019-05-01 07:14:00.007"
"Unused Time" "2019-05-01 07:14:00.007" "2019-05-01 07:18:40.008"
CAL_1044+719 "2019-05-01 07:18:40.008" "2019-05-01 07:21:40.008"
TransitionBlock "2019-05-01 07:21:40.008" "2019-05-01 07:22:40.008"
"Unused Time" "2019-05-01 07:22:40.008" "2019-05-01 07:24:40.009"
CAL_IRC+10216 "2019-05-01 07:24:40.009" "2019-05-01 07:27:40.009"
TransitionBlock "2019-05-01 07:27:40.009" "2019-05-01 07:28:00.009"
