target "start time (UTC)" "end time (UTC)"
"R Leo" "2019-06-10 03:30:00.000" "2019-06-10 04:14:20.000"
TransitionBlock "2019-06-10 04:14:20.000" "2019-06-10 04:15:20.000"
"Unused Time" "2019-06-10 04:15:20.000" "2019-06-10 04:22:40.002"
CAL_1308+326 "2019-06-10 04:22:40.002" "2019-06-10 04:25:40.002"
TransitionBlock "2019-06-10 04:25:40.002" "2019-06-10 04:26:40.002"
CAL_IRC+10216 "2019-06-10 04:26:40.002" "2019-06-10 04:29:40.002"
TransitionBlock "2019-06-10 04:29:40.002" "2019-06-10 04:30:00.002"
"Unused Time" "2019-06-10 04:30:00.002" "2019-06-10 04:31:40.002"
"R Leo" "2019-06-10 04:31:40.002" "2019-06-10 05:16:00.002"
TransitionBlock "2019-06-10 05:16:00.002" "2019-06-10 05:17:20.002"
"Unused Time" "2019-06-10 05:17:20.002" "2019-06-10 05:17:40.004"
CAL_Arp220 "2019-06-10 05:17:40.004" "2019-06-10 05:20:40.004"
TransitionBlock "2019-06-10 05:20:40.004" "2019-06-10 05:21:20.004"
"Unused Time" "2019-06-10 05:21:20.004" "2019-06-10 05:25:20.004"
CAL_1308+326 "2019-06-10 05:25:20.004" "2019-06-10 05:28:20.004"
TransitionBlock "2019-06-10 05:28:20.004" "2019-06-10 05:29:20.004"
"Unused Time" "2019-06-10 05:29:20.004" "2019-06-10 05:29:40.004"
"R Leo" "2019-06-10 05:29:40.004" "2019-06-10 06:14:00.004"
TransitionBlock "2019-06-10 06:14:00.004" "2019-06-10 06:14:20.004"
"Unused Time" "2019-06-10 06:14:20.004" "2019-06-10 06:16:20.006"
CAL_IRC+10216 "2019-06-10 06:16:20.006" "2019-06-10 06:19:20.006"
TransitionBlock "2019-06-10 06:19:20.006" "2019-06-10 06:20:40.006"
"Unused Time" "2019-06-10 06:20:40.006" "2019-06-10 06:22:00.006"
CAL_Arp220 "2019-06-10 06:22:00.006" "2019-06-10 06:25:00.006"
TransitionBlock "2019-06-10 06:25:00.006" "2019-06-10 06:25:40.006"
"Unused Time" "2019-06-10 06:25:40.006" "2019-06-10 06:26:40.006"
CAL_1308+326 "2019-06-10 06:26:40.006" "2019-06-10 06:29:40.006"
TransitionBlock "2019-06-10 06:29:40.006" "2019-06-10 06:30:40.006"
"R Crt" "2019-06-10 06:30:40.006" "2019-06-10 07:15:00.006"
TransitionBlock "2019-06-10 07:15:00.006" "2019-06-10 07:16:00.006"
"Unused Time" "2019-06-10 07:16:00.006" "2019-06-10 07:16:20.008"
CAL_1308+326 "2019-06-10 07:16:20.008" "2019-06-10 07:19:20.008"
TransitionBlock "2019-06-10 07:19:20.008" "2019-06-10 07:20:00.008"
"Unused Time" "2019-06-10 07:20:00.008" "2019-06-10 07:25:00.009"
CAL_Arp220 "2019-06-10 07:25:00.009" "2019-06-10 07:28:00.009"
TransitionBlock "2019-06-10 07:28:00.009" "2019-06-10 07:29:00.009"
"Unused Time" "2019-06-10 07:29:00.009" "2019-06-10 07:31:00.009"
"BK Vir" "2019-06-10 07:31:00.009" "2019-06-10 08:15:20.009"
TransitionBlock "2019-06-10 08:15:20.009" "2019-06-10 08:16:00.009"
"Unused Time" "2019-06-10 08:16:00.009" "2019-06-10 08:21:20.011"
CAL_1308+326 "2019-06-10 08:21:20.011" "2019-06-10 08:24:20.011"
TransitionBlock "2019-06-10 08:24:20.011" "2019-06-10 08:25:00.011"
"Unused Time" "2019-06-10 08:25:00.011" "2019-06-10 08:25:40.011"
"BK Vir" "2019-06-10 08:25:40.011" "2019-06-10 09:10:00.011"
TransitionBlock "2019-06-10 09:10:00.011" "2019-06-10 09:10:40.011"
"Unused Time" "2019-06-10 09:10:40.011" "2019-06-10 09:16:40.013"
CAL_1308+326 "2019-06-10 09:16:40.013" "2019-06-10 09:19:40.013"
TransitionBlock "2019-06-10 09:19:40.013" "2019-06-10 09:20:20.013"
"Unused Time" "2019-06-10 09:20:20.013" "2019-06-10 09:26:40.013"
CAL_Arp220 "2019-06-10 09:26:40.013" "2019-06-10 09:29:40.013"
TransitionBlock "2019-06-10 09:29:40.013" "2019-06-10 09:30:00.013"
"RX Boo" "2019-06-10 09:30:00.013" "2019-06-10 10:14:20.013"
TransitionBlock "2019-06-10 10:14:20.013" "2019-06-10 10:14:40.013"
"Unused Time" "2019-06-10 10:14:40.013" "2019-06-10 10:15:00.015"
CAL_1308+326 "2019-06-10 10:15:00.015" "2019-06-10 10:18:00.015"
TransitionBlock "2019-06-10 10:18:00.015" "2019-06-10 10:18:40.015"
"Unused Time" "2019-06-10 10:18:40.015" "2019-06-10 10:21:20.015"
CAL_Arp220 "2019-06-10 10:21:20.015" "2019-06-10 10:24:20.015"
TransitionBlock "2019-06-10 10:24:20.015" "2019-06-10 10:24:40.015"
"Unused Time" "2019-06-10 10:24:40.015" "2019-06-10 10:26:40.015"
"RX Boo" "2019-06-10 10:26:40.015" "2019-06-10 11:11:00.015"
TransitionBlock "2019-06-10 11:11:00.015" "2019-06-10 11:12:20.015"
"Unused Time" "2019-06-10 11:12:20.015" "2019-06-10 11:15:40.017"
CAL_CRL2688 "2019-06-10 11:15:40.017" "2019-06-10 11:18:40.017"
TransitionBlock "2019-06-10 11:18:40.017" "2019-06-10 11:19:40.017"
"Unused Time" "2019-06-10 11:19:40.017" "2019-06-10 11:21:00.017"
CAL_1958-179 "2019-06-10 11:21:00.017" "2019-06-10 11:24:00.017"
TransitionBlock "2019-06-10 11:24:00.017" "2019-06-10 11:25:00.017"
CAL_W75N "2019-06-10 11:25:00.017" "2019-06-10 11:28:00.017"
TransitionBlock "2019-06-10 11:28:00.017" "2019-06-10 11:28:20.017"
"Unused Time" "2019-06-10 11:28:20.017" "2019-06-10 12:16:00.019"
CAL_CRL2688 "2019-06-10 12:16:00.019" "2019-06-10 12:19:00.019"
TransitionBlock "2019-06-10 12:19:00.019" "2019-06-10 12:20:00.019"
"Unused Time" "2019-06-10 12:20:00.019" "2019-06-10 12:20:20.019"
CAL_1958-179 "2019-06-10 12:20:20.019" "2019-06-10 12:23:20.019"
TransitionBlock "2019-06-10 12:23:20.019" "2019-06-10 12:24:20.019"
"Unused Time" "2019-06-10 12:24:20.019" "2019-06-10 12:25:40.020"
CAL_W75N "2019-06-10 12:25:40.020" "2019-06-10 12:28:40.020"
TransitionBlock "2019-06-10 12:28:40.020" "2019-06-10 12:29:00.020"
"Unused Time" "2019-06-10 12:29:00.020" "2019-06-10 13:16:00.021"
CAL_CRL2688 "2019-06-10 13:16:00.021" "2019-06-10 13:19:00.021"
TransitionBlock "2019-06-10 13:19:00.021" "2019-06-10 13:20:00.021"
"Unused Time" "2019-06-10 13:20:00.021" "2019-06-10 13:21:00.022"
CAL_1958-179 "2019-06-10 13:21:00.022" "2019-06-10 13:24:00.022"
TransitionBlock "2019-06-10 13:24:00.022" "2019-06-10 13:25:00.022"
CAL_W75N "2019-06-10 13:25:00.022" "2019-06-10 13:28:00.022"
"Unused Time" "2019-06-10 13:28:00.022" "2019-06-10 14:15:40.024"
CAL_W75N "2019-06-10 14:15:40.024" "2019-06-10 14:18:40.024"
TransitionBlock "2019-06-10 14:18:40.024" "2019-06-10 14:19:40.024"
"Unused Time" "2019-06-10 14:19:40.024" "2019-06-10 14:20:00.024"
CAL_1958-179 "2019-06-10 14:20:00.024" "2019-06-10 14:23:00.024"
TransitionBlock "2019-06-10 14:23:00.024" "2019-06-10 14:24:00.024"
"Unused Time" "2019-06-10 14:24:00.024" "2019-06-10 14:27:00.024"
CAL_CRL2688 "2019-06-10 14:27:00.024" "2019-06-10 14:30:00.024"
TransitionBlock "2019-06-10 14:30:00.024" "2019-06-10 14:31:00.024"
"Unused Time" "2019-06-10 14:31:00.024" "2019-06-10 15:15:20.026"
CAL_1958-179 "2019-06-10 15:15:20.026" "2019-06-10 15:18:20.026"
TransitionBlock "2019-06-10 15:18:20.026" "2019-06-10 15:19:20.026"
"Unused Time" "2019-06-10 15:19:20.026" "2019-06-10 15:19:40.026"
CAL_CRL2688 "2019-06-10 15:19:40.026" "2019-06-10 15:22:40.026"
TransitionBlock "2019-06-10 15:22:40.026" "2019-06-10 15:23:00.026"
"Unused Time" "2019-06-10 15:23:00.026" "2019-06-10 15:26:40.026"
CAL_W75N "2019-06-10 15:26:40.026" "2019-06-10 15:29:40.026"
TransitionBlock "2019-06-10 15:29:40.026" "2019-06-10 15:30:40.026"
"Unused Time" "2019-06-10 15:30:40.026" "2019-06-10 16:16:00.028"
CAL_1958-179 "2019-06-10 16:16:00.028" "2019-06-10 16:19:00.028"
TransitionBlock "2019-06-10 16:19:00.028" "2019-06-10 16:20:00.028"
"Unused Time" "2019-06-10 16:20:00.028" "2019-06-10 16:21:40.028"
CAL_W75N "2019-06-10 16:21:40.028" "2019-06-10 16:24:40.028"
TransitionBlock "2019-06-10 16:24:40.028" "2019-06-10 16:25:00.028"
"Unused Time" "2019-06-10 16:25:00.028" "2019-06-10 16:27:00.000"
CAL_CRL2688 "2019-06-10 16:27:00.000" "2019-06-10 16:30:00.000"
