target "start time (UTC)" "end time (UTC)"
"SW Vir" "2019-06-13 03:30:00.000" "2019-06-13 04:14:20.000"
TransitionBlock "2019-06-13 04:14:20.000" "2019-06-13 04:15:00.000"
"Unused Time" "2019-06-13 04:15:00.000" "2019-06-13 04:18:20.002"
CAL_Arp220 "2019-06-13 04:18:20.002" "2019-06-13 04:21:20.002"
TransitionBlock "2019-06-13 04:21:20.002" "2019-06-13 04:22:00.002"
"Unused Time" "2019-06-13 04:22:00.002" "2019-06-13 04:25:40.002"
CAL_1308+326 "2019-06-13 04:25:40.002" "2019-06-13 04:28:40.002"
TransitionBlock "2019-06-13 04:28:40.002" "2019-06-13 04:29:20.002"
"SW Vir" "2019-06-13 04:29:20.002" "2019-06-13 05:13:40.002"
TransitionBlock "2019-06-13 05:13:40.002" "2019-06-13 05:14:20.002"
"Unused Time" "2019-06-13 05:14:20.002" "2019-06-13 05:15:00.004"
CAL_Arp220 "2019-06-13 05:15:00.004" "2019-06-13 05:18:00.004"
TransitionBlock "2019-06-13 05:18:00.004" "2019-06-13 05:19:20.004"
"Unused Time" "2019-06-13 05:19:20.004" "2019-06-13 05:21:40.004"
CAL_IRC+10216 "2019-06-13 05:21:40.004" "2019-06-13 05:24:40.004"
TransitionBlock "2019-06-13 05:24:40.004" "2019-06-13 05:25:40.004"
"Unused Time" "2019-06-13 05:25:40.004" "2019-06-13 05:26:00.004"
CAL_1308+326 "2019-06-13 05:26:00.004" "2019-06-13 05:29:00.004"
TransitionBlock "2019-06-13 05:29:00.004" "2019-06-13 05:29:40.004"
"Unused Time" "2019-06-13 05:29:40.004" "2019-06-13 05:30:40.004"
"SW Vir" "2019-06-13 05:30:40.004" "2019-06-13 06:15:00.004"
TransitionBlock "2019-06-13 06:15:00.004" "2019-06-13 06:16:00.004"
"Unused Time" "2019-06-13 06:16:00.004" "2019-06-13 06:16:20.006"
CAL_IRC+10216 "2019-06-13 06:16:20.006" "2019-06-13 06:19:20.006"
TransitionBlock "2019-06-13 06:19:20.006" "2019-06-13 06:20:20.006"
"Unused Time" "2019-06-13 06:20:20.006" "2019-06-13 06:20:40.006"
CAL_1308+326 "2019-06-13 06:20:40.006" "2019-06-13 06:23:40.006"
TransitionBlock "2019-06-13 06:23:40.006" "2019-06-13 06:24:20.006"
"Unused Time" "2019-06-13 06:24:20.006" "2019-06-13 06:27:00.007"
CAL_Arp220 "2019-06-13 06:27:00.007" "2019-06-13 06:30:00.007"
TransitionBlock "2019-06-13 06:30:00.007" "2019-06-13 06:30:40.007"
"SW Vir" "2019-06-13 06:30:40.007" "2019-06-13 07:15:00.007"
TransitionBlock "2019-06-13 07:15:00.007" "2019-06-13 07:15:40.007"
"Unused Time" "2019-06-13 07:15:40.007" "2019-06-13 07:18:40.008"
CAL_1308+326 "2019-06-13 07:18:40.008" "2019-06-13 07:21:40.008"
TransitionBlock "2019-06-13 07:21:40.008" "2019-06-13 07:22:20.008"
"Unused Time" "2019-06-13 07:22:20.008" "2019-06-13 07:24:40.009"
CAL_Arp220 "2019-06-13 07:24:40.009" "2019-06-13 07:27:40.009"
TransitionBlock "2019-06-13 07:27:40.009" "2019-06-13 07:28:20.009"
"Unused Time" "2019-06-13 07:28:20.009" "2019-06-13 07:32:20.009"
"SW Vir" "2019-06-13 07:32:20.009" "2019-06-13 08:16:40.009"
TransitionBlock "2019-06-13 08:16:40.009" "2019-06-13 08:17:20.009"
"Unused Time" "2019-06-13 08:17:20.009" "2019-06-13 08:18:40.011"
CAL_1308+326 "2019-06-13 08:18:40.011" "2019-06-13 08:21:40.011"
TransitionBlock "2019-06-13 08:21:40.011" "2019-06-13 08:22:20.011"
"Unused Time" "2019-06-13 08:22:20.011" "2019-06-13 08:28:40.011"
"SW Vir" "2019-06-13 08:28:40.011" "2019-06-13 09:13:00.011"
TransitionBlock "2019-06-13 09:13:00.011" "2019-06-13 09:13:40.011"
"Unused Time" "2019-06-13 09:13:40.011" "2019-06-13 09:19:20.013"
CAL_1308+326 "2019-06-13 09:19:20.013" "2019-06-13 09:22:20.013"
TransitionBlock "2019-06-13 09:22:20.013" "2019-06-13 09:23:00.013"
"Unused Time" "2019-06-13 09:23:00.013" "2019-06-13 09:27:00.013"
CAL_Arp220 "2019-06-13 09:27:00.013" "2019-06-13 09:30:00.013"
TransitionBlock "2019-06-13 09:30:00.013" "2019-06-13 09:31:00.013"
"Unused Time" "2019-06-13 09:31:00.013" "2019-06-13 09:33:40.013"
NEP-17 "2019-06-13 09:33:40.013" "2019-06-13 10:15:20.013"
TransitionBlock "2019-06-13 10:15:20.013" "2019-06-13 10:16:20.013"
"Unused Time" "2019-06-13 10:16:20.013" "2019-06-13 10:18:20.015"
CAL_1308+326 "2019-06-13 10:18:20.015" "2019-06-13 10:21:20.015"
TransitionBlock "2019-06-13 10:21:20.015" "2019-06-13 10:22:00.015"
"Unused Time" "2019-06-13 10:22:00.015" "2019-06-13 10:24:40.015"
CAL_Arp220 "2019-06-13 10:24:40.015" "2019-06-13 10:27:40.015"
TransitionBlock "2019-06-13 10:27:40.015" "2019-06-13 10:28:40.015"
"Unused Time" "2019-06-13 10:28:40.015" "2019-06-13 10:31:20.015"
NEP-15 "2019-06-13 10:31:20.015" "2019-06-13 11:13:00.015"
TransitionBlock "2019-06-13 11:13:00.015" "2019-06-13 11:13:40.015"
"Unused Time" "2019-06-13 11:13:40.015" "2019-06-13 11:16:40.017"
CAL_BLLAC "2019-06-13 11:16:40.017" "2019-06-13 11:19:40.017"
TransitionBlock "2019-06-13 11:19:40.017" "2019-06-13 11:20:00.017"
"Unused Time" "2019-06-13 11:20:00.017" "2019-06-13 11:22:00.017"
CAL_NGC7027 "2019-06-13 11:22:00.017" "2019-06-13 11:25:00.017"
TransitionBlock "2019-06-13 11:25:00.017" "2019-06-13 11:25:20.017"
"Unused Time" "2019-06-13 11:25:20.017" "2019-06-13 11:25:40.017"
CAL_CRL2688 "2019-06-13 11:25:40.017" "2019-06-13 11:28:40.017"
TransitionBlock "2019-06-13 11:28:40.017" "2019-06-13 11:29:20.017"
"Unused Time" "2019-06-13 11:29:20.017" "2019-06-13 11:32:00.018"
NEP-17 "2019-06-13 11:32:00.018" "2019-06-13 12:13:40.018"
TransitionBlock "2019-06-13 12:13:40.018" "2019-06-13 12:14:20.018"
"Unused Time" "2019-06-13 12:14:20.018" "2019-06-13 12:15:00.019"
CAL_CRL2688 "2019-06-13 12:15:00.019" "2019-06-13 12:18:00.019"
TransitionBlock "2019-06-13 12:18:00.019" "2019-06-13 12:18:20.019"
"Unused Time" "2019-06-13 12:18:20.019" "2019-06-13 12:18:40.019"
CAL_BLLAC "2019-06-13 12:18:40.019" "2019-06-13 12:21:40.019"
TransitionBlock "2019-06-13 12:21:40.019" "2019-06-13 12:22:00.019"
"Unused Time" "2019-06-13 12:22:00.019" "2019-06-13 12:24:20.020"
CAL_NGC7027 "2019-06-13 12:24:20.020" "2019-06-13 12:27:20.020"
TransitionBlock "2019-06-13 12:27:20.020" "2019-06-13 12:28:00.020"
"Unused Time" "2019-06-13 12:28:00.020" "2019-06-13 12:28:40.020"
NEP-17 "2019-06-13 12:28:40.020" "2019-06-13 13:10:20.020"
TransitionBlock "2019-06-13 13:10:20.020" "2019-06-13 13:11:00.020"
"Unused Time" "2019-06-13 13:11:00.020" "2019-06-13 13:16:20.022"
CAL_NGC7027 "2019-06-13 13:16:20.022" "2019-06-13 13:19:20.022"
TransitionBlock "2019-06-13 13:19:20.022" "2019-06-13 13:19:40.022"
"Unused Time" "2019-06-13 13:19:40.022" "2019-06-13 13:21:20.022"
