target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-07-08 03:30:00.000" "2019-07-08 04:18:20.002"
CAL_Arp220 "2019-07-08 04:18:20.002" "2019-07-08 04:21:20.002"
TransitionBlock "2019-07-08 04:21:20.002" "2019-07-08 04:22:00.002"
"Unused Time" "2019-07-08 04:22:00.002" "2019-07-08 04:25:40.002"
CAL_1418+546 "2019-07-08 04:25:40.002" "2019-07-08 04:28:40.002"
TransitionBlock "2019-07-08 04:28:40.002" "2019-07-08 04:29:20.002"
"Unused Time" "2019-07-08 04:29:20.002" "2019-07-08 05:15:00.004"
CAL_Arp220 "2019-07-08 05:15:00.004" "2019-07-08 05:18:00.004"
TransitionBlock "2019-07-08 05:18:00.004" "2019-07-08 05:19:00.004"
"Unused Time" "2019-07-08 05:19:00.004" "2019-07-08 05:21:20.004"
CAL_16293-2422 "2019-07-08 05:21:20.004" "2019-07-08 05:24:20.004"
TransitionBlock "2019-07-08 05:24:20.004" "2019-07-08 05:25:40.004"
"Unused Time" "2019-07-08 05:25:40.004" "2019-07-08 05:26:00.004"
CAL_1418+546 "2019-07-08 05:26:00.004" "2019-07-08 05:29:00.004"
TransitionBlock "2019-07-08 05:29:00.004" "2019-07-08 05:29:40.004"
"Unused Time" "2019-07-08 05:29:40.004" "2019-07-08 05:37:20.005"
NEP-17 "2019-07-08 05:37:20.005" "2019-07-08 06:19:00.005"
TransitionBlock "2019-07-08 06:19:00.005" "2019-07-08 06:19:40.005"
"Unused Time" "2019-07-08 06:19:40.005" "2019-07-08 06:20:40.006"
CAL_1418+546 "2019-07-08 06:20:40.006" "2019-07-08 06:23:40.006"
TransitionBlock "2019-07-08 06:23:40.006" "2019-07-08 06:25:00.006"
"Unused Time" "2019-07-08 06:25:00.006" "2019-07-08 06:27:00.007"
CAL_16293-2422 "2019-07-08 06:27:00.007" "2019-07-08 06:30:00.007"
TransitionBlock "2019-07-08 06:30:00.007" "2019-07-08 06:31:20.007"
"Unused Time" "2019-07-08 06:31:20.007" "2019-07-08 06:32:20.007"
NEP-17 "2019-07-08 06:32:20.007" "2019-07-08 07:14:00.007"
TransitionBlock "2019-07-08 07:14:00.007" "2019-07-08 07:14:40.007"
"Unused Time" "2019-07-08 07:14:40.007" "2019-07-08 07:18:40.008"
CAL_1418+546 "2019-07-08 07:18:40.008" "2019-07-08 07:21:40.008"
TransitionBlock "2019-07-08 07:21:40.008" "2019-07-08 07:23:00.008"
"Unused Time" "2019-07-08 07:23:00.008" "2019-07-08 07:24:40.009"
CAL_16293-2422 "2019-07-08 07:24:40.009" "2019-07-08 07:27:40.009"
TransitionBlock "2019-07-08 07:27:40.009" "2019-07-08 07:28:00.009"
"Unused Time" "2019-07-08 07:28:00.009" "2019-07-08 07:34:00.009"
"Oph Core" "2019-07-08 07:34:00.009" "2019-07-08 08:16:00.009"
TransitionBlock "2019-07-08 08:16:00.009" "2019-07-08 08:17:20.009"
"Unused Time" "2019-07-08 08:17:20.009" "2019-07-08 08:18:40.011"
CAL_1418+546 "2019-07-08 08:18:40.011" "2019-07-08 08:21:40.011"
TransitionBlock "2019-07-08 08:21:40.011" "2019-07-08 08:23:00.011"
"Unused Time" "2019-07-08 08:23:00.011" "2019-07-08 08:25:20.011"
CAL_16293-2422 "2019-07-08 08:25:20.011" "2019-07-08 08:28:20.011"
TransitionBlock "2019-07-08 08:28:20.011" "2019-07-08 08:29:40.011"
"Unused Time" "2019-07-08 08:29:40.011" "2019-07-08 08:35:40.011"
NEP-17 "2019-07-08 08:35:40.011" "2019-07-08 09:17:20.011"
TransitionBlock "2019-07-08 09:17:20.011" "2019-07-08 09:18:00.011"
"Unused Time" "2019-07-08 09:18:00.011" "2019-07-08 09:19:20.013"
CAL_1418+546 "2019-07-08 09:19:20.013" "2019-07-08 09:22:20.013"
TransitionBlock "2019-07-08 09:22:20.013" "2019-07-08 09:23:00.013"
"Unused Time" "2019-07-08 09:23:00.013" "2019-07-08 09:27:00.013"
CAL_Arp220 "2019-07-08 09:27:00.013" "2019-07-08 09:30:00.013"
TransitionBlock "2019-07-08 09:30:00.013" "2019-07-08 09:31:00.013"
"Unused Time" "2019-07-08 09:31:00.013" "2019-07-08 09:35:00.013"
NEP-15 "2019-07-08 09:35:00.013" "2019-07-08 10:16:40.013"
TransitionBlock "2019-07-08 10:16:40.013" "2019-07-08 10:17:40.013"
"Unused Time" "2019-07-08 10:17:40.013" "2019-07-08 10:18:20.015"
CAL_Arp220 "2019-07-08 10:18:20.015" "2019-07-08 10:21:20.015"
TransitionBlock "2019-07-08 10:21:20.015" "2019-07-08 10:22:20.015"
"Unused Time" "2019-07-08 10:22:20.015" "2019-07-08 10:24:40.015"
CAL_16293-2422 "2019-07-08 10:24:40.015" "2019-07-08 10:27:40.015"
TransitionBlock "2019-07-08 10:27:40.015" "2019-07-08 10:29:00.015"
"Unused Time" "2019-07-08 10:29:00.015" "2019-07-08 10:33:20.016"
NEP-16 "2019-07-08 10:33:20.016" "2019-07-08 11:15:00.016"
TransitionBlock "2019-07-08 11:15:00.016" "2019-07-08 11:15:40.016"
"Unused Time" "2019-07-08 11:15:40.016" "2019-07-08 11:16:40.017"
CAL_CRL2688 "2019-07-08 11:16:40.017" "2019-07-08 11:19:40.017"
TransitionBlock "2019-07-08 11:19:40.017" "2019-07-08 11:20:20.017"
"Unused Time" "2019-07-08 11:20:20.017" "2019-07-08 11:22:00.017"
CAL_N7538IRS1 "2019-07-08 11:22:00.017" "2019-07-08 11:25:00.017"
TransitionBlock "2019-07-08 11:25:00.017" "2019-07-08 11:26:20.017"
"Unused Time" "2019-07-08 11:26:20.017" "2019-07-08 11:34:00.018"
"Serpens South" "2019-07-08 11:34:00.018" "2019-07-08 12:16:00.018"
TransitionBlock "2019-07-08 12:16:00.018" "2019-07-08 12:17:00.018"
"Unused Time" "2019-07-08 12:17:00.018" "2019-07-08 12:18:40.019"
CAL_CRL2688 "2019-07-08 12:18:40.019" "2019-07-08 12:21:40.019"
TransitionBlock "2019-07-08 12:21:40.019" "2019-07-08 12:22:20.019"
"Unused Time" "2019-07-08 12:22:20.019" "2019-07-08 12:24:20.020"
CAL_N7538IRS1 "2019-07-08 12:24:20.020" "2019-07-08 12:27:20.020"
TransitionBlock "2019-07-08 12:27:20.020" "2019-07-08 12:28:00.020"
"Unused Time" "2019-07-08 12:28:00.020" "2019-07-08 12:32:20.020"
NEP-15 "2019-07-08 12:32:20.020" "2019-07-08 13:14:00.020"
TransitionBlock "2019-07-08 13:14:00.020" "2019-07-08 13:14:40.020"
"Unused Time" "2019-07-08 13:14:40.020" "2019-07-08 13:16:20.022"
CAL_N7538IRS1 "2019-07-08 13:16:20.022" "2019-07-08 13:19:20.022"
TransitionBlock "2019-07-08 13:19:20.022" "2019-07-08 13:20:00.022"
CAL_CRL2688 "2019-07-08 13:20:00.022" "2019-07-08 13:23:00.022"
TransitionBlock "2019-07-08 13:23:00.022" "2019-07-08 13:24:00.022"
"Unused Time" "2019-07-08 13:24:00.022" "2019-07-08 13:25:20.022"
CAL_0133+476 "2019-07-08 13:25:20.022" "2019-07-08 13:28:20.022"
TransitionBlock "2019-07-08 13:28:20.022" "2019-07-08 13:29:20.022"
"Unused Time" "2019-07-08 13:29:20.022" "2019-07-08 14:15:00.024"
CAL_CRL2688 "2019-07-08 14:15:00.024" "2019-07-08 14:18:00.024"
TransitionBlock "2019-07-08 14:18:00.024" "2019-07-08 14:18:40.024"
"Unused Time" "2019-07-08 14:18:40.024" "2019-07-08 14:20:00.024"
CAL_N7538IRS1 "2019-07-08 14:20:00.024" "2019-07-08 14:23:00.024"
TransitionBlock "2019-07-08 14:23:00.024" "2019-07-08 14:23:40.024"
"Unused Time" "2019-07-08 14:23:40.024" "2019-07-08 14:26:00.024"
CAL_0133+476 "2019-07-08 14:26:00.024" "2019-07-08 14:29:00.024"
TransitionBlock "2019-07-08 14:29:00.024" "2019-07-08 14:30:00.024"
"Unused Time" "2019-07-08 14:30:00.024" "2019-07-08 14:33:40.024"
XMM-LSS-027 "2019-07-08 14:33:40.024" "2019-07-08 15:15:20.024"
TransitionBlock "2019-07-08 15:15:20.024" "2019-07-08 15:16:20.024"
"Unused Time" "2019-07-08 15:16:20.024" "2019-07-08 15:16:40.026"
CAL_0133+476 "2019-07-08 15:16:40.026" "2019-07-08 15:19:40.026"
TransitionBlock "2019-07-08 15:19:40.026" "2019-07-08 15:20:40.026"
"Unused Time" "2019-07-08 15:20:40.026" "2019-07-08 15:22:00.026"
CAL_CRL2688 "2019-07-08 15:22:00.026" "2019-07-08 15:25:00.026"
TransitionBlock "2019-07-08 15:25:00.026" "2019-07-08 15:25:40.026"
"Unused Time" "2019-07-08 15:25:40.026" "2019-07-08 15:26:40.026"
CAL_N7538IRS1 "2019-07-08 15:26:40.026" "2019-07-08 15:29:40.026"
TransitionBlock "2019-07-08 15:29:40.026" "2019-07-08 15:31:00.026"
"Unused Time" "2019-07-08 15:31:00.026" "2019-07-08 15:35:40.027"
XMM-LSS-027 "2019-07-08 15:35:40.027" "2019-07-08 16:17:20.027"
TransitionBlock "2019-07-08 16:17:20.027" "2019-07-08 16:18:20.027"
"Unused Time" "2019-07-08 16:18:20.027" "2019-07-08 16:18:40.028"
CAL_0133+476 "2019-07-08 16:18:40.028" "2019-07-08 16:21:40.028"
TransitionBlock "2019-07-08 16:21:40.028" "2019-07-08 16:22:20.028"
