target "start time (UTC)" "end time (UTC)"
XMM-LSS-034 "2019-02-17 03:30:00.000" "2019-02-17 04:11:40.000"
TransitionBlock "2019-02-17 04:11:40.000" "2019-02-17 04:12:40.000"
"Unused Time" "2019-02-17 04:12:40.000" "2019-02-17 04:18:20.002"
CAL_CRL618 "2019-02-17 04:18:20.002" "2019-02-17 04:21:20.002"
TransitionBlock "2019-02-17 04:21:20.002" "2019-02-17 04:22:00.002"
CAL_N2071IR "2019-02-17 04:22:00.002" "2019-02-17 04:25:00.002"
TransitionBlock "2019-02-17 04:25:00.002" "2019-02-17 04:25:20.002"
"Unused Time" "2019-02-17 04:25:20.002" "2019-02-17 04:25:40.002"
CAL_0529+075 "2019-02-17 04:25:40.002" "2019-02-17 04:28:40.002"
TransitionBlock "2019-02-17 04:28:40.002" "2019-02-17 04:29:40.002"
"Unused Time" "2019-02-17 04:29:40.002" "2019-02-17 04:31:40.002"
XMM-LSS-027 "2019-02-17 04:31:40.002" "2019-02-17 05:13:20.002"
TransitionBlock "2019-02-17 05:13:20.002" "2019-02-17 05:14:20.002"
"Unused Time" "2019-02-17 05:14:20.002" "2019-02-17 05:15:00.004"
CAL_CRL618 "2019-02-17 05:15:00.004" "2019-02-17 05:18:00.004"
TransitionBlock "2019-02-17 05:18:00.004" "2019-02-17 05:18:40.004"
"Unused Time" "2019-02-17 05:18:40.004" "2019-02-17 05:22:20.004"
CAL_N2071IR "2019-02-17 05:22:20.004" "2019-02-17 05:25:20.004"
TransitionBlock "2019-02-17 05:25:20.004" "2019-02-17 05:25:40.004"
"Unused Time" "2019-02-17 05:25:40.004" "2019-02-17 05:26:00.004"
CAL_0529+075 "2019-02-17 05:26:00.004" "2019-02-17 05:29:00.004"
TransitionBlock "2019-02-17 05:29:00.004" "2019-02-17 05:30:00.004"
"Unused Time" "2019-02-17 05:30:00.004" "2019-02-17 05:32:00.004"
XMM-LSS-027 "2019-02-17 05:32:00.004" "2019-02-17 06:13:40.004"
TransitionBlock "2019-02-17 06:13:40.004" "2019-02-17 06:14:40.004"
"Unused Time" "2019-02-17 06:14:40.004" "2019-02-17 06:17:00.006"
CAL_N2071IR "2019-02-17 06:17:00.006" "2019-02-17 06:20:00.006"
TransitionBlock "2019-02-17 06:20:00.006" "2019-02-17 06:20:20.006"
"Unused Time" "2019-02-17 06:20:20.006" "2019-02-17 06:20:40.006"
CAL_0529+075 "2019-02-17 06:20:40.006" "2019-02-17 06:23:40.006"
TransitionBlock "2019-02-17 06:23:40.006" "2019-02-17 06:24:20.006"
"Unused Time" "2019-02-17 06:24:20.006" "2019-02-17 06:27:00.007"
CAL_CRL618 "2019-02-17 06:27:00.007" "2019-02-17 06:30:00.007"
TransitionBlock "2019-02-17 06:30:00.007" "2019-02-17 06:30:40.007"
"Unused Time" "2019-02-17 06:30:40.007" "2019-02-17 07:15:00.008"
CAL_N2071IR "2019-02-17 07:15:00.008" "2019-02-17 07:18:00.008"
TransitionBlock "2019-02-17 07:18:00.008" "2019-02-17 07:18:20.008"
"Unused Time" "2019-02-17 07:18:20.008" "2019-02-17 07:18:40.008"
CAL_0529+075 "2019-02-17 07:18:40.008" "2019-02-17 07:21:40.008"
TransitionBlock "2019-02-17 07:21:40.008" "2019-02-17 07:22:20.008"
"Unused Time" "2019-02-17 07:22:20.008" "2019-02-17 07:24:40.009"
CAL_CRL618 "2019-02-17 07:24:40.009" "2019-02-17 07:27:40.009"
TransitionBlock "2019-02-17 07:27:40.009" "2019-02-17 07:28:20.009"
"Unused Time" "2019-02-17 07:28:20.009" "2019-02-17 08:18:40.011"
CAL_0529+075 "2019-02-17 08:18:40.011" "2019-02-17 08:21:40.011"
TransitionBlock "2019-02-17 08:21:40.011" "2019-02-17 08:22:00.011"
"Unused Time" "2019-02-17 08:22:00.011" "2019-02-17 08:25:20.011"
CAL_N2071IR "2019-02-17 08:25:20.011" "2019-02-17 08:28:20.011"
"Unused Time" "2019-02-17 08:28:20.011" "2019-02-17 09:15:40.013"
CAL_N2071IR "2019-02-17 09:15:40.013" "2019-02-17 09:18:40.013"
TransitionBlock "2019-02-17 09:18:40.013" "2019-02-17 09:19:00.013"
"Unused Time" "2019-02-17 09:19:00.013" "2019-02-17 09:19:20.013"
CAL_0529+075 "2019-02-17 09:19:20.013" "2019-02-17 09:22:20.013"
TransitionBlock "2019-02-17 09:22:20.013" "2019-02-17 09:23:00.013"
"Unused Time" "2019-02-17 09:23:00.013" "2019-02-17 09:27:00.013"
CAL_CRL618 "2019-02-17 09:27:00.013" "2019-02-17 09:30:00.013"
TransitionBlock "2019-02-17 09:30:00.013" "2019-02-17 09:31:20.013"
"Unused Time" "2019-02-17 09:31:20.013" "2019-02-17 11:22:00.017"
CAL_1418+546 "2019-02-17 11:22:00.017" "2019-02-17 11:25:00.017"
TransitionBlock "2019-02-17 11:25:00.017" "2019-02-17 11:25:40.017"
"Unused Time" "2019-02-17 11:25:40.017" "2019-02-17 12:18:40.019"
CAL_Arp220 "2019-02-17 12:18:40.019" "2019-02-17 12:21:40.019"
TransitionBlock "2019-02-17 12:21:40.019" "2019-02-17 12:22:20.019"
"Unused Time" "2019-02-17 12:22:20.019" "2019-02-17 12:24:20.020"
CAL_1418+546 "2019-02-17 12:24:20.020" "2019-02-17 12:27:20.020"
"Unused Time" "2019-02-17 12:27:20.020" "2019-02-17 13:16:20.022"
CAL_1418+546 "2019-02-17 13:16:20.022" "2019-02-17 13:19:20.022"
TransitionBlock "2019-02-17 13:19:20.022" "2019-02-17 13:20:00.022"
"Unused Time" "2019-02-17 13:20:00.022" "2019-02-17 13:25:20.022"
CAL_Arp220 "2019-02-17 13:25:20.022" "2019-02-17 13:28:20.022"
"Unused Time" "2019-02-17 13:28:20.022" "2019-02-17 14:15:00.024"
CAL_Arp220 "2019-02-17 14:15:00.024" "2019-02-17 14:18:00.024"
TransitionBlock "2019-02-17 14:18:00.024" "2019-02-17 14:19:00.024"
"Unused Time" "2019-02-17 14:19:00.024" "2019-02-17 14:20:40.024"
CAL_16293-2422 "2019-02-17 14:20:40.024" "2019-02-17 14:23:40.024"
TransitionBlock "2019-02-17 14:23:40.024" "2019-02-17 14:25:00.024"
"Unused Time" "2019-02-17 14:25:00.024" "2019-02-17 14:27:00.024"
CAL_1418+546 "2019-02-17 14:27:00.024" "2019-02-17 14:30:00.024"
TransitionBlock "2019-02-17 14:30:00.024" "2019-02-17 14:30:40.024"
"Unused Time" "2019-02-17 14:30:40.024" "2019-02-17 14:31:40.024"
NEP-13 "2019-02-17 14:31:40.024" "2019-02-17 15:13:20.024"
TransitionBlock "2019-02-17 15:13:20.024" "2019-02-17 15:14:00.024"
"Unused Time" "2019-02-17 15:14:00.024" "2019-02-17 15:16:40.026"
CAL_1418+546 "2019-02-17 15:16:40.026" "2019-02-17 15:19:40.026"
TransitionBlock "2019-02-17 15:19:40.026" "2019-02-17 15:20:20.026"
"Unused Time" "2019-02-17 15:20:20.026" "2019-02-17 15:22:00.026"
CAL_Arp220 "2019-02-17 15:22:00.026" "2019-02-17 15:25:00.026"
TransitionBlock "2019-02-17 15:25:00.026" "2019-02-17 15:26:00.026"
