target "start time (UTC)" "end time (UTC)"
"R Leo" "2019-06-12 03:30:00.000" "2019-06-12 04:14:20.000"
TransitionBlock "2019-06-12 04:14:20.000" "2019-06-12 04:15:40.000"
"Unused Time" "2019-06-12 04:15:40.000" "2019-06-12 04:18:40.002"
CAL_Arp220 "2019-06-12 04:18:40.002" "2019-06-12 04:21:40.002"
TransitionBlock "2019-06-12 04:21:40.002" "2019-06-12 04:22:20.002"
"Unused Time" "2019-06-12 04:22:20.002" "2019-06-12 04:22:40.002"
CAL_1308+326 "2019-06-12 04:22:40.002" "2019-06-12 04:25:40.002"
TransitionBlock "2019-06-12 04:25:40.002" "2019-06-12 04:26:40.002"
CAL_IRC+10216 "2019-06-12 04:26:40.002" "2019-06-12 04:29:40.002"
TransitionBlock "2019-06-12 04:29:40.002" "2019-06-12 04:30:00.002"
"Unused Time" "2019-06-12 04:30:00.002" "2019-06-12 04:31:40.002"
"R Leo" "2019-06-12 04:31:40.002" "2019-06-12 05:16:00.002"
TransitionBlock "2019-06-12 05:16:00.002" "2019-06-12 05:17:20.002"
"Unused Time" "2019-06-12 05:17:20.002" "2019-06-12 05:17:40.004"
CAL_Arp220 "2019-06-12 05:17:40.004" "2019-06-12 05:20:40.004"
TransitionBlock "2019-06-12 05:20:40.004" "2019-06-12 05:21:20.004"
"Unused Time" "2019-06-12 05:21:20.004" "2019-06-12 05:25:20.004"
CAL_1308+326 "2019-06-12 05:25:20.004" "2019-06-12 05:28:20.004"
TransitionBlock "2019-06-12 05:28:20.004" "2019-06-12 05:29:20.004"
"Unused Time" "2019-06-12 05:29:20.004" "2019-06-12 05:29:40.004"
"R Leo" "2019-06-12 05:29:40.004" "2019-06-12 06:14:00.004"
TransitionBlock "2019-06-12 06:14:00.004" "2019-06-12 06:14:20.004"
"Unused Time" "2019-06-12 06:14:20.004" "2019-06-12 06:16:20.006"
CAL_IRC+10216 "2019-06-12 06:16:20.006" "2019-06-12 06:19:20.006"
TransitionBlock "2019-06-12 06:19:20.006" "2019-06-12 06:20:40.006"
"Unused Time" "2019-06-12 06:20:40.006" "2019-06-12 06:22:00.006"
CAL_Arp220 "2019-06-12 06:22:00.006" "2019-06-12 06:25:00.006"
TransitionBlock "2019-06-12 06:25:00.006" "2019-06-12 06:25:40.006"
"Unused Time" "2019-06-12 06:25:40.006" "2019-06-12 06:26:40.006"
CAL_1308+326 "2019-06-12 06:26:40.006" "2019-06-12 06:29:40.006"
TransitionBlock "2019-06-12 06:29:40.006" "2019-06-12 06:30:20.006"
"Unused Time" "2019-06-12 06:30:20.006" "2019-06-12 06:31:00.007"
"RT Vir" "2019-06-12 06:31:00.007" "2019-06-12 07:15:20.007"
TransitionBlock "2019-06-12 07:15:20.007" "2019-06-12 07:16:00.007"
"Unused Time" "2019-06-12 07:16:00.007" "2019-06-12 07:16:20.008"
CAL_1308+326 "2019-06-12 07:16:20.008" "2019-06-12 07:19:20.008"
TransitionBlock "2019-06-12 07:19:20.008" "2019-06-12 07:20:00.008"
"Unused Time" "2019-06-12 07:20:00.008" "2019-06-12 07:25:00.009"
CAL_Arp220 "2019-06-12 07:25:00.009" "2019-06-12 07:28:00.009"
TransitionBlock "2019-06-12 07:28:00.009" "2019-06-12 07:28:40.009"
"Unused Time" "2019-06-12 07:28:40.009" "2019-06-12 07:33:20.009"
"RT Vir" "2019-06-12 07:33:20.009" "2019-06-12 08:17:40.009"
TransitionBlock "2019-06-12 08:17:40.009" "2019-06-12 08:18:20.009"
"Unused Time" "2019-06-12 08:18:20.009" "2019-06-12 08:21:20.011"
CAL_1308+326 "2019-06-12 08:21:20.011" "2019-06-12 08:24:20.011"
TransitionBlock "2019-06-12 08:24:20.011" "2019-06-12 08:25:00.011"
"Unused Time" "2019-06-12 08:25:00.011" "2019-06-12 08:28:00.011"
"RT Vir" "2019-06-12 08:28:00.011" "2019-06-12 09:12:20.011"
