target "start time (UTC)" "end time (UTC)"
M31-pointing-2c "2019-02-20 03:30:00.000" "2019-02-20 04:11:40.000"
TransitionBlock "2019-02-20 04:11:40.000" "2019-02-20 04:13:00.000"
"Unused Time" "2019-02-20 04:13:00.000" "2019-02-20 04:18:20.002"
CAL_N2071IR "2019-02-20 04:18:20.002" "2019-02-20 04:21:20.002"
TransitionBlock "2019-02-20 04:21:20.002" "2019-02-20 04:22:00.002"
CAL_CRL618 "2019-02-20 04:22:00.002" "2019-02-20 04:25:00.002"
TransitionBlock "2019-02-20 04:25:00.002" "2019-02-20 04:25:20.002"
"Unused Time" "2019-02-20 04:25:20.002" "2019-02-20 04:25:40.002"
CAL_0552+398 "2019-02-20 04:25:40.002" "2019-02-20 04:28:40.002"
TransitionBlock "2019-02-20 04:28:40.002" "2019-02-20 04:29:40.002"
"Unused Time" "2019-02-20 04:29:40.002" "2019-02-20 04:31:40.002"
M31-pointing-1b "2019-02-20 04:31:40.002" "2019-02-20 05:13:20.002"
TransitionBlock "2019-02-20 05:13:20.002" "2019-02-20 05:14:00.002"
"Unused Time" "2019-02-20 05:14:00.002" "2019-02-20 05:15:00.004"
CAL_CRL618 "2019-02-20 05:15:00.004" "2019-02-20 05:18:00.004"
TransitionBlock "2019-02-20 05:18:00.004" "2019-02-20 05:18:40.004"
"Unused Time" "2019-02-20 05:18:40.004" "2019-02-20 05:22:00.004"
CAL_N2071IR "2019-02-20 05:22:00.004" "2019-02-20 05:25:00.004"
TransitionBlock "2019-02-20 05:25:00.004" "2019-02-20 05:25:40.004"
"Unused Time" "2019-02-20 05:25:40.004" "2019-02-20 05:26:00.004"
CAL_0552+398 "2019-02-20 05:26:00.004" "2019-02-20 05:29:00.004"
TransitionBlock "2019-02-20 05:29:00.004" "2019-02-20 05:29:40.004"
"Unused Time" "2019-02-20 05:29:40.004" "2019-02-20 05:33:40.005"
"Perseus IC348" "2019-02-20 05:33:40.005" "2019-02-20 06:14:40.005"
TransitionBlock "2019-02-20 06:14:40.005" "2019-02-20 06:15:20.005"
"Unused Time" "2019-02-20 06:15:20.005" "2019-02-20 06:16:40.006"
