target "start time (UTC)" "end time (UTC)"
"Y UMa" "2019-06-08 03:30:00.000" "2019-06-08 04:14:20.000"
TransitionBlock "2019-06-08 04:14:20.000" "2019-06-08 04:15:20.000"
"Unused Time" "2019-06-08 04:15:20.000" "2019-06-08 04:18:20.002"
CAL_IRC+10216 "2019-06-08 04:18:20.002" "2019-06-08 04:21:20.002"
TransitionBlock "2019-06-08 04:21:20.002" "2019-06-08 04:22:20.002"
"Unused Time" "2019-06-08 04:22:20.002" "2019-06-08 04:25:40.002"
CAL_1308+326 "2019-06-08 04:25:40.002" "2019-06-08 04:28:40.002"
TransitionBlock "2019-06-08 04:28:40.002" "2019-06-08 04:29:20.002"
"Y UMa" "2019-06-08 04:29:20.002" "2019-06-08 05:13:40.002"
TransitionBlock "2019-06-08 05:13:40.002" "2019-06-08 05:14:20.002"
"Unused Time" "2019-06-08 05:14:20.002" "2019-06-08 05:15:00.004"
CAL_Arp220 "2019-06-08 05:15:00.004" "2019-06-08 05:18:00.004"
TransitionBlock "2019-06-08 05:18:00.004" "2019-06-08 05:19:20.004"
"Unused Time" "2019-06-08 05:19:20.004" "2019-06-08 05:21:40.004"
CAL_IRC+10216 "2019-06-08 05:21:40.004" "2019-06-08 05:24:40.004"
TransitionBlock "2019-06-08 05:24:40.004" "2019-06-08 05:25:40.004"
"Unused Time" "2019-06-08 05:25:40.004" "2019-06-08 05:26:00.004"
CAL_1308+326 "2019-06-08 05:26:00.004" "2019-06-08 05:29:00.004"
TransitionBlock "2019-06-08 05:29:00.004" "2019-06-08 05:29:40.004"
"Unused Time" "2019-06-08 05:29:40.004" "2019-06-08 05:30:40.004"
"Y UMa" "2019-06-08 05:30:40.004" "2019-06-08 06:15:00.004"
TransitionBlock "2019-06-08 06:15:00.004" "2019-06-08 06:16:00.004"
"Unused Time" "2019-06-08 06:16:00.004" "2019-06-08 06:16:20.006"
CAL_IRC+10216 "2019-06-08 06:16:20.006" "2019-06-08 06:19:20.006"
TransitionBlock "2019-06-08 06:19:20.006" "2019-06-08 06:20:20.006"
"Unused Time" "2019-06-08 06:20:20.006" "2019-06-08 06:20:40.006"
CAL_1308+326 "2019-06-08 06:20:40.006" "2019-06-08 06:23:40.006"
TransitionBlock "2019-06-08 06:23:40.006" "2019-06-08 06:24:20.006"
"Unused Time" "2019-06-08 06:24:20.006" "2019-06-08 06:27:00.007"
CAL_Arp220 "2019-06-08 06:27:00.007" "2019-06-08 06:30:00.007"
TransitionBlock "2019-06-08 06:30:00.007" "2019-06-08 06:30:40.007"
"Y UMa" "2019-06-08 06:30:40.007" "2019-06-08 07:15:00.007"
TransitionBlock "2019-06-08 07:15:00.007" "2019-06-08 07:15:40.007"
"Unused Time" "2019-06-08 07:15:40.007" "2019-06-08 07:18:40.008"
CAL_1308+326 "2019-06-08 07:18:40.008" "2019-06-08 07:21:40.008"
TransitionBlock "2019-06-08 07:21:40.008" "2019-06-08 07:22:20.008"
"Unused Time" "2019-06-08 07:22:20.008" "2019-06-08 07:24:40.009"
CAL_Arp220 "2019-06-08 07:24:40.009" "2019-06-08 07:27:40.009"
TransitionBlock "2019-06-08 07:27:40.009" "2019-06-08 07:28:40.009"
"Unused Time" "2019-06-08 07:28:40.009" "2019-06-08 07:36:40.009"
"Oph Core" "2019-06-08 07:36:40.009" "2019-06-08 08:08:40.009"
TransitionBlock "2019-06-08 08:08:40.009" "2019-06-08 08:10:00.009"
"Unused Time" "2019-06-08 08:10:00.009" "2019-06-08 08:18:40.011"
CAL_1308+326 "2019-06-08 08:18:40.011" "2019-06-08 08:21:40.011"
TransitionBlock "2019-06-08 08:21:40.011" "2019-06-08 08:22:20.011"
"Unused Time" "2019-06-08 08:22:20.011" "2019-06-08 08:23:20.011"
"Y UMa" "2019-06-08 08:23:20.011" "2019-06-08 09:07:40.011"
TransitionBlock "2019-06-08 09:07:40.011" "2019-06-08 09:08:20.011"
"Unused Time" "2019-06-08 09:08:20.011" "2019-06-08 09:19:20.013"
CAL_1308+326 "2019-06-08 09:19:20.013" "2019-06-08 09:22:20.013"
TransitionBlock "2019-06-08 09:22:20.013" "2019-06-08 09:23:40.013"
"Unused Time" "2019-06-08 09:23:40.013" "2019-06-08 09:33:00.013"
"Serpens South" "2019-06-08 09:33:00.013" "2019-06-08 10:05:00.013"
TransitionBlock "2019-06-08 10:05:00.013" "2019-06-08 10:06:20.013"
"Unused Time" "2019-06-08 10:06:20.013" "2019-06-08 10:18:20.015"
CAL_1308+326 "2019-06-08 10:18:20.015" "2019-06-08 10:21:20.015"
TransitionBlock "2019-06-08 10:21:20.015" "2019-06-08 10:22:00.015"
"Unused Time" "2019-06-08 10:22:00.015" "2019-06-08 10:24:40.015"
CAL_Arp220 "2019-06-08 10:24:40.015" "2019-06-08 10:27:40.015"
TransitionBlock "2019-06-08 10:27:40.015" "2019-06-08 10:28:20.015"
"X Her" "2019-06-08 10:28:20.015" "2019-06-08 11:12:40.015"
TransitionBlock "2019-06-08 11:12:40.015" "2019-06-08 11:13:40.015"
"Unused Time" "2019-06-08 11:13:40.015" "2019-06-08 11:16:40.017"
CAL_BLLAC "2019-06-08 11:16:40.017" "2019-06-08 11:19:40.017"
TransitionBlock "2019-06-08 11:19:40.017" "2019-06-08 11:20:00.017"
"Unused Time" "2019-06-08 11:20:00.017" "2019-06-08 11:22:00.017"
CAL_CRL2688 "2019-06-08 11:22:00.017" "2019-06-08 11:25:00.017"
"Unused Time" "2019-06-08 11:25:00.017" "2019-06-08 11:25:40.017"
CAL_CRL2688 "2019-06-08 11:25:40.017" "2019-06-08 11:28:40.017"
TransitionBlock "2019-06-08 11:28:40.017" "2019-06-08 11:29:40.017"
"Unused Time" "2019-06-08 11:29:40.017" "2019-06-08 11:36:20.018"
"IRAS 19178-2620" "2019-06-08 11:36:20.018" "2019-06-08 12:07:20.018"
TransitionBlock "2019-06-08 12:07:20.018" "2019-06-08 12:08:20.018"
"Unused Time" "2019-06-08 12:08:20.018" "2019-06-08 12:15:00.019"
CAL_CRL2688 "2019-06-08 12:15:00.019" "2019-06-08 12:18:00.019"
