target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-04-05 12:28:20.020" "2019-04-05 12:44:20.020"
"IRAS 18437-0643" "2019-04-05 12:44:20.020" "2019-04-05 13:15:20.020"
TransitionBlock "2019-04-05 13:15:20.020" "2019-04-05 13:15:40.020"
"Unused Time" "2019-04-05 13:15:40.020" "2019-04-05 13:16:20.022"
CAL_G34.3 "2019-04-05 13:16:20.022" "2019-04-05 13:19:20.022"
TransitionBlock "2019-04-05 13:19:20.022" "2019-04-05 13:20:20.022"
"Unused Time" "2019-04-05 13:20:20.022" "2019-04-05 13:25:20.022"
CAL_1739+522 "2019-04-05 13:25:20.022" "2019-04-05 13:28:20.022"
TransitionBlock "2019-04-05 13:28:20.022" "2019-04-05 13:29:40.022"
"Unused Time" "2019-04-05 13:29:40.022" "2019-04-05 13:42:00.022"
"IRAS 17505-3143" "2019-04-05 13:42:00.022" "2019-04-05 14:13:00.022"
TransitionBlock "2019-04-05 14:13:00.022" "2019-04-05 14:14:20.022"
"Unused Time" "2019-04-05 14:14:20.022" "2019-04-05 14:15:00.024"
CAL_MWC349 "2019-04-05 14:15:00.024" "2019-04-05 14:18:00.024"
TransitionBlock "2019-04-05 14:18:00.024" "2019-04-05 14:18:40.024"
"Unused Time" "2019-04-05 14:18:40.024" "2019-04-05 14:20:00.024"
CAL_G34.3 "2019-04-05 14:20:00.024" "2019-04-05 14:23:00.024"
TransitionBlock "2019-04-05 14:23:00.024" "2019-04-05 14:24:00.024"
"Unused Time" "2019-04-05 14:24:00.024" "2019-04-05 14:26:00.024"
CAL_1739+522 "2019-04-05 14:26:00.024" "2019-04-05 14:29:00.024"
TransitionBlock "2019-04-05 14:29:00.024" "2019-04-05 14:30:00.024"
"Unused Time" "2019-04-05 14:30:00.024" "2019-04-05 14:44:40.025"
"IRAS 20547+0247" "2019-04-05 14:44:40.025" "2019-04-05 15:15:40.025"
TransitionBlock "2019-04-05 15:15:40.025" "2019-04-05 15:16:20.025"
"Unused Time" "2019-04-05 15:16:20.025" "2019-04-05 15:16:40.026"
CAL_G34.3 "2019-04-05 15:16:40.026" "2019-04-05 15:19:40.026"
TransitionBlock "2019-04-05 15:19:40.026" "2019-04-05 15:20:20.026"
"Unused Time" "2019-04-05 15:20:20.026" "2019-04-05 15:22:00.026"
CAL_MWC349 "2019-04-05 15:22:00.026" "2019-04-05 15:25:00.026"
TransitionBlock "2019-04-05 15:25:00.026" "2019-04-05 15:25:40.026"
"Unused Time" "2019-04-05 15:25:40.026" "2019-04-05 15:26:40.026"
CAL_1739+522 "2019-04-05 15:26:40.026" "2019-04-05 15:29:40.026"
TransitionBlock "2019-04-05 15:29:40.026" "2019-04-05 15:30:40.026"
