target "start time (UTC)" "end time (UTC)"
M31-pointing-1e "2019-01-24 03:30:00.000" "2019-01-24 04:11:40.000"
TransitionBlock "2019-01-24 04:11:40.000" "2019-01-24 04:12:20.000"
"Unused Time" "2019-01-24 04:12:20.000" "2019-01-24 04:18:20.002"
CAL_CRL618 "2019-01-24 04:18:20.002" "2019-01-24 04:21:20.002"
"Unused Time" "2019-01-24 04:21:20.002" "2019-01-24 04:22:00.002"
CAL_CRL618 "2019-01-24 04:22:00.002" "2019-01-24 04:25:00.002"
TransitionBlock "2019-01-24 04:25:00.002" "2019-01-24 04:25:20.002"
"Unused Time" "2019-01-24 04:25:20.002" "2019-01-24 04:25:40.002"
CAL_0355+508 "2019-01-24 04:25:40.002" "2019-01-24 04:28:40.002"
TransitionBlock "2019-01-24 04:28:40.002" "2019-01-24 04:29:20.002"
"Unused Time" "2019-01-24 04:29:20.002" "2019-01-24 04:30:00.002"
M31-pointing-1e "2019-01-24 04:30:00.002" "2019-01-24 05:11:40.002"
TransitionBlock "2019-01-24 05:11:40.002" "2019-01-24 05:12:20.002"
"Unused Time" "2019-01-24 05:12:20.002" "2019-01-24 05:15:00.004"
CAL_CRL618 "2019-01-24 05:15:00.004" "2019-01-24 05:18:00.004"
CAL_CRL618 "2019-01-24 05:18:00.004" "2019-01-24 05:21:00.004"
TransitionBlock "2019-01-24 05:21:00.004" "2019-01-24 05:21:20.004"
"Unused Time" "2019-01-24 05:21:20.004" "2019-01-24 05:26:00.004"
CAL_0355+508 "2019-01-24 05:26:00.004" "2019-01-24 05:29:00.004"
TransitionBlock "2019-01-24 05:29:00.004" "2019-01-24 05:29:40.004"
"Unused Time" "2019-01-24 05:29:40.004" "2019-01-24 05:36:40.005"
M31-pointing-1e "2019-01-24 05:36:40.005" "2019-01-24 06:18:20.005"
TransitionBlock "2019-01-24 06:18:20.005" "2019-01-24 06:19:00.005"
"Unused Time" "2019-01-24 06:19:00.005" "2019-01-24 06:20:40.006"
CAL_0355+508 "2019-01-24 06:20:40.006" "2019-01-24 06:23:40.006"
TransitionBlock "2019-01-24 06:23:40.006" "2019-01-24 06:24:00.006"
CAL_CRL618 "2019-01-24 06:24:00.006" "2019-01-24 06:27:00.007"
CAL_CRL618 "2019-01-24 06:27:00.007" "2019-01-24 06:30:00.007"
TransitionBlock "2019-01-24 06:30:00.007" "2019-01-24 06:30:40.007"
"Unused Time" "2019-01-24 06:30:40.007" "2019-01-24 06:31:00.007"
M31-pointing-1e "2019-01-24 06:31:00.007" "2019-01-24 07:12:40.007"
TransitionBlock "2019-01-24 07:12:40.007" "2019-01-24 07:13:20.007"
"Unused Time" "2019-01-24 07:13:20.007" "2019-01-24 07:15:00.008"
CAL_CRL618 "2019-01-24 07:15:00.008" "2019-01-24 07:18:00.008"
TransitionBlock "2019-01-24 07:18:00.008" "2019-01-24 07:18:20.008"
