target "start time (UTC)" "end time (UTC)"
"Rosette Field 2" "2019-03-15 03:30:00.000" "2019-03-15 04:11:00.000"
TransitionBlock "2019-03-15 04:11:00.000" "2019-03-15 04:11:40.000"
"Unused Time" "2019-03-15 04:11:40.000" "2019-03-15 04:18:20.002"
CAL_CRL618 "2019-03-15 04:18:20.002" "2019-03-15 04:21:20.002"
TransitionBlock "2019-03-15 04:21:20.002" "2019-03-15 04:22:00.002"
"Unused Time" "2019-03-15 04:22:00.002" "2019-03-15 04:25:40.002"
CAL_0642+449 "2019-03-15 04:25:40.002" "2019-03-15 04:28:40.002"
TransitionBlock "2019-03-15 04:28:40.002" "2019-03-15 04:29:20.002"
"Unused Time" "2019-03-15 04:29:20.002" "2019-03-15 04:33:00.002"
"Rosette Field 2" "2019-03-15 04:33:00.002" "2019-03-15 05:14:00.002"
TransitionBlock "2019-03-15 05:14:00.002" "2019-03-15 05:14:40.002"
"Unused Time" "2019-03-15 05:14:40.002" "2019-03-15 05:15:00.004"
CAL_CRL618 "2019-03-15 05:15:00.004" "2019-03-15 05:18:00.004"
TransitionBlock "2019-03-15 05:18:00.004" "2019-03-15 05:19:00.004"
"Unused Time" "2019-03-15 05:19:00.004" "2019-03-15 05:21:40.004"
CAL_OH231.8 "2019-03-15 05:21:40.004" "2019-03-15 05:24:40.004"
TransitionBlock "2019-03-15 05:24:40.004" "2019-03-15 05:25:40.004"
"Unused Time" "2019-03-15 05:25:40.004" "2019-03-15 05:26:00.004"
CAL_0642+449 "2019-03-15 05:26:00.004" "2019-03-15 05:29:00.004"
TransitionBlock "2019-03-15 05:29:00.004" "2019-03-15 05:30:00.004"
"Unused Time" "2019-03-15 05:30:00.004" "2019-03-15 05:42:00.005"
STUDIES-1_offset_N2 "2019-03-15 05:42:00.005" "2019-03-15 06:13:00.005"
TransitionBlock "2019-03-15 06:13:00.005" "2019-03-15 06:13:40.005"
"Unused Time" "2019-03-15 06:13:40.005" "2019-03-15 06:16:20.006"
CAL_OH231.8 "2019-03-15 06:16:20.006" "2019-03-15 06:19:20.006"
TransitionBlock "2019-03-15 06:19:20.006" "2019-03-15 06:20:20.006"
"Unused Time" "2019-03-15 06:20:20.006" "2019-03-15 06:20:40.006"
CAL_0642+449 "2019-03-15 06:20:40.006" "2019-03-15 06:23:40.006"
TransitionBlock "2019-03-15 06:23:40.006" "2019-03-15 06:24:20.006"
"Unused Time" "2019-03-15 06:24:20.006" "2019-03-15 06:27:00.007"
CAL_CRL618 "2019-03-15 06:27:00.007" "2019-03-15 06:30:00.007"
TransitionBlock "2019-03-15 06:30:00.007" "2019-03-15 06:31:20.007"
"Unused Time" "2019-03-15 06:31:20.007" "2019-03-15 06:42:00.007"
STUDIES-1_offset_N2 "2019-03-15 06:42:00.007" "2019-03-15 07:13:00.007"
TransitionBlock "2019-03-15 07:13:00.007" "2019-03-15 07:14:00.007"
"Unused Time" "2019-03-15 07:14:00.007" "2019-03-15 07:18:40.008"
CAL_0642+449 "2019-03-15 07:18:40.008" "2019-03-15 07:21:40.008"
TransitionBlock "2019-03-15 07:21:40.008" "2019-03-15 07:22:40.008"
"Unused Time" "2019-03-15 07:22:40.008" "2019-03-15 07:24:40.009"
CAL_OH231.8 "2019-03-15 07:24:40.009" "2019-03-15 07:27:40.009"
TransitionBlock "2019-03-15 07:27:40.009" "2019-03-15 07:28:20.009"
"Unused Time" "2019-03-15 07:28:20.009" "2019-03-15 07:37:00.009"
STUDIES-1_offset_N2 "2019-03-15 07:37:00.009" "2019-03-15 08:08:00.009"
TransitionBlock "2019-03-15 08:08:00.009" "2019-03-15 08:09:00.009"
"Unused Time" "2019-03-15 08:09:00.009" "2019-03-15 08:18:40.011"
CAL_0642+449 "2019-03-15 08:18:40.011" "2019-03-15 08:21:40.011"
TransitionBlock "2019-03-15 08:21:40.011" "2019-03-15 08:22:40.011"
"Unused Time" "2019-03-15 08:22:40.011" "2019-03-15 08:25:20.011"
CAL_OH231.8 "2019-03-15 08:25:20.011" "2019-03-15 08:28:20.011"
TransitionBlock "2019-03-15 08:28:20.011" "2019-03-15 08:29:00.011"
"Unused Time" "2019-03-15 08:29:00.011" "2019-03-15 08:38:40.011"
STUDIES-1_offset_N2 "2019-03-15 08:38:40.011" "2019-03-15 09:09:40.011"
TransitionBlock "2019-03-15 09:09:40.011" "2019-03-15 09:10:40.011"
"Unused Time" "2019-03-15 09:10:40.011" "2019-03-15 09:19:20.013"
CAL_0642+449 "2019-03-15 09:19:20.013" "2019-03-15 09:22:20.013"
TransitionBlock "2019-03-15 09:22:20.013" "2019-03-15 09:23:20.013"
"Unused Time" "2019-03-15 09:23:20.013" "2019-03-15 09:27:00.013"
CAL_OH231.8 "2019-03-15 09:27:00.013" "2019-03-15 09:30:00.013"
TransitionBlock "2019-03-15 09:30:00.013" "2019-03-15 09:30:40.013"
"Unused Time" "2019-03-15 09:30:40.013" "2019-03-15 09:36:20.013"
STUDIES-1_offset_N2 "2019-03-15 09:36:20.013" "2019-03-15 10:07:20.013"
"Unused Time" "2019-03-15 10:07:20.013" "2019-03-15 10:30:40.015"
STUDIES-1_offset_N2 "2019-03-15 10:30:40.015" "2019-03-15 11:01:40.015"
TransitionBlock "2019-03-15 11:01:40.015" "2019-03-15 11:03:00.015"
"Unused Time" "2019-03-15 11:03:00.015" "2019-03-15 11:16:40.017"
CAL_Arp220 "2019-03-15 11:16:40.017" "2019-03-15 11:19:40.017"
TransitionBlock "2019-03-15 11:19:40.017" "2019-03-15 11:20:00.017"
"Unused Time" "2019-03-15 11:20:00.017" "2019-03-15 11:22:00.017"
CAL_1611+343 "2019-03-15 11:22:00.017" "2019-03-15 11:25:00.017"
TransitionBlock "2019-03-15 11:25:00.017" "2019-03-15 11:26:20.017"
"Unused Time" "2019-03-15 11:26:20.017" "2019-03-15 11:44:20.018"
STUDIES-1_offset_N2 "2019-03-15 11:44:20.018" "2019-03-15 12:15:20.018"
TransitionBlock "2019-03-15 12:15:20.018" "2019-03-15 12:16:40.018"
"Unused Time" "2019-03-15 12:16:40.018" "2019-03-15 12:18:40.019"
CAL_Arp220 "2019-03-15 12:18:40.019" "2019-03-15 12:21:40.019"
TransitionBlock "2019-03-15 12:21:40.019" "2019-03-15 12:22:00.019"
"Unused Time" "2019-03-15 12:22:00.019" "2019-03-15 12:24:20.020"
CAL_1611+343 "2019-03-15 12:24:20.020" "2019-03-15 12:27:20.020"
"Unused Time" "2019-03-15 12:27:20.020" "2019-03-15 13:16:20.022"
CAL_1611+343 "2019-03-15 13:16:20.022" "2019-03-15 13:19:20.022"
TransitionBlock "2019-03-15 13:19:20.022" "2019-03-15 13:19:40.022"
