target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-07-30 03:30:00.000" "2019-07-30 04:17:20.002"
CAL_Arp220 "2019-07-30 04:17:20.002" "2019-07-30 04:20:20.002"
TransitionBlock "2019-07-30 04:20:20.002" "2019-07-30 04:20:40.002"
"Unused Time" "2019-07-30 04:20:40.002" "2019-07-30 04:22:40.002"
CAL_1611+343 "2019-07-30 04:22:40.002" "2019-07-30 04:25:40.002"
TransitionBlock "2019-07-30 04:25:40.002" "2019-07-30 04:26:40.002"
CAL_16293-2422 "2019-07-30 04:26:40.002" "2019-07-30 04:29:40.002"
"Unused Time" "2019-07-30 04:29:40.002" "2019-07-30 05:17:40.004"
CAL_16293-2422 "2019-07-30 05:17:40.004" "2019-07-30 05:20:40.004"
TransitionBlock "2019-07-30 05:20:40.004" "2019-07-30 05:21:40.004"
"Unused Time" "2019-07-30 05:21:40.004" "2019-07-30 05:25:20.004"
CAL_1611+343 "2019-07-30 05:25:20.004" "2019-07-30 05:28:20.004"
TransitionBlock "2019-07-30 05:28:20.004" "2019-07-30 05:29:20.004"
"Unused Time" "2019-07-30 05:29:20.004" "2019-07-30 06:16:20.006"
CAL_16293-2422 "2019-07-30 06:16:20.006" "2019-07-30 06:19:20.006"
TransitionBlock "2019-07-30 06:19:20.006" "2019-07-30 06:20:20.006"
"Unused Time" "2019-07-30 06:20:20.006" "2019-07-30 06:22:00.006"
CAL_Arp220 "2019-07-30 06:22:00.006" "2019-07-30 06:25:00.006"
TransitionBlock "2019-07-30 06:25:00.006" "2019-07-30 06:25:20.006"
"Unused Time" "2019-07-30 06:25:20.006" "2019-07-30 06:26:40.006"
CAL_1611+343 "2019-07-30 06:26:40.006" "2019-07-30 06:29:40.006"
TransitionBlock "2019-07-30 06:29:40.006" "2019-07-30 06:30:40.006"
"Unused Time" "2019-07-30 06:30:40.006" "2019-07-30 07:16:20.008"
CAL_16293-2422 "2019-07-30 07:16:20.008" "2019-07-30 07:19:20.008"
TransitionBlock "2019-07-30 07:19:20.008" "2019-07-30 07:20:20.008"
"Unused Time" "2019-07-30 07:20:20.008" "2019-07-30 07:21:20.008"
CAL_1611+343 "2019-07-30 07:21:20.008" "2019-07-30 07:24:20.008"
TransitionBlock "2019-07-30 07:24:20.008" "2019-07-30 07:24:40.008"
"Unused Time" "2019-07-30 07:24:40.008" "2019-07-30 07:25:00.009"
CAL_Arp220 "2019-07-30 07:25:00.009" "2019-07-30 07:28:00.009"
TransitionBlock "2019-07-30 07:28:00.009" "2019-07-30 07:28:20.009"
"Unused Time" "2019-07-30 07:28:20.009" "2019-07-30 08:16:40.011"
CAL_1611+343 "2019-07-30 08:16:40.011" "2019-07-30 08:19:40.011"
TransitionBlock "2019-07-30 08:19:40.011" "2019-07-30 08:20:00.011"
"Unused Time" "2019-07-30 08:20:00.011" "2019-07-30 08:21:20.011"
CAL_Arp220 "2019-07-30 08:21:20.011" "2019-07-30 08:24:20.011"
TransitionBlock "2019-07-30 08:24:20.011" "2019-07-30 08:25:20.011"
"Unused Time" "2019-07-30 08:25:20.011" "2019-07-30 08:25:40.011"
CAL_16293-2422 "2019-07-30 08:25:40.011" "2019-07-30 08:28:40.011"
TransitionBlock "2019-07-30 08:28:40.011" "2019-07-30 08:29:40.011"
"Unused Time" "2019-07-30 08:29:40.011" "2019-07-30 09:15:00.013"
CAL_Arp220 "2019-07-30 09:15:00.013" "2019-07-30 09:18:00.013"
TransitionBlock "2019-07-30 09:18:00.013" "2019-07-30 09:18:20.013"
"Unused Time" "2019-07-30 09:18:20.013" "2019-07-30 09:24:00.013"
CAL_1611+343 "2019-07-30 09:24:00.013" "2019-07-30 09:27:00.013"
"Unused Time" "2019-07-30 09:27:00.013" "2019-07-30 10:21:20.015"
CAL_1611+343 "2019-07-30 10:21:20.015" "2019-07-30 10:24:20.015"
TransitionBlock "2019-07-30 10:24:20.015" "2019-07-30 10:25:20.015"
"Unused Time" "2019-07-30 10:25:20.015" "2019-07-30 11:15:40.017"
CAL_CRL2688 "2019-07-30 11:15:40.017" "2019-07-30 11:18:40.017"
TransitionBlock "2019-07-30 11:18:40.017" "2019-07-30 11:19:40.017"
"Unused Time" "2019-07-30 11:19:40.017" "2019-07-30 11:21:00.017"
CAL_0003-066 "2019-07-30 11:21:00.017" "2019-07-30 11:24:00.017"
TransitionBlock "2019-07-30 11:24:00.017" "2019-07-30 11:25:00.017"
CAL_N7538IRS1 "2019-07-30 11:25:00.017" "2019-07-30 11:28:00.017"
TransitionBlock "2019-07-30 11:28:00.017" "2019-07-30 11:28:40.017"
"Unused Time" "2019-07-30 11:28:40.017" "2019-07-30 12:16:00.019"
CAL_CRL2688 "2019-07-30 12:16:00.019" "2019-07-30 12:19:00.019"
TransitionBlock "2019-07-30 12:19:00.019" "2019-07-30 12:20:00.019"
"Unused Time" "2019-07-30 12:20:00.019" "2019-07-30 12:20:20.019"
CAL_0003-066 "2019-07-30 12:20:20.019" "2019-07-30 12:23:20.019"
TransitionBlock "2019-07-30 12:23:20.019" "2019-07-30 12:24:20.019"
"Unused Time" "2019-07-30 12:24:20.019" "2019-07-30 12:25:40.020"
CAL_N7538IRS1 "2019-07-30 12:25:40.020" "2019-07-30 12:28:40.020"
TransitionBlock "2019-07-30 12:28:40.020" "2019-07-30 12:29:20.020"
"Unused Time" "2019-07-30 12:29:20.020" "2019-07-30 13:16:00.021"
CAL_CRL2688 "2019-07-30 13:16:00.021" "2019-07-30 13:19:00.021"
TransitionBlock "2019-07-30 13:19:00.021" "2019-07-30 13:20:00.021"
"Unused Time" "2019-07-30 13:20:00.021" "2019-07-30 13:21:00.022"
CAL_0003-066 "2019-07-30 13:21:00.022" "2019-07-30 13:24:00.022"
TransitionBlock "2019-07-30 13:24:00.022" "2019-07-30 13:25:00.022"
CAL_N7538IRS1 "2019-07-30 13:25:00.022" "2019-07-30 13:28:00.022"
"Unused Time" "2019-07-30 13:28:00.022" "2019-07-30 14:15:40.024"
CAL_N7538IRS1 "2019-07-30 14:15:40.024" "2019-07-30 14:18:40.024"
TransitionBlock "2019-07-30 14:18:40.024" "2019-07-30 14:19:40.024"
"Unused Time" "2019-07-30 14:19:40.024" "2019-07-30 14:20:00.024"
CAL_0003-066 "2019-07-30 14:20:00.024" "2019-07-30 14:23:00.024"
TransitionBlock "2019-07-30 14:23:00.024" "2019-07-30 14:24:00.024"
"Unused Time" "2019-07-30 14:24:00.024" "2019-07-30 14:27:00.024"
CAL_CRL2688 "2019-07-30 14:27:00.024" "2019-07-30 14:30:00.024"
"Unused Time" "2019-07-30 14:30:00.024" "2019-07-30 15:16:20.026"
CAL_CRL2688 "2019-07-30 15:16:20.026" "2019-07-30 15:19:20.026"
TransitionBlock "2019-07-30 15:19:20.026" "2019-07-30 15:20:00.026"
"Unused Time" "2019-07-30 15:20:00.026" "2019-07-30 15:22:00.026"
CAL_N7538IRS1 "2019-07-30 15:22:00.026" "2019-07-30 15:25:00.026"
TransitionBlock "2019-07-30 15:25:00.026" "2019-07-30 15:26:00.026"
CAL_0003-066 "2019-07-30 15:26:00.026" "2019-07-30 15:29:00.026"
TransitionBlock "2019-07-30 15:29:00.026" "2019-07-30 15:30:00.026"
"Unused Time" "2019-07-30 15:30:00.026" "2019-07-30 16:16:40.028"
CAL_N7538IRS1 "2019-07-30 16:16:40.028" "2019-07-30 16:19:40.028"
TransitionBlock "2019-07-30 16:19:40.028" "2019-07-30 16:20:40.028"
"Unused Time" "2019-07-30 16:20:40.028" "2019-07-30 16:27:00.000"
CAL_0003-066 "2019-07-30 16:27:00.000" "2019-07-30 16:30:00.000"
