target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-04-08 03:30:00.000" "2019-04-08 04:18:20.002"
CAL_V883Ori "2019-04-08 04:18:20.002" "2019-04-08 04:21:20.002"
TransitionBlock "2019-04-08 04:21:20.002" "2019-04-08 04:22:20.002"
"Unused Time" "2019-04-08 04:22:20.002" "2019-04-08 04:25:40.002"
CAL_0917+449 "2019-04-08 04:25:40.002" "2019-04-08 04:28:40.002"
TransitionBlock "2019-04-08 04:28:40.002" "2019-04-08 04:29:40.002"
"Unused Time" "2019-04-08 04:29:40.002" "2019-04-08 05:15:00.004"
CAL_V883Ori "2019-04-08 05:15:00.004" "2019-04-08 05:18:00.004"
TransitionBlock "2019-04-08 05:18:00.004" "2019-04-08 05:19:00.004"
"Unused Time" "2019-04-08 05:19:00.004" "2019-04-08 05:22:00.004"
CAL_IRC+10216 "2019-04-08 05:22:00.004" "2019-04-08 05:25:00.004"
TransitionBlock "2019-04-08 05:25:00.004" "2019-04-08 05:25:40.004"
"Unused Time" "2019-04-08 05:25:40.004" "2019-04-08 05:26:00.004"
CAL_0917+449 "2019-04-08 05:26:00.004" "2019-04-08 05:29:00.004"
TransitionBlock "2019-04-08 05:29:00.004" "2019-04-08 05:29:40.004"
"Unused Time" "2019-04-08 05:29:40.004" "2019-04-08 06:16:40.006"
CAL_IRC+10216 "2019-04-08 06:16:40.006" "2019-04-08 06:19:40.006"
TransitionBlock "2019-04-08 06:19:40.006" "2019-04-08 06:20:20.006"
"Unused Time" "2019-04-08 06:20:20.006" "2019-04-08 06:20:40.006"
CAL_0917+449 "2019-04-08 06:20:40.006" "2019-04-08 06:23:40.006"
TransitionBlock "2019-04-08 06:23:40.006" "2019-04-08 06:24:40.006"
"Unused Time" "2019-04-08 06:24:40.006" "2019-04-08 06:27:00.007"
CAL_V883Ori "2019-04-08 06:27:00.007" "2019-04-08 06:30:00.007"
TransitionBlock "2019-04-08 06:30:00.007" "2019-04-08 06:31:00.007"
"Unused Time" "2019-04-08 06:31:00.007" "2019-04-08 07:18:40.008"
CAL_0917+449 "2019-04-08 07:18:40.008" "2019-04-08 07:21:40.008"
"Unused Time" "2019-04-08 07:21:40.008" "2019-04-08 08:18:40.011"
CAL_0917+449 "2019-04-08 08:18:40.011" "2019-04-08 08:21:40.011"
TransitionBlock "2019-04-08 08:21:40.011" "2019-04-08 08:22:20.011"
"Unused Time" "2019-04-08 08:22:20.011" "2019-04-08 08:25:20.011"
CAL_IRC+10216 "2019-04-08 08:25:20.011" "2019-04-08 08:28:20.011"
TransitionBlock "2019-04-08 08:28:20.011" "2019-04-08 08:29:00.011"
"Unused Time" "2019-04-08 08:29:00.011" "2019-04-08 09:19:20.013"
CAL_0917+449 "2019-04-08 09:19:20.013" "2019-04-08 09:22:20.013"
TransitionBlock "2019-04-08 09:22:20.013" "2019-04-08 09:23:00.013"
"Unused Time" "2019-04-08 09:23:00.013" "2019-04-08 09:27:00.013"
CAL_IRC+10216 "2019-04-08 09:27:00.013" "2019-04-08 09:30:00.013"
TransitionBlock "2019-04-08 09:30:00.013" "2019-04-08 09:30:40.013"
"Unused Time" "2019-04-08 09:30:40.013" "2019-04-08 10:18:20.015"
CAL_0917+449 "2019-04-08 10:18:20.015" "2019-04-08 10:21:20.015"
TransitionBlock "2019-04-08 10:21:20.015" "2019-04-08 10:22:00.015"
"Unused Time" "2019-04-08 10:22:00.015" "2019-04-08 10:24:40.015"
CAL_IRC+10216 "2019-04-08 10:24:40.015" "2019-04-08 10:27:40.015"
TransitionBlock "2019-04-08 10:27:40.015" "2019-04-08 10:29:00.015"
"Unused Time" "2019-04-08 10:29:00.015" "2019-04-08 11:22:00.017"
CAL_1739+522 "2019-04-08 11:22:00.017" "2019-04-08 11:25:00.017"
TransitionBlock "2019-04-08 11:25:00.017" "2019-04-08 11:25:20.017"
"Unused Time" "2019-04-08 11:25:20.017" "2019-04-08 11:26:20.017"
NEP-14 "2019-04-08 11:26:20.017" "2019-04-08 12:08:00.017"
TransitionBlock "2019-04-08 12:08:00.017" "2019-04-08 12:08:20.017"
"Unused Time" "2019-04-08 12:08:20.017" "2019-04-08 12:18:40.019"
CAL_1739+522 "2019-04-08 12:18:40.019" "2019-04-08 12:21:40.019"
TransitionBlock "2019-04-08 12:21:40.019" "2019-04-08 12:22:40.019"
"Unused Time" "2019-04-08 12:22:40.019" "2019-04-08 12:24:00.020"
CAL_G34.3 "2019-04-08 12:24:00.020" "2019-04-08 12:27:00.020"
