target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-07-28 03:30:00.000" "2019-07-28 04:18:20.002"
CAL_16293-2422 "2019-07-28 04:18:20.002" "2019-07-28 04:21:20.002"
TransitionBlock "2019-07-28 04:21:20.002" "2019-07-28 04:22:20.002"
"Unused Time" "2019-07-28 04:22:20.002" "2019-07-28 04:25:40.002"
CAL_1611+343 "2019-07-28 04:25:40.002" "2019-07-28 04:28:40.002"
TransitionBlock "2019-07-28 04:28:40.002" "2019-07-28 04:29:20.002"
"Unused Time" "2019-07-28 04:29:20.002" "2019-07-28 04:31:40.002"
NEP-17 "2019-07-28 04:31:40.002" "2019-07-28 05:13:20.002"
TransitionBlock "2019-07-28 05:13:20.002" "2019-07-28 05:14:40.002"
"Unused Time" "2019-07-28 05:14:40.002" "2019-07-28 05:15:00.004"
CAL_16293-2422 "2019-07-28 05:15:00.004" "2019-07-28 05:18:00.004"
TransitionBlock "2019-07-28 05:18:00.004" "2019-07-28 05:19:00.004"
"Unused Time" "2019-07-28 05:19:00.004" "2019-07-28 05:26:00.004"
CAL_1611+343 "2019-07-28 05:26:00.004" "2019-07-28 05:29:00.004"
TransitionBlock "2019-07-28 05:29:00.004" "2019-07-28 05:29:40.004"
"Unused Time" "2019-07-28 05:29:40.004" "2019-07-28 05:32:40.005"
NEP-17 "2019-07-28 05:32:40.005" "2019-07-28 06:14:20.005"
TransitionBlock "2019-07-28 06:14:20.005" "2019-07-28 06:15:40.005"
"Unused Time" "2019-07-28 06:15:40.005" "2019-07-28 06:16:20.006"
CAL_16293-2422 "2019-07-28 06:16:20.006" "2019-07-28 06:19:20.006"
TransitionBlock "2019-07-28 06:19:20.006" "2019-07-28 06:20:20.006"
"Unused Time" "2019-07-28 06:20:20.006" "2019-07-28 06:20:40.006"
CAL_1611+343 "2019-07-28 06:20:40.006" "2019-07-28 06:23:40.006"
TransitionBlock "2019-07-28 06:23:40.006" "2019-07-28 06:24:00.006"
"Unused Time" "2019-07-28 06:24:00.006" "2019-07-28 06:26:40.006"
CAL_Arp220 "2019-07-28 06:26:40.006" "2019-07-28 06:29:40.006"
TransitionBlock "2019-07-28 06:29:40.006" "2019-07-28 06:30:40.006"
"Unused Time" "2019-07-28 06:30:40.006" "2019-07-28 06:31:00.007"
NEP-14 "2019-07-28 06:31:00.007" "2019-07-28 07:12:40.007"
TransitionBlock "2019-07-28 07:12:40.007" "2019-07-28 07:13:40.007"
"Unused Time" "2019-07-28 07:13:40.007" "2019-07-28 07:15:00.008"
CAL_Arp220 "2019-07-28 07:15:00.008" "2019-07-28 07:18:00.008"
TransitionBlock "2019-07-28 07:18:00.008" "2019-07-28 07:18:20.008"
"Unused Time" "2019-07-28 07:18:20.008" "2019-07-28 07:18:40.008"
CAL_1611+343 "2019-07-28 07:18:40.008" "2019-07-28 07:21:40.008"
TransitionBlock "2019-07-28 07:21:40.008" "2019-07-28 07:22:40.008"
"Unused Time" "2019-07-28 07:22:40.008" "2019-07-28 07:24:40.009"
CAL_16293-2422 "2019-07-28 07:24:40.009" "2019-07-28 07:27:40.009"
TransitionBlock "2019-07-28 07:27:40.009" "2019-07-28 07:29:20.009"
"Unused Time" "2019-07-28 07:29:20.009" "2019-07-28 07:37:00.009"
"T Cep" "2019-07-28 07:37:00.009" "2019-07-28 08:08:00.009"
TransitionBlock "2019-07-28 08:08:00.009" "2019-07-28 08:09:00.009"
"Unused Time" "2019-07-28 08:09:00.009" "2019-07-28 08:18:40.011"
CAL_1611+343 "2019-07-28 08:18:40.011" "2019-07-28 08:21:40.011"
TransitionBlock "2019-07-28 08:21:40.011" "2019-07-28 08:22:00.011"
"Unused Time" "2019-07-28 08:22:00.011" "2019-07-28 08:25:20.011"
CAL_Arp220 "2019-07-28 08:25:20.011" "2019-07-28 08:28:20.011"
TransitionBlock "2019-07-28 08:28:20.011" "2019-07-28 08:29:20.011"
"Unused Time" "2019-07-28 08:29:20.011" "2019-07-28 08:38:40.011"
"T Cep" "2019-07-28 08:38:40.011" "2019-07-28 09:09:40.011"
TransitionBlock "2019-07-28 09:09:40.011" "2019-07-28 09:11:20.011"
"Unused Time" "2019-07-28 09:11:20.011" "2019-07-28 09:15:00.013"
CAL_16293-2422 "2019-07-28 09:15:00.013" "2019-07-28 09:18:00.013"
TransitionBlock "2019-07-28 09:18:00.013" "2019-07-28 09:19:00.013"
