target "start time (UTC)" "end time (UTC)"
"NGC 1333" "2019-01-03 03:30:00.000" "2019-01-03 03:52:00.000"
TransitionBlock "2019-01-03 03:52:00.000" "2019-01-03 03:52:40.000"
"Unused Time" "2019-01-03 03:52:40.000" "2019-01-03 04:18:20.002"
CAL_W3(OH) "2019-01-03 04:18:20.002" "2019-01-03 04:21:20.002"
TransitionBlock "2019-01-03 04:21:20.002" "2019-01-03 04:22:00.002"
"Unused Time" "2019-01-03 04:22:00.002" "2019-01-03 04:25:40.002"
CAL_0202+319 "2019-01-03 04:25:40.002" "2019-01-03 04:28:40.002"
TransitionBlock "2019-01-03 04:28:40.002" "2019-01-03 04:29:00.002"
"Unused Time" "2019-01-03 04:29:00.002" "2019-01-03 04:31:40.002"
M31-pointing-2a "2019-01-03 04:31:40.002" "2019-01-03 05:13:20.002"
TransitionBlock "2019-01-03 05:13:20.002" "2019-01-03 05:14:00.002"
"Unused Time" "2019-01-03 05:14:00.002" "2019-01-03 05:15:00.004"
CAL_CRL618 "2019-01-03 05:15:00.004" "2019-01-03 05:18:00.004"
TransitionBlock "2019-01-03 05:18:00.004" "2019-01-03 05:18:40.004"
"Unused Time" "2019-01-03 05:18:40.004" "2019-01-03 05:22:00.004"
CAL_W3(OH) "2019-01-03 05:22:00.004" "2019-01-03 05:25:00.004"
TransitionBlock "2019-01-03 05:25:00.004" "2019-01-03 05:25:40.004"
"Unused Time" "2019-01-03 05:25:40.004" "2019-01-03 05:26:00.004"
CAL_0202+319 "2019-01-03 05:26:00.004" "2019-01-03 05:29:00.004"
TransitionBlock "2019-01-03 05:29:00.004" "2019-01-03 05:30:00.004"
"Unused Time" "2019-01-03 05:30:00.004" "2019-01-03 05:49:00.005"
NGC2024 "2019-01-03 05:49:00.005" "2019-01-03 06:11:00.005"
TransitionBlock "2019-01-03 06:11:00.005" "2019-01-03 06:12:20.005"
"Unused Time" "2019-01-03 06:12:20.005" "2019-01-03 06:16:40.006"
CAL_W3(OH) "2019-01-03 06:16:40.006" "2019-01-03 06:19:40.006"
TransitionBlock "2019-01-03 06:19:40.006" "2019-01-03 06:20:20.006"
"Unused Time" "2019-01-03 06:20:20.006" "2019-01-03 06:20:40.006"
CAL_0202+319 "2019-01-03 06:20:40.006" "2019-01-03 06:23:40.006"
TransitionBlock "2019-01-03 06:23:40.006" "2019-01-03 06:24:20.006"
"Unused Time" "2019-01-03 06:24:20.006" "2019-01-03 06:27:00.007"
CAL_CRL618 "2019-01-03 06:27:00.007" "2019-01-03 06:30:00.007"
TransitionBlock "2019-01-03 06:30:00.007" "2019-01-03 06:30:40.007"
