target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-01-22 03:30:00.000" "2019-01-22 04:17:20.002"
CAL_CRL618 "2019-01-22 04:17:20.002" "2019-01-22 04:20:20.002"
TransitionBlock "2019-01-22 04:20:20.002" "2019-01-22 04:20:40.002"
"Unused Time" "2019-01-22 04:20:40.002" "2019-01-22 04:22:40.002"
CAL_3C84 "2019-01-22 04:22:40.002" "2019-01-22 04:25:40.002"
TransitionBlock "2019-01-22 04:25:40.002" "2019-01-22 04:26:00.002"
"Unused Time" "2019-01-22 04:26:00.002" "2019-01-22 04:26:40.002"
CAL_CRL618 "2019-01-22 04:26:40.002" "2019-01-22 04:29:40.002"
"Unused Time" "2019-01-22 04:29:40.002" "2019-01-22 05:17:40.004"
CAL_CRL618 "2019-01-22 05:17:40.004" "2019-01-22 05:20:40.004"
CAL_CRL618 "2019-01-22 05:20:40.004" "2019-01-22 05:23:40.004"
TransitionBlock "2019-01-22 05:23:40.004" "2019-01-22 05:24:00.004"
"Unused Time" "2019-01-22 05:24:00.004" "2019-01-22 05:25:20.004"
CAL_3C84 "2019-01-22 05:25:20.004" "2019-01-22 05:28:20.004"
TransitionBlock "2019-01-22 05:28:20.004" "2019-01-22 05:28:40.004"
"Unused Time" "2019-01-22 05:28:40.004" "2019-01-22 06:16:20.006"
CAL_CRL618 "2019-01-22 06:16:20.006" "2019-01-22 06:19:20.006"
"Unused Time" "2019-01-22 06:19:20.006" "2019-01-22 06:22:00.006"
CAL_CRL618 "2019-01-22 06:22:00.006" "2019-01-22 06:25:00.006"
TransitionBlock "2019-01-22 06:25:00.006" "2019-01-22 06:25:20.006"
"Unused Time" "2019-01-22 06:25:20.006" "2019-01-22 06:26:40.006"
CAL_3C84 "2019-01-22 06:26:40.006" "2019-01-22 06:29:40.006"
TransitionBlock "2019-01-22 06:29:40.006" "2019-01-22 06:30:00.006"
"Unused Time" "2019-01-22 06:30:00.006" "2019-01-22 07:16:20.008"
CAL_CRL618 "2019-01-22 07:16:20.008" "2019-01-22 07:19:20.008"
"Unused Time" "2019-01-22 07:19:20.008" "2019-01-22 07:21:20.008"
CAL_CRL618 "2019-01-22 07:21:20.008" "2019-01-22 07:24:20.008"
TransitionBlock "2019-01-22 07:24:20.008" "2019-01-22 07:24:40.008"
"Unused Time" "2019-01-22 07:24:40.008" "2019-01-22 07:25:00.009"
CAL_3C84 "2019-01-22 07:25:00.009" "2019-01-22 07:28:00.009"
TransitionBlock "2019-01-22 07:28:00.009" "2019-01-22 07:28:20.009"
"Unused Time" "2019-01-22 07:28:20.009" "2019-01-22 08:16:40.011"
CAL_CRL618 "2019-01-22 08:16:40.011" "2019-01-22 08:19:40.011"
TransitionBlock "2019-01-22 08:19:40.011" "2019-01-22 08:20:00.011"
"Unused Time" "2019-01-22 08:20:00.011" "2019-01-22 08:21:20.011"
CAL_3C84 "2019-01-22 08:21:20.011" "2019-01-22 08:24:20.011"
TransitionBlock "2019-01-22 08:24:20.011" "2019-01-22 08:24:40.011"
"Unused Time" "2019-01-22 08:24:40.011" "2019-01-22 08:25:40.011"
CAL_CRL618 "2019-01-22 08:25:40.011" "2019-01-22 08:28:40.011"
"Unused Time" "2019-01-22 08:28:40.011" "2019-01-22 09:15:00.013"
CAL_CRL618 "2019-01-22 09:15:00.013" "2019-01-22 09:18:00.013"
TransitionBlock "2019-01-22 09:18:00.013" "2019-01-22 09:18:20.013"
"Unused Time" "2019-01-22 09:18:20.013" "2019-01-22 09:19:40.013"
CAL_3C84 "2019-01-22 09:19:40.013" "2019-01-22 09:22:40.013"
TransitionBlock "2019-01-22 09:22:40.013" "2019-01-22 09:23:00.013"
"Unused Time" "2019-01-22 09:23:00.013" "2019-01-22 09:24:00.013"
CAL_CRL618 "2019-01-22 09:24:00.013" "2019-01-22 09:27:00.013"
"Unused Time" "2019-01-22 09:27:00.013" "2019-01-22 10:21:20.015"
CAL_CRL618 "2019-01-22 10:21:20.015" "2019-01-22 10:24:20.015"
CAL_CRL618 "2019-01-22 10:24:20.015" "2019-01-22 10:27:20.015"
TransitionBlock "2019-01-22 10:27:20.015" "2019-01-22 10:28:20.015"
"Unused Time" "2019-01-22 10:28:20.015" "2019-01-22 11:15:40.017"
CAL_0917+449 "2019-01-22 11:15:40.017" "2019-01-22 11:18:40.017"
TransitionBlock "2019-01-22 11:18:40.017" "2019-01-22 11:19:20.017"
"Unused Time" "2019-01-22 11:19:20.017" "2019-01-22 11:21:00.017"
CAL_IRC+10216 "2019-01-22 11:21:00.017" "2019-01-22 11:24:00.017"
TransitionBlock "2019-01-22 11:24:00.017" "2019-01-22 11:24:40.017"
"Unused Time" "2019-01-22 11:24:40.017" "2019-01-22 12:20:20.019"
CAL_0917+449 "2019-01-22 12:20:20.019" "2019-01-22 12:23:20.019"
TransitionBlock "2019-01-22 12:23:20.019" "2019-01-22 12:24:00.019"
"Unused Time" "2019-01-22 12:24:00.019" "2019-01-22 13:16:00.021"
CAL_IRC+10216 "2019-01-22 13:16:00.021" "2019-01-22 13:19:00.021"
TransitionBlock "2019-01-22 13:19:00.021" "2019-01-22 13:19:40.021"
"Unused Time" "2019-01-22 13:19:40.021" "2019-01-22 13:21:00.022"
CAL_0917+449 "2019-01-22 13:21:00.022" "2019-01-22 13:24:00.022"
TransitionBlock "2019-01-22 13:24:00.022" "2019-01-22 13:24:40.022"
"Unused Time" "2019-01-22 13:24:40.022" "2019-01-22 14:16:00.024"
CAL_IRC+10216 "2019-01-22 14:16:00.024" "2019-01-22 14:19:00.024"
TransitionBlock "2019-01-22 14:19:00.024" "2019-01-22 14:19:40.024"
"Unused Time" "2019-01-22 14:19:40.024" "2019-01-22 14:20:00.024"
CAL_0917+449 "2019-01-22 14:20:00.024" "2019-01-22 14:23:00.024"
TransitionBlock "2019-01-22 14:23:00.024" "2019-01-22 14:24:20.024"
"Unused Time" "2019-01-22 14:24:20.024" "2019-01-22 14:27:00.024"
CAL_Arp220 "2019-01-22 14:27:00.024" "2019-01-22 14:30:00.024"
