target "start time (UTC)" "end time (UTC)"
XMM-LSS-034 "2019-03-25 03:30:00.000" "2019-03-25 04:11:40.000"
TransitionBlock "2019-03-25 04:11:40.000" "2019-03-25 04:12:40.000"
"Unused Time" "2019-03-25 04:12:40.000" "2019-03-25 04:18:20.002"
CAL_CRL618 "2019-03-25 04:18:20.002" "2019-03-25 04:21:20.002"
TransitionBlock "2019-03-25 04:21:20.002" "2019-03-25 04:22:20.002"
"Unused Time" "2019-03-25 04:22:20.002" "2019-03-25 04:25:40.002"
CAL_0754+100 "2019-03-25 04:25:40.002" "2019-03-25 04:28:40.002"
TransitionBlock "2019-03-25 04:28:40.002" "2019-03-25 04:29:40.002"
"Unused Time" "2019-03-25 04:29:40.002" "2019-03-25 05:15:00.004"
CAL_CRL618 "2019-03-25 05:15:00.004" "2019-03-25 05:18:00.004"
TransitionBlock "2019-03-25 05:18:00.004" "2019-03-25 05:19:00.004"
"Unused Time" "2019-03-25 05:19:00.004" "2019-03-25 05:22:00.004"
CAL_OH231.8 "2019-03-25 05:22:00.004" "2019-03-25 05:25:00.004"
TransitionBlock "2019-03-25 05:25:00.004" "2019-03-25 05:25:40.004"
"Unused Time" "2019-03-25 05:25:40.004" "2019-03-25 05:26:00.004"
CAL_0754+100 "2019-03-25 05:26:00.004" "2019-03-25 05:29:00.004"
TransitionBlock "2019-03-25 05:29:00.004" "2019-03-25 05:29:40.004"
"Unused Time" "2019-03-25 05:29:40.004" "2019-03-25 06:16:40.006"
CAL_OH231.8 "2019-03-25 06:16:40.006" "2019-03-25 06:19:40.006"
TransitionBlock "2019-03-25 06:19:40.006" "2019-03-25 06:20:20.006"
"Unused Time" "2019-03-25 06:20:20.006" "2019-03-25 06:20:40.006"
CAL_0754+100 "2019-03-25 06:20:40.006" "2019-03-25 06:23:40.006"
TransitionBlock "2019-03-25 06:23:40.006" "2019-03-25 06:24:40.006"
"Unused Time" "2019-03-25 06:24:40.006" "2019-03-25 06:27:00.007"
CAL_CRL618 "2019-03-25 06:27:00.007" "2019-03-25 06:30:00.007"
TransitionBlock "2019-03-25 06:30:00.007" "2019-03-25 06:31:00.007"
"Unused Time" "2019-03-25 06:31:00.007" "2019-03-25 07:18:40.008"
CAL_0754+100 "2019-03-25 07:18:40.008" "2019-03-25 07:21:40.008"
TransitionBlock "2019-03-25 07:21:40.008" "2019-03-25 07:22:20.008"
"Unused Time" "2019-03-25 07:22:20.008" "2019-03-25 07:24:40.009"
CAL_OH231.8 "2019-03-25 07:24:40.009" "2019-03-25 07:27:40.009"
TransitionBlock "2019-03-25 07:27:40.009" "2019-03-25 07:28:20.009"
"Unused Time" "2019-03-25 07:28:20.009" "2019-03-25 08:18:40.011"
CAL_0754+100 "2019-03-25 08:18:40.011" "2019-03-25 08:21:40.011"
TransitionBlock "2019-03-25 08:21:40.011" "2019-03-25 08:22:20.011"
"Unused Time" "2019-03-25 08:22:20.011" "2019-03-25 08:25:20.011"
CAL_OH231.8 "2019-03-25 08:25:20.011" "2019-03-25 08:28:20.011"
TransitionBlock "2019-03-25 08:28:20.011" "2019-03-25 08:29:00.011"
"Unused Time" "2019-03-25 08:29:00.011" "2019-03-25 09:19:20.013"
CAL_0754+100 "2019-03-25 09:19:20.013" "2019-03-25 09:22:20.013"
TransitionBlock "2019-03-25 09:22:20.013" "2019-03-25 09:24:00.013"
"Unused Time" "2019-03-25 09:24:00.013" "2019-03-25 11:16:40.017"
CAL_Arp220 "2019-03-25 11:16:40.017" "2019-03-25 11:19:40.017"
TransitionBlock "2019-03-25 11:19:40.017" "2019-03-25 11:20:00.017"
"Unused Time" "2019-03-25 11:20:00.017" "2019-03-25 11:22:00.017"
CAL_1633+382 "2019-03-25 11:22:00.017" "2019-03-25 11:25:00.017"
TransitionBlock "2019-03-25 11:25:00.017" "2019-03-25 11:25:20.017"
"Unused Time" "2019-03-25 11:25:20.017" "2019-03-25 12:18:40.019"
CAL_Arp220 "2019-03-25 12:18:40.019" "2019-03-25 12:21:40.019"
TransitionBlock "2019-03-25 12:21:40.019" "2019-03-25 12:22:00.019"
"Unused Time" "2019-03-25 12:22:00.019" "2019-03-25 12:24:20.020"
CAL_1633+382 "2019-03-25 12:24:20.020" "2019-03-25 12:27:20.020"
TransitionBlock "2019-03-25 12:27:20.020" "2019-03-25 12:28:00.020"
"Unused Time" "2019-03-25 12:28:00.020" "2019-03-25 12:31:40.020"
NEP-15 "2019-03-25 12:31:40.020" "2019-03-25 13:13:20.020"
