target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-06-19 03:30:00.000" "2019-06-19 04:22:40.002"
CAL_1308+326 "2019-06-19 04:22:40.002" "2019-06-19 04:25:40.002"
TransitionBlock "2019-06-19 04:25:40.002" "2019-06-19 04:26:20.002"
"Unused Time" "2019-06-19 04:26:20.002" "2019-06-19 04:26:40.002"
CAL_Arp220 "2019-06-19 04:26:40.002" "2019-06-19 04:29:40.002"
"Unused Time" "2019-06-19 04:29:40.002" "2019-06-19 05:17:40.004"
CAL_Arp220 "2019-06-19 05:17:40.004" "2019-06-19 05:20:40.004"
TransitionBlock "2019-06-19 05:20:40.004" "2019-06-19 05:21:20.004"
"Unused Time" "2019-06-19 05:21:20.004" "2019-06-19 05:25:20.004"
CAL_1308+326 "2019-06-19 05:25:20.004" "2019-06-19 05:28:20.004"
TransitionBlock "2019-06-19 05:28:20.004" "2019-06-19 05:29:00.004"
"Unused Time" "2019-06-19 05:29:00.004" "2019-06-19 06:22:00.006"
CAL_Arp220 "2019-06-19 06:22:00.006" "2019-06-19 06:25:00.006"
TransitionBlock "2019-06-19 06:25:00.006" "2019-06-19 06:25:40.006"
"Unused Time" "2019-06-19 06:25:40.006" "2019-06-19 06:26:40.006"
CAL_1308+326 "2019-06-19 06:26:40.006" "2019-06-19 06:29:40.006"
TransitionBlock "2019-06-19 06:29:40.006" "2019-06-19 06:31:00.006"
"Unused Time" "2019-06-19 06:31:00.006" "2019-06-19 07:16:20.008"
CAL_16293-2422 "2019-06-19 07:16:20.008" "2019-06-19 07:19:20.008"
TransitionBlock "2019-06-19 07:19:20.008" "2019-06-19 07:20:40.008"
CAL_1308+326 "2019-06-19 07:20:40.008" "2019-06-19 07:23:40.008"
TransitionBlock "2019-06-19 07:23:40.008" "2019-06-19 07:24:20.008"
"Unused Time" "2019-06-19 07:24:20.008" "2019-06-19 07:24:40.009"
CAL_Arp220 "2019-06-19 07:24:40.009" "2019-06-19 07:27:40.009"
TransitionBlock "2019-06-19 07:27:40.009" "2019-06-19 07:28:40.009"
"Unused Time" "2019-06-19 07:28:40.009" "2019-06-19 08:21:20.011"
CAL_16293-2422 "2019-06-19 08:21:20.011" "2019-06-19 08:24:20.011"
TransitionBlock "2019-06-19 08:24:20.011" "2019-06-19 08:25:40.011"
CAL_1308+326 "2019-06-19 08:25:40.011" "2019-06-19 08:28:40.011"
TransitionBlock "2019-06-19 08:28:40.011" "2019-06-19 08:29:20.011"
"Unused Time" "2019-06-19 08:29:20.011" "2019-06-19 09:15:00.013"
CAL_Arp220 "2019-06-19 09:15:00.013" "2019-06-19 09:18:00.013"
TransitionBlock "2019-06-19 09:18:00.013" "2019-06-19 09:18:40.013"
"Unused Time" "2019-06-19 09:18:40.013" "2019-06-19 09:19:20.013"
CAL_1308+326 "2019-06-19 09:19:20.013" "2019-06-19 09:22:20.013"
TransitionBlock "2019-06-19 09:22:20.013" "2019-06-19 09:23:40.013"
"Unused Time" "2019-06-19 09:23:40.013" "2019-06-19 09:24:00.013"
CAL_16293-2422 "2019-06-19 09:24:00.013" "2019-06-19 09:27:00.013"
TransitionBlock "2019-06-19 09:27:00.013" "2019-06-19 09:28:00.013"
"Unused Time" "2019-06-19 09:28:00.013" "2019-06-19 10:15:00.015"
CAL_Arp220 "2019-06-19 10:15:00.015" "2019-06-19 10:18:00.015"
TransitionBlock "2019-06-19 10:18:00.015" "2019-06-19 10:19:00.015"
"Unused Time" "2019-06-19 10:19:00.015" "2019-06-19 10:21:20.015"
CAL_16293-2422 "2019-06-19 10:21:20.015" "2019-06-19 10:24:20.015"
TransitionBlock "2019-06-19 10:24:20.015" "2019-06-19 10:25:40.015"
"Unused Time" "2019-06-19 10:25:40.015" "2019-06-19 11:15:40.017"
CAL_W75N "2019-06-19 11:15:40.017" "2019-06-19 11:18:40.017"
TransitionBlock "2019-06-19 11:18:40.017" "2019-06-19 11:19:00.017"
"Unused Time" "2019-06-19 11:19:00.017" "2019-06-19 11:21:00.017"
CAL_2005+403 "2019-06-19 11:21:00.017" "2019-06-19 11:24:00.017"
TransitionBlock "2019-06-19 11:24:00.017" "2019-06-19 11:24:20.017"
"Unused Time" "2019-06-19 11:24:20.017" "2019-06-19 11:24:40.017"
CAL_CRL2688 "2019-06-19 11:24:40.017" "2019-06-19 11:27:40.017"
"Unused Time" "2019-06-19 11:27:40.017" "2019-06-19 12:16:00.019"
CAL_CRL2688 "2019-06-19 12:16:00.019" "2019-06-19 12:19:00.019"
TransitionBlock "2019-06-19 12:19:00.019" "2019-06-19 12:19:20.019"
"Unused Time" "2019-06-19 12:19:20.019" "2019-06-19 12:20:20.019"
CAL_2005+403 "2019-06-19 12:20:20.019" "2019-06-19 12:23:20.019"
TransitionBlock "2019-06-19 12:23:20.019" "2019-06-19 12:23:40.019"
"Unused Time" "2019-06-19 12:23:40.019" "2019-06-19 12:25:40.020"
CAL_W75N "2019-06-19 12:25:40.020" "2019-06-19 12:28:40.020"
TransitionBlock "2019-06-19 12:28:40.020" "2019-06-19 12:29:00.020"
"Unused Time" "2019-06-19 12:29:00.020" "2019-06-19 13:16:00.021"
CAL_CRL2688 "2019-06-19 13:16:00.021" "2019-06-19 13:19:00.021"
TransitionBlock "2019-06-19 13:19:00.021" "2019-06-19 13:19:20.021"
"Unused Time" "2019-06-19 13:19:20.021" "2019-06-19 13:21:00.022"
CAL_2005+403 "2019-06-19 13:21:00.022" "2019-06-19 13:24:00.022"
TransitionBlock "2019-06-19 13:24:00.022" "2019-06-19 13:24:20.022"
CAL_W75N "2019-06-19 13:24:20.022" "2019-06-19 13:27:20.022"
"Unused Time" "2019-06-19 13:27:20.022" "2019-06-19 14:16:20.024"
CAL_W75N "2019-06-19 14:16:20.024" "2019-06-19 14:19:20.024"
TransitionBlock "2019-06-19 14:19:20.024" "2019-06-19 14:19:40.024"
"Unused Time" "2019-06-19 14:19:40.024" "2019-06-19 14:20:00.024"
CAL_2005+403 "2019-06-19 14:20:00.024" "2019-06-19 14:23:00.024"
TransitionBlock "2019-06-19 14:23:00.024" "2019-06-19 14:23:20.024"
"Unused Time" "2019-06-19 14:23:20.024" "2019-06-19 14:27:00.024"
CAL_CRL2688 "2019-06-19 14:27:00.024" "2019-06-19 14:30:00.024"
TransitionBlock "2019-06-19 14:30:00.024" "2019-06-19 14:30:20.024"
"Unused Time" "2019-06-19 14:30:20.024" "2019-06-19 15:15:20.026"
CAL_W75N "2019-06-19 15:15:20.026" "2019-06-19 15:18:20.026"
TransitionBlock "2019-06-19 15:18:20.026" "2019-06-19 15:18:40.026"
"Unused Time" "2019-06-19 15:18:40.026" "2019-06-19 15:19:40.026"
CAL_2005+403 "2019-06-19 15:19:40.026" "2019-06-19 15:22:40.026"
TransitionBlock "2019-06-19 15:22:40.026" "2019-06-19 15:23:00.026"
"Unused Time" "2019-06-19 15:23:00.026" "2019-06-19 15:26:40.026"
CAL_CRL2688 "2019-06-19 15:26:40.026" "2019-06-19 15:29:40.026"
"Unused Time" "2019-06-19 15:29:40.026" "2019-06-19 16:16:40.028"
CAL_CRL2688 "2019-06-19 16:16:40.028" "2019-06-19 16:19:40.028"
TransitionBlock "2019-06-19 16:19:40.028" "2019-06-19 16:20:00.028"
"Unused Time" "2019-06-19 16:20:00.028" "2019-06-19 16:22:00.028"
CAL_W75N "2019-06-19 16:22:00.028" "2019-06-19 16:25:00.028"
TransitionBlock "2019-06-19 16:25:00.028" "2019-06-19 16:25:20.028"
"Unused Time" "2019-06-19 16:25:20.028" "2019-06-19 16:27:00.000"
CAL_2005+403 "2019-06-19 16:27:00.000" "2019-06-19 16:30:00.000"
