target "start time (UTC)" "end time (UTC)"
"Rosette Field 2" "2019-03-28 03:30:00.000" "2019-03-28 04:11:00.000"
TransitionBlock "2019-03-28 04:11:00.000" "2019-03-28 04:11:40.000"
"Unused Time" "2019-03-28 04:11:40.000" "2019-03-28 04:18:20.002"
CAL_CRL618 "2019-03-28 04:18:20.002" "2019-03-28 04:21:20.002"
TransitionBlock "2019-03-28 04:21:20.002" "2019-03-28 04:22:20.002"
"Unused Time" "2019-03-28 04:22:20.002" "2019-03-28 04:25:40.002"
CAL_0829+046 "2019-03-28 04:25:40.002" "2019-03-28 04:28:40.002"
TransitionBlock "2019-03-28 04:28:40.002" "2019-03-28 04:29:00.002"
"Unused Time" "2019-03-28 04:29:00.002" "2019-03-28 04:39:00.003"
STUDIES-1_offset_N2 "2019-03-28 04:39:00.003" "2019-03-28 05:10:00.003"
TransitionBlock "2019-03-28 05:10:00.003" "2019-03-28 05:11:20.003"
"Unused Time" "2019-03-28 05:11:20.003" "2019-03-28 05:15:00.004"
CAL_CRL618 "2019-03-28 05:15:00.004" "2019-03-28 05:18:00.004"
TransitionBlock "2019-03-28 05:18:00.004" "2019-03-28 05:19:00.004"
"Unused Time" "2019-03-28 05:19:00.004" "2019-03-28 05:22:20.004"
CAL_OH231.8 "2019-03-28 05:22:20.004" "2019-03-28 05:25:20.004"
TransitionBlock "2019-03-28 05:25:20.004" "2019-03-28 05:25:40.004"
"Unused Time" "2019-03-28 05:25:40.004" "2019-03-28 05:26:00.004"
CAL_0829+046 "2019-03-28 05:26:00.004" "2019-03-28 05:29:00.004"
TransitionBlock "2019-03-28 05:29:00.004" "2019-03-28 05:29:20.004"
"Unused Time" "2019-03-28 05:29:20.004" "2019-03-28 05:30:40.004"
STUDIES-1_offset_N2 "2019-03-28 05:30:40.004" "2019-03-28 06:01:40.004"
TransitionBlock "2019-03-28 06:01:40.004" "2019-03-28 06:03:00.004"
"Unused Time" "2019-03-28 06:03:00.004" "2019-03-28 06:16:20.006"
CAL_CRL618 "2019-03-28 06:16:20.006" "2019-03-28 06:19:20.006"
TransitionBlock "2019-03-28 06:19:20.006" "2019-03-28 06:20:20.006"
"Unused Time" "2019-03-28 06:20:20.006" "2019-03-28 06:20:40.006"
CAL_0829+046 "2019-03-28 06:20:40.006" "2019-03-28 06:23:40.006"
TransitionBlock "2019-03-28 06:23:40.006" "2019-03-28 06:24:00.006"
"Unused Time" "2019-03-28 06:24:00.006" "2019-03-28 06:27:00.007"
CAL_OH231.8 "2019-03-28 06:27:00.007" "2019-03-28 06:30:00.007"
TransitionBlock "2019-03-28 06:30:00.007" "2019-03-28 06:30:40.007"
"Unused Time" "2019-03-28 06:30:40.007" "2019-03-28 06:40:40.007"
STUDIES-1_offset_N2 "2019-03-28 06:40:40.007" "2019-03-28 07:11:40.007"
TransitionBlock "2019-03-28 07:11:40.007" "2019-03-28 07:12:20.007"
"Unused Time" "2019-03-28 07:12:20.007" "2019-03-28 07:15:00.008"
CAL_OH231.8 "2019-03-28 07:15:00.008" "2019-03-28 07:18:00.008"
TransitionBlock "2019-03-28 07:18:00.008" "2019-03-28 07:18:20.008"
"Unused Time" "2019-03-28 07:18:20.008" "2019-03-28 07:18:40.008"
CAL_0829+046 "2019-03-28 07:18:40.008" "2019-03-28 07:21:40.008"
TransitionBlock "2019-03-28 07:21:40.008" "2019-03-28 07:22:00.008"
"Unused Time" "2019-03-28 07:22:00.008" "2019-03-28 07:37:00.009"
STUDIES-1_offset_N2 "2019-03-28 07:37:00.009" "2019-03-28 08:08:00.009"
TransitionBlock "2019-03-28 08:08:00.009" "2019-03-28 08:08:20.009"
"Unused Time" "2019-03-28 08:08:20.009" "2019-03-28 08:18:40.011"
CAL_0829+046 "2019-03-28 08:18:40.011" "2019-03-28 08:21:40.011"
TransitionBlock "2019-03-28 08:21:40.011" "2019-03-28 08:22:00.011"
"Unused Time" "2019-03-28 08:22:00.011" "2019-03-28 08:25:20.011"
CAL_OH231.8 "2019-03-28 08:25:20.011" "2019-03-28 08:28:20.011"
TransitionBlock "2019-03-28 08:28:20.011" "2019-03-28 08:29:00.011"
"Unused Time" "2019-03-28 08:29:00.011" "2019-03-28 08:38:00.011"
STUDIES-1_offset_N2 "2019-03-28 08:38:00.011" "2019-03-28 09:09:00.011"
TransitionBlock "2019-03-28 09:09:00.011" "2019-03-28 09:09:20.011"
"Unused Time" "2019-03-28 09:09:20.011" "2019-03-28 09:19:20.013"
CAL_0829+046 "2019-03-28 09:19:20.013" "2019-03-28 09:22:20.013"
TransitionBlock "2019-03-28 09:22:20.013" "2019-03-28 09:22:40.013"
"Unused Time" "2019-03-28 09:22:40.013" "2019-03-28 09:40:40.014"
STUDIES-1_offset_N2 "2019-03-28 09:40:40.014" "2019-03-28 10:11:40.014"
