target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-07-11 03:30:00.000" "2019-07-11 04:18:20.002"
CAL_Arp220 "2019-07-11 04:18:20.002" "2019-07-11 04:21:20.002"
TransitionBlock "2019-07-11 04:21:20.002" "2019-07-11 04:21:40.002"
"Unused Time" "2019-07-11 04:21:40.002" "2019-07-11 04:25:40.002"
CAL_1548+056 "2019-07-11 04:25:40.002" "2019-07-11 04:28:40.002"
TransitionBlock "2019-07-11 04:28:40.002" "2019-07-11 04:29:00.002"
"Unused Time" "2019-07-11 04:29:00.002" "2019-07-11 05:15:00.004"
CAL_Arp220 "2019-07-11 05:15:00.004" "2019-07-11 05:18:00.004"
TransitionBlock "2019-07-11 05:18:00.004" "2019-07-11 05:19:00.004"
"Unused Time" "2019-07-11 05:19:00.004" "2019-07-11 05:22:00.004"
CAL_16293-2422 "2019-07-11 05:22:00.004" "2019-07-11 05:25:00.004"
TransitionBlock "2019-07-11 05:25:00.004" "2019-07-11 05:25:40.004"
"Unused Time" "2019-07-11 05:25:40.004" "2019-07-11 05:26:00.004"
CAL_1548+056 "2019-07-11 05:26:00.004" "2019-07-11 05:29:00.004"
TransitionBlock "2019-07-11 05:29:00.004" "2019-07-11 05:30:00.004"
"Unused Time" "2019-07-11 05:30:00.004" "2019-07-11 05:36:20.005"
NEP-14 "2019-07-11 05:36:20.005" "2019-07-11 06:18:00.005"
TransitionBlock "2019-07-11 06:18:00.005" "2019-07-11 06:19:00.005"
"Unused Time" "2019-07-11 06:19:00.005" "2019-07-11 06:20:40.006"
CAL_1548+056 "2019-07-11 06:20:40.006" "2019-07-11 06:23:40.006"
TransitionBlock "2019-07-11 06:23:40.006" "2019-07-11 06:24:20.006"
"Unused Time" "2019-07-11 06:24:20.006" "2019-07-11 06:27:00.007"
CAL_16293-2422 "2019-07-11 06:27:00.007" "2019-07-11 06:30:00.007"
TransitionBlock "2019-07-11 06:30:00.007" "2019-07-11 06:31:20.007"
"Unused Time" "2019-07-11 06:31:20.007" "2019-07-11 06:33:00.007"
NEP-17 "2019-07-11 06:33:00.007" "2019-07-11 07:14:40.007"
TransitionBlock "2019-07-11 07:14:40.007" "2019-07-11 07:15:40.007"
"Unused Time" "2019-07-11 07:15:40.007" "2019-07-11 07:18:40.008"
CAL_1548+056 "2019-07-11 07:18:40.008" "2019-07-11 07:21:40.008"
TransitionBlock "2019-07-11 07:21:40.008" "2019-07-11 07:22:00.008"
"Unused Time" "2019-07-11 07:22:00.008" "2019-07-11 07:24:00.009"
CAL_Arp220 "2019-07-11 07:24:00.009" "2019-07-11 07:27:00.009"
TransitionBlock "2019-07-11 07:27:00.009" "2019-07-11 07:28:00.009"
"Unused Time" "2019-07-11 07:28:00.009" "2019-07-11 07:37:00.009"
"R Aql" "2019-07-11 07:37:00.009" "2019-07-11 08:08:00.009"
TransitionBlock "2019-07-11 08:08:00.009" "2019-07-11 08:09:00.009"
"Unused Time" "2019-07-11 08:09:00.009" "2019-07-11 08:15:00.010"
CAL_Arp220 "2019-07-11 08:15:00.010" "2019-07-11 08:18:00.010"
TransitionBlock "2019-07-11 08:18:00.010" "2019-07-11 08:18:20.010"
"Unused Time" "2019-07-11 08:18:20.010" "2019-07-11 08:18:40.011"
CAL_1548+056 "2019-07-11 08:18:40.011" "2019-07-11 08:21:40.011"
TransitionBlock "2019-07-11 08:21:40.011" "2019-07-11 08:22:20.011"
"Unused Time" "2019-07-11 08:22:20.011" "2019-07-11 08:25:20.011"
CAL_16293-2422 "2019-07-11 08:25:20.011" "2019-07-11 08:28:20.011"
TransitionBlock "2019-07-11 08:28:20.011" "2019-07-11 08:30:00.011"
"Unused Time" "2019-07-11 08:30:00.011" "2019-07-11 08:38:40.011"
"RU Cyg" "2019-07-11 08:38:40.011" "2019-07-11 09:09:40.011"
TransitionBlock "2019-07-11 09:09:40.011" "2019-07-11 09:11:20.011"
"Unused Time" "2019-07-11 09:11:20.011" "2019-07-11 09:15:20.013"
CAL_16293-2422 "2019-07-11 09:15:20.013" "2019-07-11 09:18:20.013"
TransitionBlock "2019-07-11 09:18:20.013" "2019-07-11 09:19:00.013"
"Unused Time" "2019-07-11 09:19:00.013" "2019-07-11 09:19:20.013"
CAL_1548+056 "2019-07-11 09:19:20.013" "2019-07-11 09:22:20.013"
TransitionBlock "2019-07-11 09:22:20.013" "2019-07-11 09:22:40.013"
"Unused Time" "2019-07-11 09:22:40.013" "2019-07-11 09:27:00.013"
CAL_Arp220 "2019-07-11 09:27:00.013" "2019-07-11 09:30:00.013"
TransitionBlock "2019-07-11 09:30:00.013" "2019-07-11 09:31:00.013"
