target "start time (UTC)" "end time (UTC)"
"Y UMa" "2019-06-09 03:30:00.000" "2019-06-09 04:14:20.000"
TransitionBlock "2019-06-09 04:14:20.000" "2019-06-09 04:15:20.000"
"Unused Time" "2019-06-09 04:15:20.000" "2019-06-09 04:18:20.002"
CAL_IRC+10216 "2019-06-09 04:18:20.002" "2019-06-09 04:21:20.002"
TransitionBlock "2019-06-09 04:21:20.002" "2019-06-09 04:22:20.002"
"Unused Time" "2019-06-09 04:22:20.002" "2019-06-09 04:25:40.002"
CAL_1308+326 "2019-06-09 04:25:40.002" "2019-06-09 04:28:40.002"
TransitionBlock "2019-06-09 04:28:40.002" "2019-06-09 04:29:20.002"
"RT Vir" "2019-06-09 04:29:20.002" "2019-06-09 05:13:40.002"
TransitionBlock "2019-06-09 05:13:40.002" "2019-06-09 05:14:20.002"
"Unused Time" "2019-06-09 05:14:20.002" "2019-06-09 05:15:00.004"
CAL_Arp220 "2019-06-09 05:15:00.004" "2019-06-09 05:18:00.004"
TransitionBlock "2019-06-09 05:18:00.004" "2019-06-09 05:19:20.004"
"Unused Time" "2019-06-09 05:19:20.004" "2019-06-09 05:21:40.004"
CAL_IRC+10216 "2019-06-09 05:21:40.004" "2019-06-09 05:24:40.004"
TransitionBlock "2019-06-09 05:24:40.004" "2019-06-09 05:25:40.004"
"Unused Time" "2019-06-09 05:25:40.004" "2019-06-09 05:26:00.004"
CAL_1308+326 "2019-06-09 05:26:00.004" "2019-06-09 05:29:00.004"
TransitionBlock "2019-06-09 05:29:00.004" "2019-06-09 05:29:40.004"
"Unused Time" "2019-06-09 05:29:40.004" "2019-06-09 05:30:20.004"
"U Her" "2019-06-09 05:30:20.004" "2019-06-09 06:14:40.004"
TransitionBlock "2019-06-09 06:14:40.004" "2019-06-09 06:16:00.004"
"Unused Time" "2019-06-09 06:16:00.004" "2019-06-09 06:16:20.006"
CAL_IRC+10216 "2019-06-09 06:16:20.006" "2019-06-09 06:19:20.006"
TransitionBlock "2019-06-09 06:19:20.006" "2019-06-09 06:20:20.006"
"Unused Time" "2019-06-09 06:20:20.006" "2019-06-09 06:20:40.006"
CAL_1308+326 "2019-06-09 06:20:40.006" "2019-06-09 06:23:40.006"
TransitionBlock "2019-06-09 06:23:40.006" "2019-06-09 06:24:20.006"
"Unused Time" "2019-06-09 06:24:20.006" "2019-06-09 06:27:00.007"
CAL_Arp220 "2019-06-09 06:27:00.007" "2019-06-09 06:30:00.007"
TransitionBlock "2019-06-09 06:30:00.007" "2019-06-09 06:30:20.007"
"Unused Time" "2019-06-09 06:30:20.007" "2019-06-09 06:31:40.007"
"U Her" "2019-06-09 06:31:40.007" "2019-06-09 07:16:00.007"
TransitionBlock "2019-06-09 07:16:00.007" "2019-06-09 07:16:40.007"
"Unused Time" "2019-06-09 07:16:40.007" "2019-06-09 07:18:40.008"
CAL_1308+326 "2019-06-09 07:18:40.008" "2019-06-09 07:21:40.008"
TransitionBlock "2019-06-09 07:21:40.008" "2019-06-09 07:22:20.008"
"Unused Time" "2019-06-09 07:22:20.008" "2019-06-09 07:24:40.009"
CAL_Arp220 "2019-06-09 07:24:40.009" "2019-06-09 07:27:40.009"
TransitionBlock "2019-06-09 07:27:40.009" "2019-06-09 07:28:20.009"
"X Her" "2019-06-09 07:28:20.009" "2019-06-09 08:12:40.009"
TransitionBlock "2019-06-09 08:12:40.009" "2019-06-09 08:13:20.009"
"Unused Time" "2019-06-09 08:13:20.009" "2019-06-09 08:18:40.011"
CAL_1308+326 "2019-06-09 08:18:40.011" "2019-06-09 08:21:40.011"
TransitionBlock "2019-06-09 08:21:40.011" "2019-06-09 08:22:20.011"
"Unused Time" "2019-06-09 08:22:20.011" "2019-06-09 08:33:40.011"
"X Her" "2019-06-09 08:33:40.011" "2019-06-09 09:18:00.011"
TransitionBlock "2019-06-09 09:18:00.011" "2019-06-09 09:18:40.011"
"Unused Time" "2019-06-09 09:18:40.011" "2019-06-09 09:19:20.013"
CAL_1308+326 "2019-06-09 09:19:20.013" "2019-06-09 09:22:20.013"
TransitionBlock "2019-06-09 09:22:20.013" "2019-06-09 09:23:00.013"
"Y UMa" "2019-06-09 09:23:00.013" "2019-06-09 10:07:20.013"
TransitionBlock "2019-06-09 10:07:20.013" "2019-06-09 10:08:00.013"
"Unused Time" "2019-06-09 10:08:00.013" "2019-06-09 10:18:20.015"
CAL_1308+326 "2019-06-09 10:18:20.015" "2019-06-09 10:21:20.015"
