target "start time (UTC)" "end time (UTC)"
"IRAS 05073+5248" "2019-04-09 03:30:00.000" "2019-04-09 04:01:00.000"
TransitionBlock "2019-04-09 04:01:00.000" "2019-04-09 04:02:00.000"
"Unused Time" "2019-04-09 04:02:00.000" "2019-04-09 04:18:20.002"
CAL_V883Ori "2019-04-09 04:18:20.002" "2019-04-09 04:21:20.002"
TransitionBlock "2019-04-09 04:21:20.002" "2019-04-09 04:22:20.002"
"Unused Time" "2019-04-09 04:22:20.002" "2019-04-09 04:25:40.002"
CAL_0917+449 "2019-04-09 04:25:40.002" "2019-04-09 04:28:40.002"
TransitionBlock "2019-04-09 04:28:40.002" "2019-04-09 04:30:00.002"
"Unused Time" "2019-04-09 04:30:00.002" "2019-04-09 04:40:00.003"
"IRAS 05251-1244" "2019-04-09 04:40:00.003" "2019-04-09 05:11:00.003"
TransitionBlock "2019-04-09 05:11:00.003" "2019-04-09 05:11:20.003"
"Unused Time" "2019-04-09 05:11:20.003" "2019-04-09 05:15:00.004"
CAL_V883Ori "2019-04-09 05:15:00.004" "2019-04-09 05:18:00.004"
TransitionBlock "2019-04-09 05:18:00.004" "2019-04-09 05:19:00.004"
"Unused Time" "2019-04-09 05:19:00.004" "2019-04-09 05:22:00.004"
CAL_IRC+10216 "2019-04-09 05:22:00.004" "2019-04-09 05:25:00.004"
TransitionBlock "2019-04-09 05:25:00.004" "2019-04-09 05:25:40.004"
"Unused Time" "2019-04-09 05:25:40.004" "2019-04-09 05:26:00.004"
CAL_0917+449 "2019-04-09 05:26:00.004" "2019-04-09 05:29:00.004"
TransitionBlock "2019-04-09 05:29:00.004" "2019-04-09 05:30:20.004"
"Unused Time" "2019-04-09 05:30:20.004" "2019-04-09 05:35:00.005"
"IRAS 05251-1244" "2019-04-09 05:35:00.005" "2019-04-09 06:06:00.005"
TransitionBlock "2019-04-09 06:06:00.005" "2019-04-09 06:06:20.005"
"Unused Time" "2019-04-09 06:06:20.005" "2019-04-09 06:16:20.006"
CAL_V883Ori "2019-04-09 06:16:20.006" "2019-04-09 06:19:20.006"
TransitionBlock "2019-04-09 06:19:20.006" "2019-04-09 06:20:20.006"
"Unused Time" "2019-04-09 06:20:20.006" "2019-04-09 06:20:40.006"
CAL_0917+449 "2019-04-09 06:20:40.006" "2019-04-09 06:23:40.006"
TransitionBlock "2019-04-09 06:23:40.006" "2019-04-09 06:24:20.006"
"Unused Time" "2019-04-09 06:24:20.006" "2019-04-09 06:27:00.007"
CAL_IRC+10216 "2019-04-09 06:27:00.007" "2019-04-09 06:30:00.007"
TransitionBlock "2019-04-09 06:30:00.007" "2019-04-09 06:31:00.007"
"Unused Time" "2019-04-09 06:31:00.007" "2019-04-09 06:31:20.007"
"IRAS 06176-1036" "2019-04-09 06:31:20.007" "2019-04-09 07:02:20.007"
TransitionBlock "2019-04-09 07:02:20.007" "2019-04-09 07:03:20.007"
"Unused Time" "2019-04-09 07:03:20.007" "2019-04-09 07:18:40.008"
CAL_0917+449 "2019-04-09 07:18:40.008" "2019-04-09 07:21:40.008"
"Unused Time" "2019-04-09 07:21:40.008" "2019-04-09 08:18:40.011"
CAL_0917+449 "2019-04-09 08:18:40.011" "2019-04-09 08:21:40.011"
TransitionBlock "2019-04-09 08:21:40.011" "2019-04-09 08:22:20.011"
"Unused Time" "2019-04-09 08:22:20.011" "2019-04-09 08:25:20.011"
CAL_IRC+10216 "2019-04-09 08:25:20.011" "2019-04-09 08:28:20.011"
TransitionBlock "2019-04-09 08:28:20.011" "2019-04-09 08:29:00.011"
"Unused Time" "2019-04-09 08:29:00.011" "2019-04-09 09:19:20.013"
CAL_0917+449 "2019-04-09 09:19:20.013" "2019-04-09 09:22:20.013"
TransitionBlock "2019-04-09 09:22:20.013" "2019-04-09 09:23:00.013"
"Unused Time" "2019-04-09 09:23:00.013" "2019-04-09 09:27:00.013"
CAL_IRC+10216 "2019-04-09 09:27:00.013" "2019-04-09 09:30:00.013"
TransitionBlock "2019-04-09 09:30:00.013" "2019-04-09 09:30:40.013"
"Unused Time" "2019-04-09 09:30:40.013" "2019-04-09 10:18:20.015"
CAL_0917+449 "2019-04-09 10:18:20.015" "2019-04-09 10:21:20.015"
TransitionBlock "2019-04-09 10:21:20.015" "2019-04-09 10:22:00.015"
"Unused Time" "2019-04-09 10:22:00.015" "2019-04-09 10:24:40.015"
CAL_IRC+10216 "2019-04-09 10:24:40.015" "2019-04-09 10:27:40.015"
TransitionBlock "2019-04-09 10:27:40.015" "2019-04-09 10:29:00.015"
"Unused Time" "2019-04-09 10:29:00.015" "2019-04-09 11:22:00.017"
CAL_1739+522 "2019-04-09 11:22:00.017" "2019-04-09 11:25:00.017"
TransitionBlock "2019-04-09 11:25:00.017" "2019-04-09 11:25:20.017"
"Unused Time" "2019-04-09 11:25:20.017" "2019-04-09 11:25:40.017"
NEP-17 "2019-04-09 11:25:40.017" "2019-04-09 12:07:20.017"
TransitionBlock "2019-04-09 12:07:20.017" "2019-04-09 12:07:40.017"
"Unused Time" "2019-04-09 12:07:40.017" "2019-04-09 12:18:40.019"
CAL_1739+522 "2019-04-09 12:18:40.019" "2019-04-09 12:21:40.019"
TransitionBlock "2019-04-09 12:21:40.019" "2019-04-09 12:22:40.019"
"Unused Time" "2019-04-09 12:22:40.019" "2019-04-09 12:24:20.020"
CAL_G34.3 "2019-04-09 12:24:20.020" "2019-04-09 12:27:20.020"
TransitionBlock "2019-04-09 12:27:20.020" "2019-04-09 12:28:00.020"
"Unused Time" "2019-04-09 12:28:00.020" "2019-04-09 12:31:00.020"
"IRAS 17150-3224" "2019-04-09 12:31:00.020" "2019-04-09 13:02:00.020"
TransitionBlock "2019-04-09 13:02:00.020" "2019-04-09 13:02:40.020"
"Unused Time" "2019-04-09 13:02:40.020" "2019-04-09 13:16:20.022"
CAL_G34.3 "2019-04-09 13:16:20.022" "2019-04-09 13:19:20.022"
TransitionBlock "2019-04-09 13:19:20.022" "2019-04-09 13:20:00.022"
"Unused Time" "2019-04-09 13:20:00.022" "2019-04-09 13:21:20.022"
CAL_MWC349 "2019-04-09 13:21:20.022" "2019-04-09 13:24:20.022"
TransitionBlock "2019-04-09 13:24:20.022" "2019-04-09 13:25:00.022"
"Unused Time" "2019-04-09 13:25:00.022" "2019-04-09 13:25:20.022"
CAL_1739+522 "2019-04-09 13:25:20.022" "2019-04-09 13:28:20.022"
TransitionBlock "2019-04-09 13:28:20.022" "2019-04-09 13:29:40.022"
"Unused Time" "2019-04-09 13:29:40.022" "2019-04-09 13:33:20.022"
"IRAS 17505-3143" "2019-04-09 13:33:20.022" "2019-04-09 14:04:20.022"
TransitionBlock "2019-04-09 14:04:20.022" "2019-04-09 14:05:40.022"
"Unused Time" "2019-04-09 14:05:40.022" "2019-04-09 14:15:00.024"
CAL_MWC349 "2019-04-09 14:15:00.024" "2019-04-09 14:18:00.024"
TransitionBlock "2019-04-09 14:18:00.024" "2019-04-09 14:18:40.024"
"Unused Time" "2019-04-09 14:18:40.024" "2019-04-09 14:20:00.024"
CAL_G34.3 "2019-04-09 14:20:00.024" "2019-04-09 14:23:00.024"
TransitionBlock "2019-04-09 14:23:00.024" "2019-04-09 14:24:00.024"
"Unused Time" "2019-04-09 14:24:00.024" "2019-04-09 14:26:00.024"
CAL_1739+522 "2019-04-09 14:26:00.024" "2019-04-09 14:29:00.024"
TransitionBlock "2019-04-09 14:29:00.024" "2019-04-09 14:30:20.024"
"Unused Time" "2019-04-09 14:30:20.024" "2019-04-09 14:44:40.025"
"IRAS 17150-3224" "2019-04-09 14:44:40.025" "2019-04-09 15:15:40.025"
TransitionBlock "2019-04-09 15:15:40.025" "2019-04-09 15:16:20.025"
"Unused Time" "2019-04-09 15:16:20.025" "2019-04-09 15:16:40.026"
CAL_G34.3 "2019-04-09 15:16:40.026" "2019-04-09 15:19:40.026"
TransitionBlock "2019-04-09 15:19:40.026" "2019-04-09 15:20:20.026"
"Unused Time" "2019-04-09 15:20:20.026" "2019-04-09 15:22:00.026"
CAL_MWC349 "2019-04-09 15:22:00.026" "2019-04-09 15:25:00.026"
TransitionBlock "2019-04-09 15:25:00.026" "2019-04-09 15:25:40.026"
"Unused Time" "2019-04-09 15:25:40.026" "2019-04-09 15:26:40.026"
CAL_1739+522 "2019-04-09 15:26:40.026" "2019-04-09 15:29:40.026"
TransitionBlock "2019-04-09 15:29:40.026" "2019-04-09 15:31:00.026"
"Unused Time" "2019-04-09 15:31:00.026" "2019-04-09 15:35:00.027"
"IRAS 17505-3143" "2019-04-09 15:35:00.027" "2019-04-09 16:06:00.027"
TransitionBlock "2019-04-09 16:06:00.027" "2019-04-09 16:07:20.027"
"Unused Time" "2019-04-09 16:07:20.027" "2019-04-09 16:18:40.028"
CAL_MWC349 "2019-04-09 16:18:40.028" "2019-04-09 16:21:40.028"
TransitionBlock "2019-04-09 16:21:40.028" "2019-04-09 16:22:20.028"
"Unused Time" "2019-04-09 16:22:20.028" "2019-04-09 16:24:40.028"
