target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-07-09 03:30:00.000" "2019-07-09 04:18:20.002"
CAL_Arp220 "2019-07-09 04:18:20.002" "2019-07-09 04:21:20.002"
TransitionBlock "2019-07-09 04:21:20.002" "2019-07-09 04:22:00.002"
"Unused Time" "2019-07-09 04:22:00.002" "2019-07-09 04:25:40.002"
CAL_1510-089 "2019-07-09 04:25:40.002" "2019-07-09 04:28:40.002"
TransitionBlock "2019-07-09 04:28:40.002" "2019-07-09 04:29:20.002"
"Unused Time" "2019-07-09 04:29:20.002" "2019-07-09 05:15:00.004"
CAL_Arp220 "2019-07-09 05:15:00.004" "2019-07-09 05:18:00.004"
TransitionBlock "2019-07-09 05:18:00.004" "2019-07-09 05:19:00.004"
"Unused Time" "2019-07-09 05:19:00.004" "2019-07-09 05:22:00.004"
CAL_16293-2422 "2019-07-09 05:22:00.004" "2019-07-09 05:25:00.004"
TransitionBlock "2019-07-09 05:25:00.004" "2019-07-09 05:25:40.004"
"Unused Time" "2019-07-09 05:25:40.004" "2019-07-09 05:26:00.004"
CAL_1510-089 "2019-07-09 05:26:00.004" "2019-07-09 05:29:00.004"
TransitionBlock "2019-07-09 05:29:00.004" "2019-07-09 05:30:20.004"
"Unused Time" "2019-07-09 05:30:20.004" "2019-07-09 05:37:20.005"
NEP-15 "2019-07-09 05:37:20.005" "2019-07-09 06:19:00.005"
TransitionBlock "2019-07-09 06:19:00.005" "2019-07-09 06:20:20.005"
"Unused Time" "2019-07-09 06:20:20.005" "2019-07-09 06:20:40.006"
CAL_1510-089 "2019-07-09 06:20:40.006" "2019-07-09 06:23:40.006"
TransitionBlock "2019-07-09 06:23:40.006" "2019-07-09 06:24:20.006"
"Unused Time" "2019-07-09 06:24:20.006" "2019-07-09 06:27:00.007"
CAL_16293-2422 "2019-07-09 06:27:00.007" "2019-07-09 06:30:00.007"
TransitionBlock "2019-07-09 06:30:00.007" "2019-07-09 06:31:20.007"
"Unused Time" "2019-07-09 06:31:20.007" "2019-07-09 06:32:40.007"
NEP-14 "2019-07-09 06:32:40.007" "2019-07-09 07:14:20.007"
TransitionBlock "2019-07-09 07:14:20.007" "2019-07-09 07:15:40.007"
"Unused Time" "2019-07-09 07:15:40.007" "2019-07-09 07:18:40.008"
CAL_1510-089 "2019-07-09 07:18:40.008" "2019-07-09 07:21:40.008"
