target "start time (UTC)" "end time (UTC)"
XMM-LSS-034 "2019-01-27 03:30:00.000" "2019-01-27 04:11:40.000"
TransitionBlock "2019-01-27 04:11:40.000" "2019-01-27 04:12:40.000"
"Unused Time" "2019-01-27 04:12:40.000" "2019-01-27 04:18:20.002"
CAL_CRL618 "2019-01-27 04:18:20.002" "2019-01-27 04:21:20.002"
"Unused Time" "2019-01-27 04:21:20.002" "2019-01-27 04:22:00.002"
CAL_CRL618 "2019-01-27 04:22:00.002" "2019-01-27 04:25:00.002"
TransitionBlock "2019-01-27 04:25:00.002" "2019-01-27 04:25:20.002"
"Unused Time" "2019-01-27 04:25:20.002" "2019-01-27 04:25:40.002"
CAL_0355+508 "2019-01-27 04:25:40.002" "2019-01-27 04:28:40.002"
TransitionBlock "2019-01-27 04:28:40.002" "2019-01-27 04:29:40.002"
"Unused Time" "2019-01-27 04:29:40.002" "2019-01-27 04:30:00.002"
XMM-LSS-020 "2019-01-27 04:30:00.002" "2019-01-27 05:11:40.002"
TransitionBlock "2019-01-27 05:11:40.002" "2019-01-27 05:12:40.002"
"Unused Time" "2019-01-27 05:12:40.002" "2019-01-27 05:15:00.004"
CAL_CRL618 "2019-01-27 05:15:00.004" "2019-01-27 05:18:00.004"
CAL_CRL618 "2019-01-27 05:18:00.004" "2019-01-27 05:21:00.004"
TransitionBlock "2019-01-27 05:21:00.004" "2019-01-27 05:21:20.004"
"Unused Time" "2019-01-27 05:21:20.004" "2019-01-27 05:26:00.004"
CAL_0355+508 "2019-01-27 05:26:00.004" "2019-01-27 05:29:00.004"
TransitionBlock "2019-01-27 05:29:00.004" "2019-01-27 05:30:00.004"
"Unused Time" "2019-01-27 05:30:00.004" "2019-01-27 05:36:40.005"
XMM-LSS-020 "2019-01-27 05:36:40.005" "2019-01-27 06:18:20.005"
TransitionBlock "2019-01-27 06:18:20.005" "2019-01-27 06:19:20.005"
"Unused Time" "2019-01-27 06:19:20.005" "2019-01-27 06:20:40.006"
CAL_0355+508 "2019-01-27 06:20:40.006" "2019-01-27 06:23:40.006"
TransitionBlock "2019-01-27 06:23:40.006" "2019-01-27 06:24:00.006"
CAL_CRL618 "2019-01-27 06:24:00.006" "2019-01-27 06:27:00.007"
CAL_CRL618 "2019-01-27 06:27:00.007" "2019-01-27 06:30:00.007"
TransitionBlock "2019-01-27 06:30:00.007" "2019-01-27 06:31:00.007"
XMM-LSS-020 "2019-01-27 06:31:00.007" "2019-01-27 07:12:40.007"
TransitionBlock "2019-01-27 07:12:40.007" "2019-01-27 07:13:40.007"
"Unused Time" "2019-01-27 07:13:40.007" "2019-01-27 07:15:00.008"
CAL_CRL618 "2019-01-27 07:15:00.008" "2019-01-27 07:18:00.008"
TransitionBlock "2019-01-27 07:18:00.008" "2019-01-27 07:18:20.008"
"Unused Time" "2019-01-27 07:18:20.008" "2019-01-27 07:18:40.008"
CAL_0355+508 "2019-01-27 07:18:40.008" "2019-01-27 07:21:40.008"
TransitionBlock "2019-01-27 07:21:40.008" "2019-01-27 07:22:00.008"
"Unused Time" "2019-01-27 07:22:00.008" "2019-01-27 07:24:00.009"
CAL_CRL618 "2019-01-27 07:24:00.009" "2019-01-27 07:27:00.009"
TransitionBlock "2019-01-27 07:27:00.009" "2019-01-27 07:28:00.009"
XMM-LSS-040 "2019-01-27 07:28:00.009" "2019-01-27 08:09:40.009"
