target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-02-02 03:30:00.000" "2019-02-02 04:17:20.002"
CAL_CRL618 "2019-02-02 04:17:20.002" "2019-02-02 04:20:20.002"
"Unused Time" "2019-02-02 04:20:20.002" "2019-02-02 04:22:40.002"
CAL_CRL618 "2019-02-02 04:22:40.002" "2019-02-02 04:25:40.002"
TransitionBlock "2019-02-02 04:25:40.002" "2019-02-02 04:26:00.002"
"Unused Time" "2019-02-02 04:26:00.002" "2019-02-02 04:26:40.002"
CAL_3C111 "2019-02-02 04:26:40.002" "2019-02-02 04:29:40.002"
"Unused Time" "2019-02-02 04:29:40.002" "2019-02-02 05:17:40.004"
CAL_3C111 "2019-02-02 05:17:40.004" "2019-02-02 05:20:40.004"
TransitionBlock "2019-02-02 05:20:40.004" "2019-02-02 05:21:00.004"
CAL_CRL618 "2019-02-02 05:21:00.004" "2019-02-02 05:24:00.004"
"Unused Time" "2019-02-02 05:24:00.004" "2019-02-02 05:25:20.004"
CAL_CRL618 "2019-02-02 05:25:20.004" "2019-02-02 05:28:20.004"
"Unused Time" "2019-02-02 05:28:20.004" "2019-02-02 06:16:20.006"
CAL_CRL618 "2019-02-02 06:16:20.006" "2019-02-02 06:19:20.006"
"Unused Time" "2019-02-02 06:19:20.006" "2019-02-02 06:22:00.006"
CAL_CRL618 "2019-02-02 06:22:00.006" "2019-02-02 06:25:00.006"
TransitionBlock "2019-02-02 06:25:00.006" "2019-02-02 06:25:20.006"
"Unused Time" "2019-02-02 06:25:20.006" "2019-02-02 06:26:40.006"
CAL_3C111 "2019-02-02 06:26:40.006" "2019-02-02 06:29:40.006"
"Unused Time" "2019-02-02 06:29:40.006" "2019-02-02 07:16:20.008"
CAL_3C111 "2019-02-02 07:16:20.008" "2019-02-02 07:19:20.008"
TransitionBlock "2019-02-02 07:19:20.008" "2019-02-02 07:19:40.008"
"Unused Time" "2019-02-02 07:19:40.008" "2019-02-02 07:21:40.009"
CAL_CRL618 "2019-02-02 07:21:40.009" "2019-02-02 07:24:40.009"
"Unused Time" "2019-02-02 07:24:40.009" "2019-02-02 07:25:00.009"
CAL_CRL618 "2019-02-02 07:25:00.009" "2019-02-02 07:28:00.009"
TransitionBlock "2019-02-02 07:28:00.009" "2019-02-02 07:28:20.009"
"Unused Time" "2019-02-02 07:28:20.009" "2019-02-02 08:16:40.011"
CAL_3C111 "2019-02-02 08:16:40.011" "2019-02-02 08:19:40.011"
TransitionBlock "2019-02-02 08:19:40.011" "2019-02-02 08:20:00.011"
"Unused Time" "2019-02-02 08:20:00.011" "2019-02-02 08:21:20.011"
CAL_CRL618 "2019-02-02 08:21:20.011" "2019-02-02 08:24:20.011"
"Unused Time" "2019-02-02 08:24:20.011" "2019-02-02 08:25:40.011"
CAL_CRL618 "2019-02-02 08:25:40.011" "2019-02-02 08:28:40.011"
"Unused Time" "2019-02-02 08:28:40.011" "2019-02-02 09:15:00.013"
CAL_CRL618 "2019-02-02 09:15:00.013" "2019-02-02 09:18:00.013"
"Unused Time" "2019-02-02 09:18:00.013" "2019-02-02 09:19:40.013"
CAL_CRL618 "2019-02-02 09:19:40.013" "2019-02-02 09:22:40.013"
TransitionBlock "2019-02-02 09:22:40.013" "2019-02-02 09:23:00.013"
"Unused Time" "2019-02-02 09:23:00.013" "2019-02-02 09:24:00.013"
CAL_3C111 "2019-02-02 09:24:00.013" "2019-02-02 09:27:00.013"
"Unused Time" "2019-02-02 09:27:00.013" "2019-02-02 10:16:40.015"
CAL_3C111 "2019-02-02 10:16:40.015" "2019-02-02 10:19:40.015"
TransitionBlock "2019-02-02 10:19:40.015" "2019-02-02 10:20:00.015"
"Unused Time" "2019-02-02 10:20:00.015" "2019-02-02 10:21:20.015"
CAL_CRL618 "2019-02-02 10:21:20.015" "2019-02-02 10:24:20.015"
CAL_CRL618 "2019-02-02 10:24:20.015" "2019-02-02 10:27:20.015"
TransitionBlock "2019-02-02 10:27:20.015" "2019-02-02 10:28:40.015"
"Unused Time" "2019-02-02 10:28:40.015" "2019-02-02 11:21:00.017"
CAL_1055+018 "2019-02-02 11:21:00.017" "2019-02-02 11:24:00.017"
"Unused Time" "2019-02-02 11:24:00.017" "2019-02-02 12:16:00.019"
CAL_1055+018 "2019-02-02 12:16:00.019" "2019-02-02 12:19:00.019"
TransitionBlock "2019-02-02 12:19:00.019" "2019-02-02 12:19:20.019"
"Unused Time" "2019-02-02 12:19:20.019" "2019-02-02 12:20:20.019"
CAL_IRC+10216 "2019-02-02 12:20:20.019" "2019-02-02 12:23:20.019"
"Unused Time" "2019-02-02 12:23:20.019" "2019-02-02 13:16:00.021"
CAL_IRC+10216 "2019-02-02 13:16:00.021" "2019-02-02 13:19:00.021"
TransitionBlock "2019-02-02 13:19:00.021" "2019-02-02 13:19:20.021"
"Unused Time" "2019-02-02 13:19:20.021" "2019-02-02 13:21:00.022"
CAL_1055+018 "2019-02-02 13:21:00.022" "2019-02-02 13:24:00.022"
TransitionBlock "2019-02-02 13:24:00.022" "2019-02-02 13:25:00.022"
CAL_Arp220 "2019-02-02 13:25:00.022" "2019-02-02 13:28:00.022"
TransitionBlock "2019-02-02 13:28:00.022" "2019-02-02 13:29:20.022"
"Unused Time" "2019-02-02 13:29:20.022" "2019-02-02 14:16:20.024"
CAL_IRC+10216 "2019-02-02 14:16:20.024" "2019-02-02 14:19:20.024"
TransitionBlock "2019-02-02 14:19:20.024" "2019-02-02 14:19:40.024"
"Unused Time" "2019-02-02 14:19:40.024" "2019-02-02 14:20:00.024"
CAL_1055+018 "2019-02-02 14:20:00.024" "2019-02-02 14:23:00.024"
TransitionBlock "2019-02-02 14:23:00.024" "2019-02-02 14:24:00.024"
"Unused Time" "2019-02-02 14:24:00.024" "2019-02-02 14:27:00.024"
CAL_Arp220 "2019-02-02 14:27:00.024" "2019-02-02 14:30:00.024"
TransitionBlock "2019-02-02 14:30:00.024" "2019-02-02 14:31:00.024"
"Unused Time" "2019-02-02 14:31:00.024" "2019-02-02 15:15:20.026"
CAL_1055+018 "2019-02-02 15:15:20.026" "2019-02-02 15:18:20.026"
TransitionBlock "2019-02-02 15:18:20.026" "2019-02-02 15:19:20.026"
"Unused Time" "2019-02-02 15:19:20.026" "2019-02-02 15:19:40.026"
CAL_Arp220 "2019-02-02 15:19:40.026" "2019-02-02 15:22:40.026"
TransitionBlock "2019-02-02 15:22:40.026" "2019-02-02 15:24:00.026"
"Unused Time" "2019-02-02 15:24:00.026" "2019-02-02 15:26:40.026"
CAL_IRC+10216 "2019-02-02 15:26:40.026" "2019-02-02 15:29:40.026"
TransitionBlock "2019-02-02 15:29:40.026" "2019-02-02 15:31:20.026"
"Unused Time" "2019-02-02 15:31:20.026" "2019-02-02 15:45:40.027"
"IRAS 16029-3041" "2019-02-02 15:45:40.027" "2019-02-02 16:13:40.027"
TransitionBlock "2019-02-02 16:13:40.027" "2019-02-02 16:14:40.027"
"Unused Time" "2019-02-02 16:14:40.027" "2019-02-02 16:16:20.028"
CAL_Arp220 "2019-02-02 16:16:20.028" "2019-02-02 16:19:20.028"
