target "start time (UTC)" "end time (UTC)"
"BK Vir" "2019-05-26 03:30:00.000" "2019-05-26 04:14:20.000"
TransitionBlock "2019-05-26 04:14:20.000" "2019-05-26 04:15:00.000"
"Unused Time" "2019-05-26 04:15:00.000" "2019-05-26 04:22:40.002"
CAL_1153+495 "2019-05-26 04:22:40.002" "2019-05-26 04:25:40.002"
TransitionBlock "2019-05-26 04:25:40.002" "2019-05-26 04:27:00.002"
"Unused Time" "2019-05-26 04:27:00.002" "2019-05-26 04:30:20.002"
"U Ant" "2019-05-26 04:30:20.002" "2019-05-26 05:14:40.002"
TransitionBlock "2019-05-26 05:14:40.002" "2019-05-26 05:16:00.002"
"Unused Time" "2019-05-26 05:16:00.002" "2019-05-26 05:16:20.004"
CAL_1153+495 "2019-05-26 05:16:20.004" "2019-05-26 05:19:20.004"
TransitionBlock "2019-05-26 05:19:20.004" "2019-05-26 05:20:00.004"
"Unused Time" "2019-05-26 05:20:00.004" "2019-05-26 05:21:20.004"
CAL_IRC+10216 "2019-05-26 05:21:20.004" "2019-05-26 05:24:20.004"
TransitionBlock "2019-05-26 05:24:20.004" "2019-05-26 05:25:40.004"
"Unused Time" "2019-05-26 05:25:40.004" "2019-05-26 05:26:40.004"
CAL_Arp220 "2019-05-26 05:26:40.004" "2019-05-26 05:29:40.004"
TransitionBlock "2019-05-26 05:29:40.004" "2019-05-26 05:31:00.004"
IRC+10216 "2019-05-26 05:31:00.004" "2019-05-26 06:15:20.004"
TransitionBlock "2019-05-26 06:15:20.004" "2019-05-26 06:16:00.004"
"Unused Time" "2019-05-26 06:16:00.004" "2019-05-26 06:16:20.006"
CAL_1153+495 "2019-05-26 06:16:20.006" "2019-05-26 06:19:20.006"
TransitionBlock "2019-05-26 06:19:20.006" "2019-05-26 06:20:20.006"
"Unused Time" "2019-05-26 06:20:20.006" "2019-05-26 06:22:00.006"
CAL_Arp220 "2019-05-26 06:22:00.006" "2019-05-26 06:25:00.006"
TransitionBlock "2019-05-26 06:25:00.006" "2019-05-26 06:26:20.006"
"Unused Time" "2019-05-26 06:26:20.006" "2019-05-26 06:26:40.006"
CAL_IRC+10216 "2019-05-26 06:26:40.006" "2019-05-26 06:29:40.006"
"Unused Time" "2019-05-26 06:29:40.006" "2019-05-26 06:32:00.007"
IRC+10216 "2019-05-26 06:32:00.007" "2019-05-26 07:16:20.008"
CAL_IRC+10216 "2019-05-26 07:16:20.008" "2019-05-26 07:19:20.008"
TransitionBlock "2019-05-26 07:19:20.008" "2019-05-26 07:20:00.008"
"Unused Time" "2019-05-26 07:20:00.008" "2019-05-26 07:20:40.008"
CAL_1153+495 "2019-05-26 07:20:40.008" "2019-05-26 07:23:40.008"
