target "start time (UTC)" "end time (UTC)"
M31-pointing-2j "2019-01-10 03:30:00.000" "2019-01-10 04:11:40.000"
TransitionBlock "2019-01-10 04:11:40.000" "2019-01-10 04:12:20.000"
"Unused Time" "2019-01-10 04:12:20.000" "2019-01-10 04:18:20.002"
CAL_CRL618 "2019-01-10 04:18:20.002" "2019-01-10 04:21:20.002"
"Unused Time" "2019-01-10 04:21:20.002" "2019-01-10 04:22:00.002"
CAL_CRL618 "2019-01-10 04:22:00.002" "2019-01-10 04:25:00.002"
TransitionBlock "2019-01-10 04:25:00.002" "2019-01-10 04:25:20.002"
"Unused Time" "2019-01-10 04:25:20.002" "2019-01-10 04:25:40.002"
CAL_0300+471 "2019-01-10 04:25:40.002" "2019-01-10 04:28:40.002"
TransitionBlock "2019-01-10 04:28:40.002" "2019-01-10 04:29:20.002"
"Unused Time" "2019-01-10 04:29:20.002" "2019-01-10 04:29:40.002"
M31-pointing-2j "2019-01-10 04:29:40.002" "2019-01-10 05:11:20.002"
TransitionBlock "2019-01-10 05:11:20.002" "2019-01-10 05:12:00.002"
"Unused Time" "2019-01-10 05:12:00.002" "2019-01-10 05:15:00.004"
CAL_CRL618 "2019-01-10 05:15:00.004" "2019-01-10 05:18:00.004"
CAL_CRL618 "2019-01-10 05:18:00.004" "2019-01-10 05:21:00.004"
TransitionBlock "2019-01-10 05:21:00.004" "2019-01-10 05:21:20.004"
"Unused Time" "2019-01-10 05:21:20.004" "2019-01-10 05:26:00.004"
CAL_0300+471 "2019-01-10 05:26:00.004" "2019-01-10 05:29:00.004"
TransitionBlock "2019-01-10 05:29:00.004" "2019-01-10 05:29:40.004"
"Unused Time" "2019-01-10 05:29:40.004" "2019-01-10 05:37:40.005"
M31-pointing-2j "2019-01-10 05:37:40.005" "2019-01-10 06:19:20.005"
TransitionBlock "2019-01-10 06:19:20.005" "2019-01-10 06:20:00.005"
"Unused Time" "2019-01-10 06:20:00.005" "2019-01-10 06:20:40.006"
CAL_0300+471 "2019-01-10 06:20:40.006" "2019-01-10 06:23:40.006"
TransitionBlock "2019-01-10 06:23:40.006" "2019-01-10 06:24:00.006"
CAL_CRL618 "2019-01-10 06:24:00.006" "2019-01-10 06:27:00.007"
CAL_CRL618 "2019-01-10 06:27:00.007" "2019-01-10 06:30:00.007"
TransitionBlock "2019-01-10 06:30:00.007" "2019-01-10 06:30:40.007"
"Unused Time" "2019-01-10 06:30:40.007" "2019-01-10 06:31:00.007"
M31-pointing-2j "2019-01-10 06:31:00.007" "2019-01-10 07:12:40.007"
TransitionBlock "2019-01-10 07:12:40.007" "2019-01-10 07:13:20.007"
"Unused Time" "2019-01-10 07:13:20.007" "2019-01-10 07:15:00.008"
CAL_CRL618 "2019-01-10 07:15:00.008" "2019-01-10 07:18:00.008"
TransitionBlock "2019-01-10 07:18:00.008" "2019-01-10 07:18:20.008"
"Unused Time" "2019-01-10 07:18:20.008" "2019-01-10 07:18:40.008"
CAL_0300+471 "2019-01-10 07:18:40.008" "2019-01-10 07:21:40.008"
TransitionBlock "2019-01-10 07:21:40.008" "2019-01-10 07:22:00.008"
"Unused Time" "2019-01-10 07:22:00.008" "2019-01-10 07:24:00.009"
CAL_CRL618 "2019-01-10 07:24:00.009" "2019-01-10 07:27:00.009"
TransitionBlock "2019-01-10 07:27:00.009" "2019-01-10 07:27:40.009"
"Unused Time" "2019-01-10 07:27:40.009" "2019-01-10 07:28:00.009"
M31-pointing-2j "2019-01-10 07:28:00.009" "2019-01-10 08:09:40.009"
