target "start time (UTC)" "end time (UTC)"
"Unused Time" "2019-04-21 03:30:00.000" "2019-04-21 04:18:20.002"
CAL_CRL618 "2019-04-21 04:18:20.002" "2019-04-21 04:21:20.002"
TransitionBlock "2019-04-21 04:21:20.002" "2019-04-21 04:22:20.002"
"Unused Time" "2019-04-21 04:22:20.002" "2019-04-21 04:25:40.002"
CAL_0917+449 "2019-04-21 04:25:40.002" "2019-04-21 04:28:40.002"
TransitionBlock "2019-04-21 04:28:40.002" "2019-04-21 04:29:40.002"
"Unused Time" "2019-04-21 04:29:40.002" "2019-04-21 05:15:00.004"
CAL_CRL618 "2019-04-21 05:15:00.004" "2019-04-21 05:18:00.004"
TransitionBlock "2019-04-21 05:18:00.004" "2019-04-21 05:19:00.004"
"Unused Time" "2019-04-21 05:19:00.004" "2019-04-21 05:22:00.004"
CAL_IRC+10216 "2019-04-21 05:22:00.004" "2019-04-21 05:25:00.004"
TransitionBlock "2019-04-21 05:25:00.004" "2019-04-21 05:25:40.004"
"Unused Time" "2019-04-21 05:25:40.004" "2019-04-21 05:26:00.004"
CAL_0917+449 "2019-04-21 05:26:00.004" "2019-04-21 05:29:00.004"
"Unused Time" "2019-04-21 05:29:00.004" "2019-04-21 06:20:40.006"
CAL_0917+449 "2019-04-21 06:20:40.006" "2019-04-21 06:23:40.006"
"Unused Time" "2019-04-21 06:23:40.006" "2019-04-21 07:18:40.008"
CAL_0917+449 "2019-04-21 07:18:40.008" "2019-04-21 07:21:40.008"
TransitionBlock "2019-04-21 07:21:40.008" "2019-04-21 07:22:20.008"
"Unused Time" "2019-04-21 07:22:20.008" "2019-04-21 07:24:40.009"
CAL_IRC+10216 "2019-04-21 07:24:40.009" "2019-04-21 07:27:40.009"
TransitionBlock "2019-04-21 07:27:40.009" "2019-04-21 07:28:20.009"
"Unused Time" "2019-04-21 07:28:20.009" "2019-04-21 08:18:40.011"
CAL_0917+449 "2019-04-21 08:18:40.011" "2019-04-21 08:21:40.011"
TransitionBlock "2019-04-21 08:21:40.011" "2019-04-21 08:22:20.011"
"Unused Time" "2019-04-21 08:22:20.011" "2019-04-21 08:25:20.011"
CAL_IRC+10216 "2019-04-21 08:25:20.011" "2019-04-21 08:28:20.011"
TransitionBlock "2019-04-21 08:28:20.011" "2019-04-21 08:29:00.011"
"Unused Time" "2019-04-21 08:29:00.011" "2019-04-21 09:19:20.013"
CAL_0917+449 "2019-04-21 09:19:20.013" "2019-04-21 09:22:20.013"
TransitionBlock "2019-04-21 09:22:20.013" "2019-04-21 09:23:00.013"
"Unused Time" "2019-04-21 09:23:00.013" "2019-04-21 09:27:00.013"
CAL_IRC+10216 "2019-04-21 09:27:00.013" "2019-04-21 09:30:00.013"
"Unused Time" "2019-04-21 09:30:00.013" "2019-04-21 10:20:20.015"
CAL_IRC+10216 "2019-04-21 10:20:20.015" "2019-04-21 10:23:20.015"
TransitionBlock "2019-04-21 10:23:20.015" "2019-04-21 10:24:40.015"
"Unused Time" "2019-04-21 10:24:40.015" "2019-04-21 10:27:40.015"
NEP-13 "2019-04-21 10:27:40.015" "2019-04-21 11:09:20.015"
TransitionBlock "2019-04-21 11:09:20.015" "2019-04-21 11:09:40.015"
"Unused Time" "2019-04-21 11:09:40.015" "2019-04-21 11:19:00.017"
CAL_1823+568 "2019-04-21 11:19:00.017" "2019-04-21 11:22:00.017"
TransitionBlock "2019-04-21 11:22:00.017" "2019-04-21 11:23:00.017"
"Unused Time" "2019-04-21 11:23:00.017" "2019-04-21 11:26:00.017"
CAL_G34.3 "2019-04-21 11:26:00.017" "2019-04-21 11:29:00.017"
TransitionBlock "2019-04-21 11:29:00.017" "2019-04-21 11:30:00.017"
NEP-17 "2019-04-21 11:30:00.017" "2019-04-21 12:11:40.017"
TransitionBlock "2019-04-21 12:11:40.017" "2019-04-21 12:12:00.017"
"Unused Time" "2019-04-21 12:12:00.017" "2019-04-21 12:18:40.019"
CAL_1823+568 "2019-04-21 12:18:40.019" "2019-04-21 12:21:40.019"
TransitionBlock "2019-04-21 12:21:40.019" "2019-04-21 12:22:40.019"
"Unused Time" "2019-04-21 12:22:40.019" "2019-04-21 12:24:20.020"
CAL_G34.3 "2019-04-21 12:24:20.020" "2019-04-21 12:27:20.020"
TransitionBlock "2019-04-21 12:27:20.020" "2019-04-21 12:28:20.020"
"Unused Time" "2019-04-21 12:28:20.020" "2019-04-21 12:31:20.020"
NEP-13 "2019-04-21 12:31:20.020" "2019-04-21 13:13:00.020"
TransitionBlock "2019-04-21 13:13:00.020" "2019-04-21 13:14:00.020"
"Unused Time" "2019-04-21 13:14:00.020" "2019-04-21 13:16:20.022"
CAL_G34.3 "2019-04-21 13:16:20.022" "2019-04-21 13:19:20.022"
TransitionBlock "2019-04-21 13:19:20.022" "2019-04-21 13:20:00.022"
"Unused Time" "2019-04-21 13:20:00.022" "2019-04-21 13:21:20.022"
CAL_MWC349 "2019-04-21 13:21:20.022" "2019-04-21 13:24:20.022"
TransitionBlock "2019-04-21 13:24:20.022" "2019-04-21 13:25:00.022"
"Unused Time" "2019-04-21 13:25:00.022" "2019-04-21 13:25:20.022"
CAL_1823+568 "2019-04-21 13:25:20.022" "2019-04-21 13:28:20.022"
TransitionBlock "2019-04-21 13:28:20.022" "2019-04-21 13:28:40.022"
