target "start time (UTC)" "end time (UTC)"
"Orion A Field 3" "2019-04-19 03:30:00.000" "2019-04-19 04:11:00.000"
TransitionBlock "2019-04-19 04:11:00.000" "2019-04-19 04:11:40.000"
"Unused Time" "2019-04-19 04:11:40.000" "2019-04-19 04:18:20.002"
CAL_CRL618 "2019-04-19 04:18:20.002" "2019-04-19 04:21:20.002"
TransitionBlock "2019-04-19 04:21:20.002" "2019-04-19 04:22:20.002"
"Unused Time" "2019-04-19 04:22:20.002" "2019-04-19 04:25:40.002"
CAL_0917+449 "2019-04-19 04:25:40.002" "2019-04-19 04:28:40.002"
TransitionBlock "2019-04-19 04:28:40.002" "2019-04-19 04:29:40.002"
"Unused Time" "2019-04-19 04:29:40.002" "2019-04-19 04:33:00.002"
"Orion A Field 3" "2019-04-19 04:33:00.002" "2019-04-19 05:14:00.002"
TransitionBlock "2019-04-19 05:14:00.002" "2019-04-19 05:14:40.002"
"Unused Time" "2019-04-19 05:14:40.002" "2019-04-19 05:15:00.004"
CAL_CRL618 "2019-04-19 05:15:00.004" "2019-04-19 05:18:00.004"
TransitionBlock "2019-04-19 05:18:00.004" "2019-04-19 05:19:00.004"
"Unused Time" "2019-04-19 05:19:00.004" "2019-04-19 05:22:00.004"
CAL_IRC+10216 "2019-04-19 05:22:00.004" "2019-04-19 05:25:00.004"
TransitionBlock "2019-04-19 05:25:00.004" "2019-04-19 05:25:40.004"
"Unused Time" "2019-04-19 05:25:40.004" "2019-04-19 05:26:00.004"
CAL_0917+449 "2019-04-19 05:26:00.004" "2019-04-19 05:29:00.004"
TransitionBlock "2019-04-19 05:29:00.004" "2019-04-19 05:30:00.004"
"Unused Time" "2019-04-19 05:30:00.004" "2019-04-19 05:35:20.005"
"Rosette Field 1" "2019-04-19 05:35:20.005" "2019-04-19 06:16:20.005"
TransitionBlock "2019-04-19 06:16:20.005" "2019-04-19 06:17:20.005"
"Unused Time" "2019-04-19 06:17:20.005" "2019-04-19 06:20:40.006"
CAL_0917+449 "2019-04-19 06:20:40.006" "2019-04-19 06:23:40.006"
TransitionBlock "2019-04-19 06:23:40.006" "2019-04-19 06:24:40.006"
"Unused Time" "2019-04-19 06:24:40.006" "2019-04-19 06:26:00.006"
"Rosette Field 1" "2019-04-19 06:26:00.006" "2019-04-19 07:07:00.006"
TransitionBlock "2019-04-19 07:07:00.006" "2019-04-19 07:08:00.006"
"Unused Time" "2019-04-19 07:08:00.006" "2019-04-19 07:18:40.008"
CAL_0917+449 "2019-04-19 07:18:40.008" "2019-04-19 07:21:40.008"
TransitionBlock "2019-04-19 07:21:40.008" "2019-04-19 07:22:20.008"
"Unused Time" "2019-04-19 07:22:20.008" "2019-04-19 07:24:40.009"
CAL_IRC+10216 "2019-04-19 07:24:40.009" "2019-04-19 07:27:40.009"
TransitionBlock "2019-04-19 07:27:40.009" "2019-04-19 07:28:20.009"
"Unused Time" "2019-04-19 07:28:20.009" "2019-04-19 08:18:40.011"
CAL_0917+449 "2019-04-19 08:18:40.011" "2019-04-19 08:21:40.011"
TransitionBlock "2019-04-19 08:21:40.011" "2019-04-19 08:22:20.011"
"Unused Time" "2019-04-19 08:22:20.011" "2019-04-19 08:25:20.011"
CAL_IRC+10216 "2019-04-19 08:25:20.011" "2019-04-19 08:28:20.011"
TransitionBlock "2019-04-19 08:28:20.011" "2019-04-19 08:29:00.011"
"Unused Time" "2019-04-19 08:29:00.011" "2019-04-19 09:19:20.013"
CAL_0917+449 "2019-04-19 09:19:20.013" "2019-04-19 09:22:20.013"
TransitionBlock "2019-04-19 09:22:20.013" "2019-04-19 09:23:00.013"
"Unused Time" "2019-04-19 09:23:00.013" "2019-04-19 09:27:00.013"
CAL_IRC+10216 "2019-04-19 09:27:00.013" "2019-04-19 09:30:00.013"
TransitionBlock "2019-04-19 09:30:00.013" "2019-04-19 09:30:40.013"
"Unused Time" "2019-04-19 09:30:40.013" "2019-04-19 10:15:00.015"
CAL_0917+449 "2019-04-19 10:15:00.015" "2019-04-19 10:18:00.015"
TransitionBlock "2019-04-19 10:18:00.015" "2019-04-19 10:18:40.015"
"Unused Time" "2019-04-19 10:18:40.015" "2019-04-19 10:19:20.015"
CAL_IRC+10216 "2019-04-19 10:19:20.015" "2019-04-19 10:22:20.015"
