target "start time (UTC)" "end time (UTC)"
XMM-LSS-034 "2019-03-11 03:30:00.000" "2019-03-11 04:11:40.000"
TransitionBlock "2019-03-11 04:11:40.000" "2019-03-11 04:12:40.000"
"Unused Time" "2019-03-11 04:12:40.000" "2019-03-11 04:18:20.002"
CAL_CRL618 "2019-03-11 04:18:20.002" "2019-03-11 04:21:20.002"
TransitionBlock "2019-03-11 04:21:20.002" "2019-03-11 04:22:00.002"
"Unused Time" "2019-03-11 04:22:00.002" "2019-03-11 04:25:40.002"
CAL_0642+449 "2019-03-11 04:25:40.002" "2019-03-11 04:28:40.002"
TransitionBlock "2019-03-11 04:28:40.002" "2019-03-11 04:30:00.002"
"Unused Time" "2019-03-11 04:30:00.002" "2019-03-11 04:31:20.002"
XMM-LSS-020 "2019-03-11 04:31:20.002" "2019-03-11 05:13:00.002"
TransitionBlock "2019-03-11 05:13:00.002" "2019-03-11 05:14:00.002"
"Unused Time" "2019-03-11 05:14:00.002" "2019-03-11 05:15:00.004"
CAL_CRL618 "2019-03-11 05:15:00.004" "2019-03-11 05:18:00.004"
TransitionBlock "2019-03-11 05:18:00.004" "2019-03-11 05:19:00.004"
"Unused Time" "2019-03-11 05:19:00.004" "2019-03-11 05:21:40.004"
CAL_OH231.8 "2019-03-11 05:21:40.004" "2019-03-11 05:24:40.004"
TransitionBlock "2019-03-11 05:24:40.004" "2019-03-11 05:25:40.004"
"Unused Time" "2019-03-11 05:25:40.004" "2019-03-11 05:26:00.004"
CAL_0642+449 "2019-03-11 05:26:00.004" "2019-03-11 05:29:00.004"
TransitionBlock "2019-03-11 05:29:00.004" "2019-03-11 05:30:00.004"
"Unused Time" "2019-03-11 05:30:00.004" "2019-03-11 06:16:20.006"
CAL_OH231.8 "2019-03-11 06:16:20.006" "2019-03-11 06:19:20.006"
TransitionBlock "2019-03-11 06:19:20.006" "2019-03-11 06:20:20.006"
"Unused Time" "2019-03-11 06:20:20.006" "2019-03-11 06:20:40.006"
CAL_0642+449 "2019-03-11 06:20:40.006" "2019-03-11 06:23:40.006"
TransitionBlock "2019-03-11 06:23:40.006" "2019-03-11 06:24:20.006"
"Unused Time" "2019-03-11 06:24:20.006" "2019-03-11 06:27:00.007"
CAL_CRL618 "2019-03-11 06:27:00.007" "2019-03-11 06:30:00.007"
TransitionBlock "2019-03-11 06:30:00.007" "2019-03-11 06:30:40.007"
"Unused Time" "2019-03-11 06:30:40.007" "2019-03-11 07:18:40.008"
CAL_0642+449 "2019-03-11 07:18:40.008" "2019-03-11 07:21:40.008"
TransitionBlock "2019-03-11 07:21:40.008" "2019-03-11 07:22:20.008"
"Unused Time" "2019-03-11 07:22:20.008" "2019-03-11 07:24:40.009"
CAL_CRL618 "2019-03-11 07:24:40.009" "2019-03-11 07:27:40.009"
TransitionBlock "2019-03-11 07:27:40.009" "2019-03-11 07:28:20.009"
"Unused Time" "2019-03-11 07:28:20.009" "2019-03-11 08:18:40.011"
CAL_0642+449 "2019-03-11 08:18:40.011" "2019-03-11 08:21:40.011"
TransitionBlock "2019-03-11 08:21:40.011" "2019-03-11 08:22:40.011"
"Unused Time" "2019-03-11 08:22:40.011" "2019-03-11 08:25:20.011"
CAL_OH231.8 "2019-03-11 08:25:20.011" "2019-03-11 08:28:20.011"
TransitionBlock "2019-03-11 08:28:20.011" "2019-03-11 08:29:20.011"
"Unused Time" "2019-03-11 08:29:20.011" "2019-03-11 09:19:20.013"
CAL_0642+449 "2019-03-11 09:19:20.013" "2019-03-11 09:22:20.013"
TransitionBlock "2019-03-11 09:22:20.013" "2019-03-11 09:23:20.013"
"Unused Time" "2019-03-11 09:23:20.013" "2019-03-11 09:27:00.013"
CAL_OH231.8 "2019-03-11 09:27:00.013" "2019-03-11 09:30:00.013"
TransitionBlock "2019-03-11 09:30:00.013" "2019-03-11 09:31:00.013"
"Unused Time" "2019-03-11 09:31:00.013" "2019-03-11 10:18:00.015"
CAL_0642+449 "2019-03-11 10:18:00.015" "2019-03-11 10:21:00.015"
TransitionBlock "2019-03-11 10:21:00.015" "2019-03-11 10:22:40.015"
"Unused Time" "2019-03-11 10:22:40.015" "2019-03-11 11:16:40.017"
CAL_Arp220 "2019-03-11 11:16:40.017" "2019-03-11 11:19:40.017"
TransitionBlock "2019-03-11 11:19:40.017" "2019-03-11 11:20:00.017"
"Unused Time" "2019-03-11 11:20:00.017" "2019-03-11 11:22:00.017"
CAL_1611+343 "2019-03-11 11:22:00.017" "2019-03-11 11:25:00.017"
TransitionBlock "2019-03-11 11:25:00.017" "2019-03-11 11:25:20.017"
"Unused Time" "2019-03-11 11:25:20.017" "2019-03-11 12:18:40.019"
