target "start time (UTC)" "end time (UTC)"
"V919 Cen" "2019-06-20 03:30:00.000" "2019-06-20 04:01:00.000"
TransitionBlock "2019-06-20 04:01:00.000" "2019-06-20 04:02:20.000"
"Unused Time" "2019-06-20 04:02:20.000" "2019-06-20 04:18:20.002"
CAL_Arp220 "2019-06-20 04:18:20.002" "2019-06-20 04:21:20.002"
TransitionBlock "2019-06-20 04:21:20.002" "2019-06-20 04:22:00.002"
"Unused Time" "2019-06-20 04:22:00.002" "2019-06-20 04:25:40.002"
CAL_1308+326 "2019-06-20 04:25:40.002" "2019-06-20 04:28:40.002"
TransitionBlock "2019-06-20 04:28:40.002" "2019-06-20 04:29:20.002"
"RT Vir" "2019-06-20 04:29:20.002" "2019-06-20 05:13:40.002"
TransitionBlock "2019-06-20 05:13:40.002" "2019-06-20 05:14:20.002"
"Unused Time" "2019-06-20 05:14:20.002" "2019-06-20 05:15:00.004"
CAL_Arp220 "2019-06-20 05:15:00.004" "2019-06-20 05:18:00.004"
TransitionBlock "2019-06-20 05:18:00.004" "2019-06-20 05:18:40.004"
"Unused Time" "2019-06-20 05:18:40.004" "2019-06-20 05:26:00.004"
CAL_1308+326 "2019-06-20 05:26:00.004" "2019-06-20 05:29:00.004"
TransitionBlock "2019-06-20 05:29:00.004" "2019-06-20 05:30:00.004"
"Unused Time" "2019-06-20 05:30:00.004" "2019-06-20 05:34:00.005"
IRC+10216 "2019-06-20 05:34:00.005" "2019-06-20 06:18:20.005"
TransitionBlock "2019-06-20 06:18:20.005" "2019-06-20 06:19:20.005"
"Unused Time" "2019-06-20 06:19:20.005" "2019-06-20 06:20:40.006"
CAL_1308+326 "2019-06-20 06:20:40.006" "2019-06-20 06:23:40.006"
TransitionBlock "2019-06-20 06:23:40.006" "2019-06-20 06:24:20.006"
"Unused Time" "2019-06-20 06:24:20.006" "2019-06-20 06:27:00.007"
CAL_Arp220 "2019-06-20 06:27:00.007" "2019-06-20 06:30:00.007"
TransitionBlock "2019-06-20 06:30:00.007" "2019-06-20 06:31:00.007"
"Unused Time" "2019-06-20 06:31:00.007" "2019-06-20 06:31:40.007"
"BK Vir" "2019-06-20 06:31:40.007" "2019-06-20 07:16:00.007"
TransitionBlock "2019-06-20 07:16:00.007" "2019-06-20 07:16:40.007"
"Unused Time" "2019-06-20 07:16:40.007" "2019-06-20 07:18:40.008"
CAL_1308+326 "2019-06-20 07:18:40.008" "2019-06-20 07:21:40.008"
TransitionBlock "2019-06-20 07:21:40.008" "2019-06-20 07:23:00.008"
"Unused Time" "2019-06-20 07:23:00.008" "2019-06-20 07:24:40.009"
CAL_16293-2422 "2019-06-20 07:24:40.009" "2019-06-20 07:27:40.009"
