target "start time (UTC)" "end time (UTC)"
M31-pointing-1e "2019-02-19 03:30:00.000" "2019-02-19 04:11:40.000"
TransitionBlock "2019-02-19 04:11:40.000" "2019-02-19 04:13:00.000"
"Unused Time" "2019-02-19 04:13:00.000" "2019-02-19 04:18:20.002"
CAL_N2071IR "2019-02-19 04:18:20.002" "2019-02-19 04:21:20.002"
TransitionBlock "2019-02-19 04:21:20.002" "2019-02-19 04:21:40.002"
"Unused Time" "2019-02-19 04:21:40.002" "2019-02-19 04:25:40.002"
CAL_0529+075 "2019-02-19 04:25:40.002" "2019-02-19 04:28:40.002"
TransitionBlock "2019-02-19 04:28:40.002" "2019-02-19 04:29:40.002"
"Unused Time" "2019-02-19 04:29:40.002" "2019-02-19 04:31:40.002"
M31-pointing-1e "2019-02-19 04:31:40.002" "2019-02-19 05:13:20.002"
TransitionBlock "2019-02-19 05:13:20.002" "2019-02-19 05:14:00.002"
"Unused Time" "2019-02-19 05:14:00.002" "2019-02-19 05:15:00.004"
CAL_CRL618 "2019-02-19 05:15:00.004" "2019-02-19 05:18:00.004"
TransitionBlock "2019-02-19 05:18:00.004" "2019-02-19 05:18:40.004"
"Unused Time" "2019-02-19 05:18:40.004" "2019-02-19 05:22:20.004"
CAL_N2071IR "2019-02-19 05:22:20.004" "2019-02-19 05:25:20.004"
TransitionBlock "2019-02-19 05:25:20.004" "2019-02-19 05:25:40.004"
"Unused Time" "2019-02-19 05:25:40.004" "2019-02-19 05:26:00.004"
CAL_0529+075 "2019-02-19 05:26:00.004" "2019-02-19 05:29:00.004"
TransitionBlock "2019-02-19 05:29:00.004" "2019-02-19 05:29:40.004"
"Unused Time" "2019-02-19 05:29:40.004" "2019-02-19 05:35:00.005"
"Perseus IC348" "2019-02-19 05:35:00.005" "2019-02-19 06:16:00.005"
TransitionBlock "2019-02-19 06:16:00.005" "2019-02-19 06:16:40.005"
"Unused Time" "2019-02-19 06:16:40.005" "2019-02-19 06:17:00.006"
CAL_N2071IR "2019-02-19 06:17:00.006" "2019-02-19 06:20:00.006"
TransitionBlock "2019-02-19 06:20:00.006" "2019-02-19 06:20:20.006"
"Unused Time" "2019-02-19 06:20:20.006" "2019-02-19 06:20:40.006"
CAL_0529+075 "2019-02-19 06:20:40.006" "2019-02-19 06:23:40.006"
TransitionBlock "2019-02-19 06:23:40.006" "2019-02-19 06:24:20.006"
"Unused Time" "2019-02-19 06:24:20.006" "2019-02-19 06:27:00.007"
CAL_CRL618 "2019-02-19 06:27:00.007" "2019-02-19 06:30:00.007"
TransitionBlock "2019-02-19 06:30:00.007" "2019-02-19 06:30:20.007"
"Unused Time" "2019-02-19 06:30:20.007" "2019-02-19 06:31:20.007"
"Perseus IC348" "2019-02-19 06:31:20.007" "2019-02-19 07:12:20.007"
TransitionBlock "2019-02-19 07:12:20.007" "2019-02-19 07:13:00.007"
"Unused Time" "2019-02-19 07:13:00.007" "2019-02-19 07:15:00.008"
CAL_N2071IR "2019-02-19 07:15:00.008" "2019-02-19 07:18:00.008"
TransitionBlock "2019-02-19 07:18:00.008" "2019-02-19 07:18:20.008"
"Unused Time" "2019-02-19 07:18:20.008" "2019-02-19 07:18:40.008"
CAL_0529+075 "2019-02-19 07:18:40.008" "2019-02-19 07:21:40.008"
TransitionBlock "2019-02-19 07:21:40.008" "2019-02-19 07:22:20.008"
"Unused Time" "2019-02-19 07:22:20.008" "2019-02-19 07:24:00.009"
CAL_CRL618 "2019-02-19 07:24:00.009" "2019-02-19 07:27:00.009"
TransitionBlock "2019-02-19 07:27:00.009" "2019-02-19 07:27:20.009"
"Unused Time" "2019-02-19 07:27:20.009" "2019-02-19 07:29:00.009"
"Perseus IC348" "2019-02-19 07:29:00.009" "2019-02-19 08:10:00.009"
TransitionBlock "2019-02-19 08:10:00.009" "2019-02-19 08:10:40.009"
"Unused Time" "2019-02-19 08:10:40.009" "2019-02-19 08:15:00.010"
CAL_N2071IR "2019-02-19 08:15:00.010" "2019-02-19 08:18:00.010"
TransitionBlock "2019-02-19 08:18:00.010" "2019-02-19 08:18:20.010"
"Unused Time" "2019-02-19 08:18:20.010" "2019-02-19 08:18:40.011"
CAL_0529+075 "2019-02-19 08:18:40.011" "2019-02-19 08:21:40.011"
TransitionBlock "2019-02-19 08:21:40.011" "2019-02-19 08:22:20.011"
"Unused Time" "2019-02-19 08:22:20.011" "2019-02-19 08:25:20.011"
CAL_CRL618 "2019-02-19 08:25:20.011" "2019-02-19 08:28:20.011"
TransitionBlock "2019-02-19 08:28:20.011" "2019-02-19 08:29:00.011"
"Unused Time" "2019-02-19 08:29:00.011" "2019-02-19 08:29:20.011"
"Orion A Field 3" "2019-02-19 08:29:20.011" "2019-02-19 09:10:20.011"
TransitionBlock "2019-02-19 09:10:20.011" "2019-02-19 09:10:40.011"
"Unused Time" "2019-02-19 09:10:40.011" "2019-02-19 09:15:40.013"
CAL_N2071IR "2019-02-19 09:15:40.013" "2019-02-19 09:18:40.013"
TransitionBlock "2019-02-19 09:18:40.013" "2019-02-19 09:19:00.013"
"Unused Time" "2019-02-19 09:19:00.013" "2019-02-19 09:19:20.013"
CAL_0529+075 "2019-02-19 09:19:20.013" "2019-02-19 09:22:20.013"
TransitionBlock "2019-02-19 09:22:20.013" "2019-02-19 09:23:00.013"
"Unused Time" "2019-02-19 09:23:00.013" "2019-02-19 09:27:00.013"
CAL_CRL618 "2019-02-19 09:27:00.013" "2019-02-19 09:30:00.013"
TransitionBlock "2019-02-19 09:30:00.013" "2019-02-19 09:31:00.013"
"Unused Time" "2019-02-19 09:31:00.013" "2019-02-19 09:47:20.014"
"13CO+C18O 224.0-1.8" "2019-02-19 09:47:20.014" "2019-02-19 10:56:00.014"
TransitionBlock "2019-02-19 10:56:00.014" "2019-02-19 10:57:40.014"
"Unused Time" "2019-02-19 10:57:40.014" "2019-02-19 11:22:00.017"
CAL_1418+546 "2019-02-19 11:22:00.017" "2019-02-19 11:25:00.017"
TransitionBlock "2019-02-19 11:25:00.017" "2019-02-19 11:25:40.017"
"Unused Time" "2019-02-19 11:25:40.017" "2019-02-19 12:18:40.019"
CAL_Arp220 "2019-02-19 12:18:40.019" "2019-02-19 12:21:40.019"
TransitionBlock "2019-02-19 12:21:40.019" "2019-02-19 12:22:20.019"
"Unused Time" "2019-02-19 12:22:20.019" "2019-02-19 12:24:20.020"
CAL_1418+546 "2019-02-19 12:24:20.020" "2019-02-19 12:27:20.020"
"Unused Time" "2019-02-19 12:27:20.020" "2019-02-19 13:16:20.022"
