target "start time (UTC)" "end time (UTC)"
STUDIES-1_offset_N2 "2019-05-11 03:30:00.000" "2019-05-11 04:01:00.000"
TransitionBlock "2019-05-11 04:01:00.000" "2019-05-11 04:02:00.000"
"Unused Time" "2019-05-11 04:02:00.000" "2019-05-11 04:15:40.002"
CAL_1153+495 "2019-05-11 04:15:40.002" "2019-05-11 04:18:40.002"
TransitionBlock "2019-05-11 04:18:40.002" "2019-05-11 04:19:20.002"
"Unused Time" "2019-05-11 04:19:20.002" "2019-05-11 04:21:40.002"
CAL_IRC+10216 "2019-05-11 04:21:40.002" "2019-05-11 04:24:40.002"
TransitionBlock "2019-05-11 04:24:40.002" "2019-05-11 04:25:00.002"
"Unused Time" "2019-05-11 04:25:00.002" "2019-05-11 04:51:40.003"
STUDIES-1_offset_N2 "2019-05-11 04:51:40.003" "2019-05-11 05:22:40.003"
TransitionBlock "2019-05-11 05:22:40.003" "2019-05-11 05:23:40.003"
"Unused Time" "2019-05-11 05:23:40.003" "2019-05-11 05:26:00.004"
CAL_1153+495 "2019-05-11 05:26:00.004" "2019-05-11 05:29:00.004"
TransitionBlock "2019-05-11 05:29:00.004" "2019-05-11 05:30:00.004"
"Unused Time" "2019-05-11 05:30:00.004" "2019-05-11 05:42:20.005"
STUDIES-1_offset_N2 "2019-05-11 05:42:20.005" "2019-05-11 06:13:20.005"
TransitionBlock "2019-05-11 06:13:20.005" "2019-05-11 06:14:20.005"
"Unused Time" "2019-05-11 06:14:20.005" "2019-05-11 06:16:40.006"
CAL_1153+495 "2019-05-11 06:16:40.006" "2019-05-11 06:19:40.006"
TransitionBlock "2019-05-11 06:19:40.006" "2019-05-11 06:20:20.006"
"Unused Time" "2019-05-11 06:20:20.006" "2019-05-11 06:20:40.006"
CAL_IRC+10216 "2019-05-11 06:20:40.006" "2019-05-11 06:23:40.006"
TransitionBlock "2019-05-11 06:23:40.006" "2019-05-11 06:25:00.006"
"Unused Time" "2019-05-11 06:25:00.006" "2019-05-11 06:25:40.006"
CAL_Arp220 "2019-05-11 06:25:40.006" "2019-05-11 06:28:40.006"
TransitionBlock "2019-05-11 06:28:40.006" "2019-05-11 06:30:00.006"
"Unused Time" "2019-05-11 06:30:00.006" "2019-05-11 06:42:40.007"
STUDIES-1_offset_N2 "2019-05-11 06:42:40.007" "2019-05-11 07:13:40.007"
TransitionBlock "2019-05-11 07:13:40.007" "2019-05-11 07:14:00.007"
"Unused Time" "2019-05-11 07:14:00.007" "2019-05-11 07:18:40.008"
CAL_IRC+10216 "2019-05-11 07:18:40.008" "2019-05-11 07:21:40.008"
TransitionBlock "2019-05-11 07:21:40.008" "2019-05-11 07:22:20.008"
"Unused Time" "2019-05-11 07:22:20.008" "2019-05-11 07:24:40.009"
CAL_1153+495 "2019-05-11 07:24:40.009" "2019-05-11 07:27:40.009"
TransitionBlock "2019-05-11 07:27:40.009" "2019-05-11 07:28:40.009"
"Unused Time" "2019-05-11 07:28:40.009" "2019-05-11 07:37:00.009"
STUDIES-1_offset_N2 "2019-05-11 07:37:00.009" "2019-05-11 08:08:00.009"
TransitionBlock "2019-05-11 08:08:00.009" "2019-05-11 08:08:20.009"
"Unused Time" "2019-05-11 08:08:20.009" "2019-05-11 08:18:40.011"
CAL_IRC+10216 "2019-05-11 08:18:40.011" "2019-05-11 08:21:40.011"
TransitionBlock "2019-05-11 08:21:40.011" "2019-05-11 08:23:00.011"
"Unused Time" "2019-05-11 08:23:00.011" "2019-05-11 08:25:20.011"
CAL_Arp220 "2019-05-11 08:25:20.011" "2019-05-11 08:28:20.011"
TransitionBlock "2019-05-11 08:28:20.011" "2019-05-11 08:29:40.011"
"Unused Time" "2019-05-11 08:29:40.011" "2019-05-11 08:32:00.011"
STUDIES-1_offset_N2 "2019-05-11 08:32:00.011" "2019-05-11 09:03:00.011"
TransitionBlock "2019-05-11 09:03:00.011" "2019-05-11 09:04:20.011"
"Unused Time" "2019-05-11 09:04:20.011" "2019-05-11 09:19:20.013"
CAL_Arp220 "2019-05-11 09:19:20.013" "2019-05-11 09:22:20.013"
TransitionBlock "2019-05-11 09:22:20.013" "2019-05-11 09:23:20.013"
"Unused Time" "2019-05-11 09:23:20.013" "2019-05-11 09:27:00.013"
