target "start time (UTC)" "end time (UTC)"
"Rosette Field 1" "2019-04-28 03:30:00.000" "2019-04-28 04:11:00.000"
TransitionBlock "2019-04-28 04:11:00.000" "2019-04-28 04:12:00.000"
"Unused Time" "2019-04-28 04:12:00.000" "2019-04-28 04:18:20.002"
CAL_IRC+10216 "2019-04-28 04:18:20.002" "2019-04-28 04:21:20.002"
TransitionBlock "2019-04-28 04:21:20.002" "2019-04-28 04:22:20.002"
"Unused Time" "2019-04-28 04:22:20.002" "2019-04-28 04:25:40.002"
CAL_0954+658 "2019-04-28 04:25:40.002" "2019-04-28 04:28:40.002"
TransitionBlock "2019-04-28 04:28:40.002" "2019-04-28 04:29:40.002"
"Unused Time" "2019-04-28 04:29:40.002" "2019-04-28 04:35:40.002"
"Rosette Field 1" "2019-04-28 04:35:40.002" "2019-04-28 05:16:40.002"
TransitionBlock "2019-04-28 05:16:40.002" "2019-04-28 05:17:40.002"
"Unused Time" "2019-04-28 05:17:40.002" "2019-04-28 05:26:00.004"
CAL_0954+658 "2019-04-28 05:26:00.004" "2019-04-28 05:29:00.004"
TransitionBlock "2019-04-28 05:29:00.004" "2019-04-28 05:30:00.004"
"Unused Time" "2019-04-28 05:30:00.004" "2019-04-28 05:34:40.005"
"Rosette Field 1" "2019-04-28 05:34:40.005" "2019-04-28 06:15:40.005"
TransitionBlock "2019-04-28 06:15:40.005" "2019-04-28 06:16:40.005"
"Unused Time" "2019-04-28 06:16:40.005" "2019-04-28 06:20:40.006"
CAL_0954+658 "2019-04-28 06:20:40.006" "2019-04-28 06:23:40.006"
TransitionBlock "2019-04-28 06:23:40.006" "2019-04-28 06:24:40.006"
"Unused Time" "2019-04-28 06:24:40.006" "2019-04-28 06:25:40.006"
CAL_IRC+10216 "2019-04-28 06:25:40.006" "2019-04-28 06:28:40.006"
TransitionBlock "2019-04-28 06:28:40.006" "2019-04-28 06:29:40.006"
"Unused Time" "2019-04-28 06:29:40.006" "2019-04-28 07:18:40.008"
CAL_0954+658 "2019-04-28 07:18:40.008" "2019-04-28 07:21:40.008"
TransitionBlock "2019-04-28 07:21:40.008" "2019-04-28 07:22:40.008"
"Unused Time" "2019-04-28 07:22:40.008" "2019-04-28 07:24:40.009"
CAL_IRC+10216 "2019-04-28 07:24:40.009" "2019-04-28 07:27:40.009"
TransitionBlock "2019-04-28 07:27:40.009" "2019-04-28 07:28:40.009"
"Unused Time" "2019-04-28 07:28:40.009" "2019-04-28 08:18:40.011"
CAL_0954+658 "2019-04-28 08:18:40.011" "2019-04-28 08:21:40.011"
TransitionBlock "2019-04-28 08:21:40.011" "2019-04-28 08:22:40.011"
"Unused Time" "2019-04-28 08:22:40.011" "2019-04-28 08:25:20.011"
CAL_Arp220 "2019-04-28 08:25:20.011" "2019-04-28 08:28:20.011"
TransitionBlock "2019-04-28 08:28:20.011" "2019-04-28 08:29:40.011"
"Unused Time" "2019-04-28 08:29:40.011" "2019-04-28 09:15:00.013"
CAL_IRC+10216 "2019-04-28 09:15:00.013" "2019-04-28 09:18:00.013"
TransitionBlock "2019-04-28 09:18:00.013" "2019-04-28 09:19:00.013"
"Unused Time" "2019-04-28 09:19:00.013" "2019-04-28 09:19:20.013"
CAL_0954+658 "2019-04-28 09:19:20.013" "2019-04-28 09:22:20.013"
TransitionBlock "2019-04-28 09:22:20.013" "2019-04-28 09:23:20.013"
"Unused Time" "2019-04-28 09:23:20.013" "2019-04-28 09:27:00.013"
CAL_Arp220 "2019-04-28 09:27:00.013" "2019-04-28 09:30:00.013"
"Unused Time" "2019-04-28 09:30:00.013" "2019-04-28 10:18:20.015"
CAL_Arp220 "2019-04-28 10:18:20.015" "2019-04-28 10:21:20.015"
TransitionBlock "2019-04-28 10:21:20.015" "2019-04-28 10:22:20.015"
"Unused Time" "2019-04-28 10:22:20.015" "2019-04-28 10:34:20.016"
NEP-17 "2019-04-28 10:34:20.016" "2019-04-28 11:16:00.016"
