target "start time (UTC)" "end time (UTC)"
M31-pointing-2j "2019-01-11 03:30:00.000" "2019-01-11 04:11:40.000"
TransitionBlock "2019-01-11 04:11:40.000" "2019-01-11 04:12:20.000"
"Unused Time" "2019-01-11 04:12:20.000" "2019-01-11 04:18:20.002"
CAL_CRL618 "2019-01-11 04:18:20.002" "2019-01-11 04:21:20.002"
"Unused Time" "2019-01-11 04:21:20.002" "2019-01-11 04:22:00.002"
CAL_CRL618 "2019-01-11 04:22:00.002" "2019-01-11 04:25:00.002"
TransitionBlock "2019-01-11 04:25:00.002" "2019-01-11 04:25:20.002"
"Unused Time" "2019-01-11 04:25:20.002" "2019-01-11 04:25:40.002"
CAL_0300+471 "2019-01-11 04:25:40.002" "2019-01-11 04:28:40.002"
TransitionBlock "2019-01-11 04:28:40.002" "2019-01-11 04:29:20.002"
"Unused Time" "2019-01-11 04:29:20.002" "2019-01-11 04:30:00.002"
M31-pointing-2j "2019-01-11 04:30:00.002" "2019-01-11 05:11:40.002"
TransitionBlock "2019-01-11 05:11:40.002" "2019-01-11 05:12:20.002"
"Unused Time" "2019-01-11 05:12:20.002" "2019-01-11 05:15:00.004"
CAL_CRL618 "2019-01-11 05:15:00.004" "2019-01-11 05:18:00.004"
CAL_CRL618 "2019-01-11 05:18:00.004" "2019-01-11 05:21:00.004"
TransitionBlock "2019-01-11 05:21:00.004" "2019-01-11 05:21:20.004"
"Unused Time" "2019-01-11 05:21:20.004" "2019-01-11 05:26:00.004"
CAL_0300+471 "2019-01-11 05:26:00.004" "2019-01-11 05:29:00.004"
TransitionBlock "2019-01-11 05:29:00.004" "2019-01-11 05:29:40.004"
"Unused Time" "2019-01-11 05:29:40.004" "2019-01-11 05:36:40.005"
M31-pointing-2j "2019-01-11 05:36:40.005" "2019-01-11 06:18:20.005"
TransitionBlock "2019-01-11 06:18:20.005" "2019-01-11 06:19:00.005"
"Unused Time" "2019-01-11 06:19:00.005" "2019-01-11 06:20:40.006"
CAL_0300+471 "2019-01-11 06:20:40.006" "2019-01-11 06:23:40.006"
TransitionBlock "2019-01-11 06:23:40.006" "2019-01-11 06:24:00.006"
CAL_CRL618 "2019-01-11 06:24:00.006" "2019-01-11 06:27:00.007"
CAL_CRL618 "2019-01-11 06:27:00.007" "2019-01-11 06:30:00.007"
TransitionBlock "2019-01-11 06:30:00.007" "2019-01-11 06:30:40.007"
"Unused Time" "2019-01-11 06:30:40.007" "2019-01-11 06:31:00.007"
M31-pointing-2j "2019-01-11 06:31:00.007" "2019-01-11 07:12:40.007"
TransitionBlock "2019-01-11 07:12:40.007" "2019-01-11 07:13:20.007"
"Unused Time" "2019-01-11 07:13:20.007" "2019-01-11 07:15:00.008"
CAL_CRL618 "2019-01-11 07:15:00.008" "2019-01-11 07:18:00.008"
TransitionBlock "2019-01-11 07:18:00.008" "2019-01-11 07:18:20.008"
"Unused Time" "2019-01-11 07:18:20.008" "2019-01-11 07:18:40.008"
CAL_0300+471 "2019-01-11 07:18:40.008" "2019-01-11 07:21:40.008"
TransitionBlock "2019-01-11 07:21:40.008" "2019-01-11 07:22:00.008"
"Unused Time" "2019-01-11 07:22:00.008" "2019-01-11 07:24:00.009"
CAL_CRL618 "2019-01-11 07:24:00.009" "2019-01-11 07:27:00.009"
TransitionBlock "2019-01-11 07:27:00.009" "2019-01-11 07:27:40.009"
"Unused Time" "2019-01-11 07:27:40.009" "2019-01-11 07:32:00.009"
M31-pointing-2b "2019-01-11 07:32:00.009" "2019-01-11 08:13:40.009"
TransitionBlock "2019-01-11 08:13:40.009" "2019-01-11 08:14:20.009"
"Unused Time" "2019-01-11 08:14:20.009" "2019-01-11 08:15:00.010"
CAL_CRL618 "2019-01-11 08:15:00.010" "2019-01-11 08:18:00.010"
TransitionBlock "2019-01-11 08:18:00.010" "2019-01-11 08:18:20.010"
"Unused Time" "2019-01-11 08:18:20.010" "2019-01-11 08:18:40.011"
CAL_0300+471 "2019-01-11 08:18:40.011" "2019-01-11 08:21:40.011"
TransitionBlock "2019-01-11 08:21:40.011" "2019-01-11 08:22:00.011"
"Unused Time" "2019-01-11 08:22:00.011" "2019-01-11 08:25:20.011"
CAL_CRL618 "2019-01-11 08:25:20.011" "2019-01-11 08:28:20.011"
TransitionBlock "2019-01-11 08:28:20.011" "2019-01-11 08:29:00.011"
"Unused Time" "2019-01-11 08:29:00.011" "2019-01-11 08:35:40.011"
"NGC 2264 Field 2" "2019-01-11 08:35:40.011" "2019-01-11 09:16:40.011"
TransitionBlock "2019-01-11 09:16:40.011" "2019-01-11 09:17:40.011"
"Unused Time" "2019-01-11 09:17:40.011" "2019-01-11 09:19:20.013"
CAL_0300+471 "2019-01-11 09:19:20.013" "2019-01-11 09:22:20.013"
TransitionBlock "2019-01-11 09:22:20.013" "2019-01-11 09:22:40.013"
"Unused Time" "2019-01-11 09:22:40.013" "2019-01-11 09:23:20.013"
CAL_CRL618 "2019-01-11 09:23:20.013" "2019-01-11 09:26:20.013"
"Unused Time" "2019-01-11 09:26:20.013" "2019-01-11 09:27:00.013"
CAL_CRL618 "2019-01-11 09:27:00.013" "2019-01-11 09:30:00.013"
TransitionBlock "2019-01-11 09:30:00.013" "2019-01-11 09:31:20.013"
"Unused Time" "2019-01-11 09:31:20.013" "2019-01-11 09:40:40.014"
STUDIES-1_offset_N2 "2019-01-11 09:40:40.014" "2019-01-11 10:11:40.014"
TransitionBlock "2019-01-11 10:11:40.014" "2019-01-11 10:13:20.014"
"Unused Time" "2019-01-11 10:13:20.014" "2019-01-11 10:18:20.015"
CAL_0300+471 "2019-01-11 10:18:20.015" "2019-01-11 10:21:20.015"
TransitionBlock "2019-01-11 10:21:20.015" "2019-01-11 10:21:40.015"
CAL_CRL618 "2019-01-11 10:21:40.015" "2019-01-11 10:24:40.015"
CAL_CRL618 "2019-01-11 10:24:40.015" "2019-01-11 10:27:40.015"
TransitionBlock "2019-01-11 10:27:40.015" "2019-01-11 10:29:00.015"
"Unused Time" "2019-01-11 10:29:00.015" "2019-01-11 10:37:00.016"
STUDIES-1_offset_N2 "2019-01-11 10:37:00.016" "2019-01-11 11:08:00.016"
TransitionBlock "2019-01-11 11:08:00.016" "2019-01-11 11:09:00.016"
"Unused Time" "2019-01-11 11:09:00.016" "2019-01-11 11:16:40.017"
CAL_1153+495 "2019-01-11 11:16:40.017" "2019-01-11 11:19:40.017"
TransitionBlock "2019-01-11 11:19:40.017" "2019-01-11 11:20:20.017"
"Unused Time" "2019-01-11 11:20:20.017" "2019-01-11 11:22:00.017"
CAL_IRC+10216 "2019-01-11 11:22:00.017" "2019-01-11 11:25:00.017"
TransitionBlock "2019-01-11 11:25:00.017" "2019-01-11 11:25:20.017"
"Unused Time" "2019-01-11 11:25:20.017" "2019-01-11 11:44:20.018"
STUDIES-1_offset_N2 "2019-01-11 11:44:20.018" "2019-01-11 12:15:20.018"
TransitionBlock "2019-01-11 12:15:20.018" "2019-01-11 12:16:20.018"
"Unused Time" "2019-01-11 12:16:20.018" "2019-01-11 12:24:20.020"
CAL_1153+495 "2019-01-11 12:24:20.020" "2019-01-11 12:27:20.020"
TransitionBlock "2019-01-11 12:27:20.020" "2019-01-11 12:28:20.020"
"Unused Time" "2019-01-11 12:28:20.020" "2019-01-11 12:35:40.020"
STUDIES-1_offset_N2 "2019-01-11 12:35:40.020" "2019-01-11 13:06:40.020"
